"miRNAPair","CancerTypes","Count"
"miR-30c-2-3p/miR-328-3p","SARC - UVM",2
"miR-141-3p/miR-429","THYM - MESO",2
"miR-146a-5p/miR-146b-5p","STAD - CHOL",2
"miR-629-3p/miR-301a-3p","SKCM - LUAD",2
"miR-629-3p/miR-33a-5p","BLCA - CHOL",2
"miR-629-3p/miR-421","SARC - UCEC",2
"miR-320c/miR-320b","UVM - OV",2
"miR-7-5p/miR-144-3p","MESO - LGG",2
"miR-335-5p/miR-155-5p","STAD - CESC",2
"miR-17-5p/miR-148a-3p","ESCA - DLBC",2
"miR-92b-3p/miR-301a-3p","ACC - TGCT",2
"miR-940/miR-182-5p","SARC - LIHC",2
"miR-33a-5p/miR-7-5p","PAAD - COAD",2
"miR-96-5p/miR-129-5p","ESCA - PAAD",2
"miR-377-3p/miR-329-3p","ACC - MESO",2
"miR-497-5p/miR-582-5p","UVM - MESO",2
"miR-19b-1-5p/miR-19a-3p","BLCA - STAD",2
"miR-19b-3p/miR-550a-5p","SARC - SKCM",2
"miR-218-5p/miR-130b-5p","ACC - UCS",2
"miR-221-5p/miR-29b-3p","BLCA - LUAD",2
"miR-29a-5p/miR-29a-3p","UCS - BLCA",2
"let-7b-5p/let-7c-5p","UVM - UCS",2
"miR-106a-5p/miR-125b-5p","BLCA - UCEC",2
"miR-106a-5p/miR-181d-5p","TGCT - KICH",2
"miR-106a-5p/miR-200b-3p","SARC - UCS",2
"miR-29c-3p/miR-181c-5p","UVM - SKCM",2
"miR-497-5p/miR-210-3p","UCS - SKCM",2
"miR-18a-3p/miR-135b-5p","THYM - COAD",2
"miR-193b-3p/miR-195-5p","SARC - PCPG",2
"miR-1262/miR-1226-3p","BLCA - OV",2
"miR-193b-3p/miR-205-5p","SKCM - PAAD",2
"miR-194-5p/miR-33b-5p","UCEC - ACC",2
"miR-195-5p/miR-196b-5p","THYM - UCS",2
"miR-195-5p/miR-29a-3p","SKCM - TGCT",2
"miR-582-5p/miR-106a-5p","MESO - HNSC",2
"miR-589-3p/let-7c-5p","HNSC - UCEC",2
"miR-19a-3p/miR-142-3p","SARC - CESC",2
"miR-19a-3p/miR-27a-5p","BLCA - UCEC",2
"miR-20a-5p/miR-625-5p","THYM - BLCA",2
"miR-146a-5p/miR-17-5p","STAD - UCS",2
"miR-150-5p/miR-224-5p","PAAD - LUSC",2
"miR-218-5p/miR-9-5p","KICH - STAD",2
"miR-17-5p/miR-338-3p","LIHC - OV",2
"miR-222-5p/miR-31-5p","LGG - SKCM",2
"miR-301a-3p/miR-19a-3p","BLCA - COAD",2
"miR-3065-3p/miR-195-5p","THYM - ACC",2
"miR-3065-3p/miR-582-5p","THYM - TGCT",2
"miR-335-5p/miR-409-3p","KICH - ACC",2
"miR-34a-5p/miR-32-5p","SKCM - SARC",2
"miR-455-5p/miR-18a-5p","STAD - KICH",2
"miR-100-5p/miR-99a-5p","SARC - SKCM",2
"miR-133a-3p/miR-133b","UCS - ESCA",2
"miR-18a-3p/miR-7-5p","ACC - THYM",2
"miR-1-3p/miR-218-5p","ESCA - UCS",2
"miR-1-3p/miR-424-5p","UCS - COAD",2
"miR-141-3p/miR-181a-2-3p","SARC - SKCM",2
"miR-193b-3p/miR-503-5p","PCPG - LUAD",2
"miR-195-5p/miR-15a-5p","UVM - THYM",2
"miR-146a-5p/miR-589-3p","SARC - KIRP",2
"miR-9-5p/miR-33a-3p","THYM - KICH",2
"miR-17-5p/miR-421","SARC - UCS",2
"miR-338-5p/miR-7-5p","LGG - MESO",2
"miR-182-5p/miR-383-5p","UVM - THYM",2
"miR-34a-5p/miR-335-5p","SARC - KICH",2
"miR-7-5p/miR-194-3p","PAAD - TGCT",2
"miR-378a-5p/miR-106a-5p","UCS - OV",2
"miR-7-5p/miR-29c-3p","SKCM - READ",2
"miR-19b-1-5p/miR-20a-5p","BLCA - UCS",2
"miR-200a-3p/miR-378a-5p","OV - LIHC",2
"miR-20b-5p/miR-196b-5p","THYM - MESO",2
"miR-214-3p/miR-193b-3p","SKCM - CESC",2
"miR-222-5p/miR-7-5p","HNSC - LIHC",2
"miR-106a-5p/miR-501-3p","KICH - UCS",2
"miR-125b-5p/miR-539-5p","THYM - BLCA",2
"miR-130a-3p/miR-17-5p","UCS - SARC",2
"miR-130a-3p/miR-182-5p","SKCM - SARC",2
"miR-193b-3p/miR-9-5p","CESC - HNSC",2
"miR-195-5p/miR-29b-3p","SARC - TGCT",2
"miR-199b-3p/miR-195-3p","SARC - THYM",2
"miR-20a-5p/miR-182-5p","LIHC - BLCA",2
"miR-215-5p/miR-221-5p","BLCA - ESCA",2
"miR-215-5p/miR-29b-3p","SARC - TGCT",2
"miR-218-5p/miR-130b-3p","UCS - ACC",2
"miR-33a-5p/miR-19a-3p","UVM - ESCA",2
"miR-29b-3p/miR-31-5p","SKCM - OV",2
"miR-30a-3p/miR-150-5p","THYM - UVM",2
"miR-30c-2-3p/miR-196b-5p","SKCM - STAD",2
"miR-651-5p/miR-455-3p","COAD - ESCA",2
"miR-92b-3p/miR-582-5p","LIHC - UVM",2
"miR-9-5p/miR-148a-3p","DLBC - HNSC",2
"miR-10a-5p/miR-125b-5p","ACC - BLCA",2
"miR-188-3p/miR-500a-3p","UCS - SARC",2
"miR-18b-5p/miR-18a-5p","UCS - READ",2
"miR-195-5p/let-7c-5p","SKCM - SARC",2
"miR-196b-5p/miR-582-5p","MESO - TGCT",2
"miR-130a-3p/miR-181a-2-3p","THYM - SKCM",2
"miR-19a-3p/miR-106b-5p","ESCA - SARC",2
"miR-19a-3p/miR-143-3p","CESC - SARC",2
"miR-200c-3p/miR-33a-3p","TGCT - THYM",2
"miR-20a-3p/miR-138-5p","BLCA - SKCM",2
"miR-20b-5p/miR-138-5p","UCS - SKCM",2
"miR-20b-5p/miR-1-3p","SKCM - MESO",2
"miR-625-3p/miR-129-5p","ESCA - SARC",2
"miR-149-5p/miR-424-5p","SKCM - UCS",2
"miR-182-5p/miR-9-3p","DLBC - ACC",2
"miR-29b-3p/miR-424-5p","TGCT - SKCM",2
"miR-9-3p/miR-129-5p","DLBC - ESCA",2
"miR-942-5p/miR-93-5p","BLCA - THYM",2
"miR-424-5p/miR-625-5p","COAD - SARC",2
"miR-181d-5p/miR-33a-3p","COAD - DLBC",2
"miR-200c-3p/miR-429","CHOL - THYM",2
"miR-203a-3p/miR-155-5p","SARC - UCEC",2
"miR-20a-3p/miR-193b-3p","SARC - SKCM",2
"miR-653-5p/miR-497-5p","SKCM - MESO",2
"miR-92b-3p/miR-20a-5p","UCEC - THYM",2
"miR-23a-5p/miR-4326","THYM - KIRP",2
"miR-296-5p/miR-149-5p","SARC - UCS",2
"miR-29a-3p/miR-7-5p","SKCM - BLCA",2
"miR-106b-5p/miR-940","SARC - ESCA",2
"miR-130b-3p/miR-2355-5p","ACC - THYM",2
"miR-103a-2-5p/miR-502-5p","ESCA - SARC",2
"miR-195-5p/miR-143-3p","SKCM - PCPG",2
"miR-221-3p/miR-222-3p","UVM - SARC",2
"miR-424-5p/miR-497-5p","KIRP - SKCM",2
"miR-497-5p/miR-940","SKCM - MESO",2
"miR-654-3p/miR-106a-5p","KICH - SKCM",2
"miR-203a-3p/miR-96-5p","ESCA - PAAD",2
"miR-20b-5p/miR-93-5p","SKCM - THYM",2
"let-7a-3p/miR-29b-3p","SARC",1
"let-7b-5p/miR-889-3p","THYM",1
"let-7b-5p/miR-96-5p","THYM",1
"let-7c-5p/miR-125b-5p","ACC",1
"let-7c-5p/miR-199b-5p","UCS",1
"miR-181d-5p/miR-215-5p","COAD",1
"miR-181d-5p/miR-93-3p","BLCA",1
"let-7c-5p/miR-19b-3p","SARC",1
"let-7c-5p/miR-219a-1-3p","TGCT",1
"miR-181d-5p/miR-9-5p","DLBC",1
"miR-182-5p/miR-16-1-3p","SARC",1
"miR-182-5p/miR-301b-3p","UCEC",1
"miR-183-3p/miR-98-5p","OV",1
"miR-183-5p/miR-192-3p","HNSC",1
"miR-183-5p/miR-19a-3p","SARC",1
"miR-185-3p/miR-136-3p","SARC",1
"miR-185-3p/miR-29a-3p","BLCA",1
"miR-186-5p/miR-503-5p","SARC",1
"miR-187-3p/miR-185-3p","KIRP",1
"let-7c-5p/miR-337-3p","MESO",1
"let-7c-5p/miR-455-5p","SKCM",1
"let-7c-5p/miR-508-5p","ACC",1
"miR-187-3p/miR-339-5p","SKCM",1
"miR-188-3p/miR-653-5p","UVM",1
"let-7c-5p/miR-642a-5p","SARC",1
"let-7f-2-3p/miR-215-5p","MESO",1
"miR-103a-2-5p/miR-421","BLCA",1
"miR-106a-5p/let-7b-5p","UCS",1
"miR-106a-5p/miR-130b-3p","UCS",1
"miR-106a-5p/miR-153-3p","ESCA",1
"miR-106a-5p/miR-196a-5p","ESCA",1
"miR-106a-5p/miR-21-3p","LIHC",1
"miR-18a-3p/miR-19b-1-5p","STAD",1
"miR-18a-3p/miR-526b-3p","TGCT",1
"miR-18a-3p/miR-628-5p","UCEC",1
"miR-106a-5p/miR-3609","TGCT",1
"miR-106a-5p/miR-526b-3p","TGCT",1
"miR-18a-5p/miR-143-3p","CESC",1
"miR-18a-5p/miR-193b-3p","LIHC",1
"miR-18a-5p/miR-200b-3p","SKCM",1
"miR-106b-5p/miR-148a-5p","ESCA",1
"miR-106b-5p/miR-33a-5p","SARC",1
"miR-191-5p/miR-196b-5p","SARC",1
"miR-191-5p/miR-199a-3p","SARC",1
"miR-192-3p/miR-20b-5p","BLCA",1
"miR-192-5p/miR-149-5p","SARC",1
"miR-192-5p/miR-19b-3p","UVM",1
"miR-192-5p/miR-20b-5p","SKCM",1
"miR-10a-5p/miR-199a-3p","UVM",1
"miR-10a-5p/miR-30a-5p","UVM",1
"miR-10a-5p/miR-455-3p","SARC",1
"miR-192-5p/miR-376a-5p","STAD",1
"miR-193b-3p/miR-3065-3p","KICH",1
"miR-10b-5p/miR-3065-3p","BLCA",1
"miR-1185-5p/miR-450b-5p","TGCT",1
"miR-1224-5p/miR-204-5p","ACC",1
"miR-193b-3p/miR-532-3p","ESCA",1
"miR-194-3p/miR-192-3p","ESCA",1
"miR-194-3p/miR-302a-3p","TGCT",1
"miR-1224-5p/miR-335-5p","TGCT",1
"miR-122-5p/miR-18a-3p","TGCT",1
"miR-1226-3p/miR-18a-3p","UCS",1
"miR-194-5p/miR-20a-5p","OV",1
"miR-194-5p/miR-363-3p","STAD",1
"miR-195-5p/miR-100-5p","THYM",1
"miR-1228-3p/miR-7-1-3p","SKCM",1
"miR-1229-3p/miR-133a-3p","LGG",1
"miR-1229-3p/miR-1-3p","LGG",1
"miR-195-5p/miR-342-3p","SKCM",1
"miR-195-5p/miR-502-3p","SARC",1
"miR-196a-5p/miR-125b-2-3p","HNSC",1
