miRNA1,miRNA2,hgnc_symbol_target,CommonTriplets,CancerTypes,count
hsa-mir-330-3p,hsa-mir-383-5p,SPN,hsa-mir-330-3p/hsa-mir-383-5p/SPN,LGG,1
hsa-mir-330-3p,hsa-mir-383-5p,TNFSF14,hsa-mir-330-3p/hsa-mir-383-5p/TNFSF14,LGG,1
hsa-mir-330-3p,hsa-mir-383-5p,UNG,hsa-mir-330-3p/hsa-mir-383-5p/UNG,LGG,1
hsa-mir-330-3p,hsa-mir-411-3p,KDM5A,hsa-mir-330-3p/hsa-mir-411-3p/KDM5A,LGG,1
hsa-mir-330-3p,hsa-mir-485-5p,EPHA2,hsa-mir-330-3p/hsa-mir-485-5p/EPHA2,LGG,1
hsa-mir-330-3p,hsa-mir-485-5p,TNFRSF10C,hsa-mir-330-3p/hsa-mir-485-5p/TNFRSF10C,LGG,1
hsa-mir-330-3p,hsa-mir-493-5p,MGA,hsa-mir-330-3p/hsa-mir-493-5p/MGA,LGG,1
hsa-mir-330-3p,hsa-mir-495-3p,CTBS,hsa-mir-330-3p/hsa-mir-495-3p/CTBS,LGG,1
hsa-mir-330-3p,hsa-mir-651-5p,KDM5A,hsa-mir-330-3p/hsa-mir-651-5p/KDM5A,LGG,1
hsa-mir-330-3p,hsa-mir-766-3p,TBC1D31,hsa-mir-330-3p/hsa-mir-766-3p/TBC1D31,LGG,1
hsa-mir-330-3p,hsa-mir-940,CASP3,hsa-mir-330-3p/hsa-mir-940/CASP3,LGG,1
hsa-mir-330-3p,hsa-mir-940,DDB2,hsa-mir-330-3p/hsa-mir-940/DDB2,LGG,1
hsa-mir-330-3p,hsa-mir-940,LIF,hsa-mir-330-3p/hsa-mir-940/LIF,LGG,1
hsa-mir-330-3p,hsa-mir-940,SIVA1,hsa-mir-330-3p/hsa-mir-940/SIVA1,LGG,1
hsa-mir-330-5p,hsa-mir-331-3p,CLIP2,hsa-mir-330-5p/hsa-mir-331-3p/CLIP2,LGG,1
hsa-mir-330-5p,hsa-mir-33a-5p,AQR,hsa-mir-330-5p/hsa-mir-33a-5p/AQR,LGG,1
hsa-mir-330-5p,hsa-mir-33a-5p,PRKDC,hsa-mir-330-5p/hsa-mir-33a-5p/PRKDC,LGG,1
hsa-mir-330-5p,hsa-mir-33a-5p,SNRPB2,hsa-mir-330-5p/hsa-mir-33a-5p/SNRPB2,LGG,1
hsa-mir-330-5p,hsa-mir-33b-5p,ATF4,hsa-mir-330-5p/hsa-mir-33b-5p/ATF4,LGG,1
hsa-mir-330-5p,hsa-mir-34b-5p,ARFGAP2,hsa-mir-330-5p/hsa-mir-34b-5p/ARFGAP2,LGG,1
hsa-mir-330-5p,hsa-mir-34b-5p,NTHL1,hsa-mir-330-5p/hsa-mir-34b-5p/NTHL1,LGG,1
hsa-mir-330-5p,hsa-mir-34c-5p,NOSIP,hsa-mir-330-5p/hsa-mir-34c-5p/NOSIP,LGG,1
hsa-mir-330-5p,hsa-mir-377-5p,ARFGAP2,hsa-mir-330-5p/hsa-mir-377-5p/ARFGAP2,LGG,1
hsa-mir-330-5p,hsa-mir-377-5p,CCNA2,hsa-mir-330-5p/hsa-mir-377-5p/CCNA2,LGG,1
hsa-mir-330-5p,hsa-mir-377-5p,RAD51,hsa-mir-330-5p/hsa-mir-377-5p/RAD51,LGG,1
hsa-mir-330-5p,hsa-mir-378a-3p,ATF4,hsa-mir-330-5p/hsa-mir-378a-3p/ATF4,LGG,1
hsa-mir-330-5p,hsa-mir-381-3p,HK2,hsa-mir-330-5p/hsa-mir-381-3p/HK2,LGG,1
hsa-mir-330-5p,hsa-mir-381-3p,HLA-E,hsa-mir-330-5p/hsa-mir-381-3p/HLA-E,LGG,1
hsa-mir-330-5p,hsa-mir-3943,EPB42,hsa-mir-330-5p/hsa-mir-3943/EPB42,LGG,1
hsa-mir-330-5p,hsa-mir-3943,INSR,hsa-mir-330-5p/hsa-mir-3943/INSR,LGG,1
hsa-mir-330-5p,hsa-mir-491-5p,NOSIP,hsa-mir-330-5p/hsa-mir-491-5p/NOSIP,LGG,1
hsa-mir-330-5p,hsa-mir-504-5p,NOSIP,hsa-mir-330-5p/hsa-mir-504-5p/NOSIP,LGG,1
hsa-mir-330-5p,hsa-mir-675-3p,SCNN1A,hsa-mir-330-5p/hsa-mir-675-3p/SCNN1A,SARC,1
hsa-mir-330-5p,hsa-mir-7-5p,PRKDC,hsa-mir-330-5p/hsa-mir-7-5p/PRKDC,LGG,1
hsa-mir-330-5p,hsa-mir-940,AQR,hsa-mir-330-5p/hsa-mir-940/AQR,LGG,1
hsa-mir-330-5p,hsa-mir-940,DDX18,hsa-mir-330-5p/hsa-mir-940/DDX18,LGG,1
hsa-mir-331-3p,hsa-mir-362-3p,ACTA1,hsa-mir-331-3p/hsa-mir-362-3p/ACTA1,BLCA,1
hsa-mir-331-3p,hsa-mir-369-3p,HLA-G,hsa-mir-331-3p/hsa-mir-369-3p/HLA-G,LGG,1
hsa-mir-331-3p,hsa-mir-377-3p,CD163,hsa-mir-331-3p/hsa-mir-377-3p/CD163,LGG,1
hsa-mir-331-3p,hsa-mir-377-3p,CYP19A1,hsa-mir-331-3p/hsa-mir-377-3p/CYP19A1,LGG,1
hsa-mir-331-3p,hsa-mir-377-3p,HLA-G,hsa-mir-331-3p/hsa-mir-377-3p/HLA-G,LGG,1
hsa-mir-331-3p,hsa-mir-377-3p,ITGAX,hsa-mir-331-3p/hsa-mir-377-3p/ITGAX,LGG,1
hsa-mir-331-3p,hsa-mir-377-3p,MCL1,hsa-mir-331-3p/hsa-mir-377-3p/MCL1,LGG,1
hsa-mir-331-3p,hsa-mir-3928-3p,SAMD4A,hsa-mir-331-3p/hsa-mir-3928-3p/SAMD4A,BRCA,1
hsa-mir-331-3p,hsa-mir-410-3p,BIRC5,hsa-mir-331-3p/hsa-mir-410-3p/BIRC5,LGG,1
hsa-mir-331-3p,hsa-mir-410-3p,HLA-G,hsa-mir-331-3p/hsa-mir-410-3p/HLA-G,LGG,1
hsa-mir-331-3p,hsa-mir-410-3p,TXNRD1,hsa-mir-331-3p/hsa-mir-410-3p/TXNRD1,LGG,1
hsa-mir-331-3p,hsa-mir-429,MGAT5B,hsa-mir-331-3p/hsa-mir-429/MGAT5B,BLCA,1
hsa-mir-331-3p,hsa-mir-484,SAMD4A,hsa-mir-331-3p/hsa-mir-484/SAMD4A,BRCA,1
hsa-mir-331-3p,hsa-mir-491-5p,ST3GAL2,hsa-mir-331-3p/hsa-mir-491-5p/ST3GAL2,LGG,1
hsa-mir-331-3p,hsa-mir-532-3p,PIK3C2B,hsa-mir-331-3p/hsa-mir-532-3p/PIK3C2B,BRCA,1
hsa-mir-331-3p,hsa-mir-532-3p,SAMD4A,hsa-mir-331-3p/hsa-mir-532-3p/SAMD4A,BRCA,1
hsa-mir-331-3p,hsa-mir-543,VEGFA,hsa-mir-331-3p/hsa-mir-543/VEGFA,LGG,1
hsa-mir-331-3p,hsa-mir-642a-5p,TCF4,hsa-mir-331-3p/hsa-mir-642a-5p/TCF4,BRCA,1
hsa-mir-331-3p,hsa-mir-654-3p,CCND1,hsa-mir-331-3p/hsa-mir-654-3p/CCND1,LGG,1
hsa-mir-331-3p,hsa-mir-7-5p,ADH6,hsa-mir-331-3p/hsa-mir-7-5p/ADH6,LGG,1
hsa-mir-331-3p,hsa-mir-7-5p,TAL1,hsa-mir-331-3p/hsa-mir-7-5p/TAL1,LGG,1
hsa-mir-331-3p,hsa-mir-744-3p,CCND1,hsa-mir-331-3p/hsa-mir-744-3p/CCND1,LGG,1
hsa-mir-331-3p,hsa-mir-744-3p,KCTD15,hsa-mir-331-3p/hsa-mir-744-3p/KCTD15,LGG,1
hsa-mir-331-3p,hsa-mir-760,KCTD15,hsa-mir-331-3p/hsa-mir-760/KCTD15,LGG,1
hsa-mir-331-3p,hsa-mir-766-3p,DENND2B,hsa-mir-331-3p/hsa-mir-766-3p/DENND2B,BRCA,1
hsa-mir-331-3p,hsa-mir-937-3p,DVL1,hsa-mir-331-3p/hsa-mir-937-3p/DVL1,LGG,1
hsa-mir-331-3p,hsa-mir-937-3p,ST3GAL2,hsa-mir-331-3p/hsa-mir-937-3p/ST3GAL2,LGG,1
hsa-mir-335-3p,hsa-mir-335-5p,ERC2,hsa-mir-335-3p/hsa-mir-335-5p/ERC2,SARC,1
hsa-mir-335-3p,hsa-mir-335-5p,MAD1L1,hsa-mir-335-3p/hsa-mir-335-5p/MAD1L1,SARC,1
hsa-mir-335-3p,hsa-mir-335-5p,RERE,hsa-mir-335-3p/hsa-mir-335-5p/RERE,STAD,1
hsa-mir-335-3p,hsa-mir-421,EPRS1,hsa-mir-335-3p/hsa-mir-421/EPRS1,STAD,1
hsa-mir-335-3p,hsa-mir-424-5p,GFAP,hsa-mir-335-3p/hsa-mir-424-5p/GFAP,STAD,1
hsa-mir-335-3p,hsa-mir-494-3p,RERE,hsa-mir-335-3p/hsa-mir-494-3p/RERE,STAD,1
hsa-mir-335-3p,hsa-mir-505-3p,PRKAG2,hsa-mir-335-3p/hsa-mir-505-3p/PRKAG2,STAD,1
hsa-mir-335-3p,hsa-mir-543,ERC2,hsa-mir-335-3p/hsa-mir-543/ERC2,SARC,1
hsa-mir-335-3p,hsa-mir-550a-3p,JUN,hsa-mir-335-3p/hsa-mir-550a-3p/JUN,STAD,1
hsa-mir-335-3p,hsa-mir-624-5p,GFAP,hsa-mir-335-3p/hsa-mir-624-5p/GFAP,STAD,1
hsa-mir-335-3p,hsa-mir-624-5p,JUN,hsa-mir-335-3p/hsa-mir-624-5p/JUN,STAD,1
hsa-mir-335-3p,hsa-mir-625-5p,JUN,hsa-mir-335-3p/hsa-mir-625-5p/JUN,STAD,1
hsa-mir-335-3p,hsa-mir-629-3p,JUN,hsa-mir-335-3p/hsa-mir-629-3p/JUN,STAD,1
hsa-mir-335-3p,hsa-mir-7-5p,TXNRD1,hsa-mir-335-3p/hsa-mir-7-5p/TXNRD1,STAD,1
hsa-mir-335-3p,hsa-mir-92b-5p,GFAP,hsa-mir-335-3p/hsa-mir-92b-5p/GFAP,STAD,1
hsa-mir-335-3p,hsa-mir-93-3p,PIM1,hsa-mir-335-3p/hsa-mir-93-3p/PIM1,STAD,1
hsa-mir-335-3p,hsa-mir-942-5p,MAD1L1,hsa-mir-335-3p/hsa-mir-942-5p/MAD1L1,STAD,1
hsa-mir-335-3p,hsa-mir-942-5p,SLC4A7,hsa-mir-335-3p/hsa-mir-942-5p/SLC4A7,STAD,1
hsa-mir-335-5p,hsa-mir-342-3p,NFIC,hsa-mir-335-5p/hsa-mir-342-3p/NFIC,BLCA,1
hsa-mir-335-5p,hsa-mir-345-5p,CDH1,hsa-mir-335-5p/hsa-mir-345-5p/CDH1,STAD,1
hsa-mir-335-5p,hsa-mir-362-3p,RB1CC1,hsa-mir-335-5p/hsa-mir-362-3p/RB1CC1,STAD,1
hsa-mir-335-5p,hsa-mir-362-5p,ARNT2,hsa-mir-335-5p/hsa-mir-362-5p/ARNT2,STAD,1
hsa-mir-335-5p,hsa-mir-362-5p,PRKAG2,hsa-mir-335-5p/hsa-mir-362-5p/PRKAG2,STAD,1
hsa-mir-335-5p,hsa-mir-424-5p,LIMCH1,hsa-mir-335-5p/hsa-mir-424-5p/LIMCH1,STAD,1
hsa-mir-335-5p,hsa-mir-424-5p,PDE9A,hsa-mir-335-5p/hsa-mir-424-5p/PDE9A,STAD,1
hsa-mir-335-5p,hsa-mir-424-5p,TMPO,hsa-mir-335-5p/hsa-mir-424-5p/TMPO,SARC,1
hsa-mir-335-5p,hsa-mir-429,ANXA4,hsa-mir-335-5p/hsa-mir-429/ANXA4,STAD,1
hsa-mir-335-5p,hsa-mir-431-5p,EPRS1,hsa-mir-335-5p/hsa-mir-431-5p/EPRS1,STAD,1
hsa-mir-335-5p,hsa-mir-484,CDH1,hsa-mir-335-5p/hsa-mir-484/CDH1,STAD,1
hsa-mir-335-5p,hsa-mir-505-3p,NDST1,hsa-mir-335-5p/hsa-mir-505-3p/NDST1,STAD,1
hsa-mir-335-5p,hsa-mir-505-3p,PRKAG2,hsa-mir-335-5p/hsa-mir-505-3p/PRKAG2,STAD,1
hsa-mir-335-5p,hsa-mir-505-3p,RTN4,hsa-mir-335-5p/hsa-mir-505-3p/RTN4,STAD,1
hsa-mir-335-5p,hsa-mir-505-3p,SORCS2,hsa-mir-335-5p/hsa-mir-505-3p/SORCS2,STAD,1
hsa-mir-335-5p,hsa-mir-577,NEK7,hsa-mir-335-5p/hsa-mir-577/NEK7,STAD,1
hsa-mir-335-5p,hsa-mir-655-3p,TECR,hsa-mir-335-5p/hsa-mir-655-3p/TECR,STAD,1
hsa-mir-335-5p,hsa-mir-7-5p,GSE1,hsa-mir-335-5p/hsa-mir-7-5p/GSE1,STAD,1
hsa-mir-335-5p,hsa-mir-940,SH3TC1,hsa-mir-335-5p/hsa-mir-940/SH3TC1,TGCT,1
hsa-mir-337-3p,hsa-mir-494-3p,JUNB,hsa-mir-337-3p/hsa-mir-494-3p/JUNB,HNSC,1
hsa-mir-337-3p,hsa-mir-874-3p,IL10,hsa-mir-337-3p/hsa-mir-874-3p/IL10,LGG,1
hsa-mir-338-3p,hsa-mir-370-3p,ACSL3,hsa-mir-338-3p/hsa-mir-370-3p/ACSL3,SARC,1
hsa-mir-338-3p,hsa-mir-370-3p,CCL2,hsa-mir-338-3p/hsa-mir-370-3p/CCL2,LGG,1
hsa-mir-338-3p,hsa-mir-370-3p,ITGB1,hsa-mir-338-3p/hsa-mir-370-3p/ITGB1,LGG,1
hsa-mir-338-3p,hsa-mir-374a-5p,IMPACT,hsa-mir-338-3p/hsa-mir-374a-5p/IMPACT,SARC,1
hsa-mir-338-3p,hsa-mir-376a-3p,CCL2,hsa-mir-338-3p/hsa-mir-376a-3p/CCL2,LGG,1
hsa-mir-338-3p,hsa-mir-376a-3p,ITGB2,hsa-mir-338-3p/hsa-mir-376a-3p/ITGB2,LGG,1
hsa-mir-338-3p,hsa-mir-376a-3p,PFKFB3,hsa-mir-338-3p/hsa-mir-376a-3p/PFKFB3,LGG,1
hsa-mir-338-3p,hsa-mir-376a-3p,TLR2,hsa-mir-338-3p/hsa-mir-376a-3p/TLR2,LGG,1
hsa-mir-338-3p,hsa-mir-377-3p,CXCR4,hsa-mir-338-3p/hsa-mir-377-3p/CXCR4,LGG,1
hsa-mir-338-3p,hsa-mir-377-3p,IGFBP1,hsa-mir-338-3p/hsa-mir-377-3p/IGFBP1,LGG,1
hsa-mir-338-3p,hsa-mir-377-3p,PFKFB3,hsa-mir-338-3p/hsa-mir-377-3p/PFKFB3,LGG,1
hsa-mir-338-3p,hsa-mir-377-3p,SLC11A1,hsa-mir-338-3p/hsa-mir-377-3p/SLC11A1,LGG,1
hsa-mir-338-3p,hsa-mir-377-3p,TLR2,hsa-mir-338-3p/hsa-mir-377-3p/TLR2,LGG,1
hsa-mir-338-3p,hsa-mir-421,NUP98,hsa-mir-338-3p/hsa-mir-421/NUP98,BLCA,1
hsa-mir-338-3p,hsa-mir-424-5p,SKIDA1,hsa-mir-338-3p/hsa-mir-424-5p/SKIDA1,SARC,1
hsa-mir-338-3p,hsa-mir-455-5p,KAZN,hsa-mir-338-3p/hsa-mir-455-5p/KAZN,TGCT,1
hsa-mir-338-3p,hsa-mir-485-5p,CCN2,hsa-mir-338-3p/hsa-mir-485-5p/CCN2,LGG,1
hsa-mir-338-3p,hsa-mir-500a-5p,SLCO3A1,hsa-mir-338-3p/hsa-mir-500a-5p/SLCO3A1,HNSC,1
hsa-mir-338-3p,hsa-mir-501-3p,VCAM1,hsa-mir-338-3p/hsa-mir-501-3p/VCAM1,SARC,1
hsa-mir-338-3p,hsa-mir-503-5p,KAZN,hsa-mir-338-3p/hsa-mir-503-5p/KAZN,TGCT,1
hsa-mir-338-3p,hsa-mir-625-3p,ILK,hsa-mir-338-3p/hsa-mir-625-3p/ILK,LGG,1
hsa-mir-338-3p,hsa-mir-627-5p,SRCAP,hsa-mir-338-3p/hsa-mir-627-5p/SRCAP,SARC,1
hsa-mir-338-3p,hsa-mir-656-3p,THRA,hsa-mir-338-3p/hsa-mir-656-3p/THRA,BLCA,1
hsa-mir-338-3p,hsa-mir-889-3p,CCL2,hsa-mir-338-3p/hsa-mir-889-3p/CCL2,LGG,1
hsa-mir-338-3p,hsa-mir-9-5p,FOXM1,hsa-mir-338-3p/hsa-mir-9-5p/FOXM1,PRAD,1
hsa-mir-338-3p,hsa-mir-92b-3p,SPTB,hsa-mir-338-3p/hsa-mir-92b-3p/SPTB,BRCA,1
hsa-mir-338-3p,hsa-mir-940,CCL2,hsa-mir-338-3p/hsa-mir-940/CCL2,LGG,1
hsa-mir-338-3p,hsa-mir-940,CXCR4,hsa-mir-338-3p/hsa-mir-940/CXCR4,LGG,1
hsa-mir-338-3p,hsa-mir-940,ITGB2,hsa-mir-338-3p/hsa-mir-940/ITGB2,LGG,1
hsa-mir-338-3p,hsa-mir-940,KAZN,hsa-mir-338-3p/hsa-mir-940/KAZN,TGCT,1
hsa-mir-338-3p,hsa-mir-940,PFKFB3,hsa-mir-338-3p/hsa-mir-940/PFKFB3,LGG,1
hsa-mir-338-3p,hsa-mir-96-5p,FLT1,hsa-mir-338-3p/hsa-mir-96-5p/FLT1,BRCA,1
hsa-mir-338-5p,hsa-mir-33a-3p,CLDN7,hsa-mir-338-5p/hsa-mir-33a-3p/CLDN7,LGG,1
hsa-mir-338-5p,hsa-mir-379-5p,LPP,hsa-mir-338-5p/hsa-mir-379-5p/LPP,LGG,1
hsa-mir-338-5p,hsa-mir-454-3p,LTF,hsa-mir-338-5p/hsa-mir-454-3p/LTF,SARC,1
hsa-mir-338-5p,hsa-mir-491-5p,ASAP1,hsa-mir-338-5p/hsa-mir-491-5p/ASAP1,LGG,1
hsa-mir-338-5p,hsa-mir-491-5p,USP6NL,hsa-mir-338-5p/hsa-mir-491-5p/USP6NL,LGG,1
hsa-mir-338-5p,hsa-mir-548v,RBMS3,hsa-mir-338-5p/hsa-mir-548v/RBMS3,LGG,1
hsa-mir-338-5p,hsa-mir-584-5p,CLIP2,hsa-mir-338-5p/hsa-mir-584-5p/CLIP2,LGG,1
hsa-mir-338-5p,hsa-mir-758-3p,LPP,hsa-mir-338-5p/hsa-mir-758-3p/LPP,LGG,1
hsa-mir-338-5p,hsa-mir-96-5p,STAR,hsa-mir-338-5p/hsa-mir-96-5p/STAR,THCA,1
hsa-mir-339-3p,hsa-mir-362-5p,LIMCH1,hsa-mir-339-3p/hsa-mir-362-5p/LIMCH1,SARC,1
hsa-mir-339-5p,hsa-mir-345-5p,CFLAR,hsa-mir-339-5p/hsa-mir-345-5p/CFLAR,COAD,1
hsa-mir-339-5p,hsa-mir-550a-3p,JUN,hsa-mir-339-5p/hsa-mir-550a-3p/JUN,STAD,1
hsa-mir-339-5p,hsa-mir-92a-1-5p,GMDS,hsa-mir-339-5p/hsa-mir-92a-1-5p/GMDS,STAD,1
hsa-mir-33a-3p,hsa-mir-33a-5p,ESYT2,hsa-mir-33a-3p/hsa-mir-33a-5p/ESYT2,PRAD,1
hsa-mir-33a-3p,hsa-mir-33a-5p,MAN1A2,hsa-mir-33a-3p/hsa-mir-33a-5p/MAN1A2,PRAD,1
hsa-mir-33a-3p,hsa-mir-33a-5p,STK3,hsa-mir-33a-3p/hsa-mir-33a-5p/STK3,PRAD,1
hsa-mir-33a-3p,hsa-mir-376a-5p,STAR,hsa-mir-33a-3p/hsa-mir-376a-5p/STAR,STAD,1
hsa-mir-33a-3p,hsa-mir-378a-3p,TEAD1,hsa-mir-33a-3p/hsa-mir-378a-3p/TEAD1,LGG,1
hsa-mir-33a-3p,hsa-mir-383-5p,ZNF608,hsa-mir-33a-3p/hsa-mir-383-5p/ZNF608,LGG,1
hsa-mir-33a-3p,hsa-mir-409-3p,NFIA,hsa-mir-33a-3p/hsa-mir-409-3p/NFIA,LGG,1
hsa-mir-33a-3p,hsa-mir-424-5p,ZFP36L1,hsa-mir-33a-3p/hsa-mir-424-5p/ZFP36L1,STAD,1
hsa-mir-33a-3p,hsa-mir-484,PHF12,hsa-mir-33a-3p/hsa-mir-484/PHF12,STAD,1
hsa-mir-33a-3p,hsa-mir-550a-5p,ZFP36L1,hsa-mir-33a-3p/hsa-mir-550a-5p/ZFP36L1,STAD,1
hsa-mir-33a-3p,hsa-mir-627-5p,UBR5,hsa-mir-33a-3p/hsa-mir-627-5p/UBR5,STAD,1
hsa-mir-33a-3p,hsa-mir-93-5p,SH3KBP1,hsa-mir-33a-3p/hsa-mir-93-5p/SH3KBP1,BLCA,1
hsa-mir-33a-3p,hsa-mir-940,TEAD1,hsa-mir-33a-3p/hsa-mir-940/TEAD1,LGG,1
hsa-mir-33a-3p,hsa-mir-942-5p,NKX3-2,hsa-mir-33a-3p/hsa-mir-942-5p/NKX3-2,THYM,1
hsa-mir-33a-5p,hsa-mir-33b-5p,CASP8AP2,hsa-mir-33a-5p/hsa-mir-33b-5p/CASP8AP2,LGG,1
hsa-mir-33a-5p,hsa-mir-33b-5p,DDX18,hsa-mir-33a-5p/hsa-mir-33b-5p/DDX18,LGG,1
hsa-mir-33a-5p,hsa-mir-33b-5p,DKC1,hsa-mir-33a-5p/hsa-mir-33b-5p/DKC1,LGG,1
hsa-mir-33a-5p,hsa-mir-33b-5p,ERC1,hsa-mir-33a-5p/hsa-mir-33b-5p/ERC1,COAD,1
hsa-mir-33a-5p,hsa-mir-33b-5p,GRAP2,hsa-mir-33a-5p/hsa-mir-33b-5p/GRAP2,COAD,1
hsa-mir-33a-5p,hsa-mir-33b-5p,NID1,hsa-mir-33a-5p/hsa-mir-33b-5p/NID1,LGG,1
hsa-mir-33a-5p,hsa-mir-33b-5p,NOL7,hsa-mir-33a-5p/hsa-mir-33b-5p/NOL7,LGG,1
hsa-mir-33a-5p,hsa-mir-33b-5p,PREX1,hsa-mir-33a-5p/hsa-mir-33b-5p/PREX1,COAD,1
hsa-mir-33a-5p,hsa-mir-33b-5p,PUM2,hsa-mir-33a-5p/hsa-mir-33b-5p/PUM2,STAD,1
hsa-mir-33a-5p,hsa-mir-33b-5p,RAD51,hsa-mir-33a-5p/hsa-mir-33b-5p/RAD51,LGG,1
hsa-mir-33a-5p,hsa-mir-33b-5p,SMCHD1,hsa-mir-33a-5p/hsa-mir-33b-5p/SMCHD1,STAD,1
hsa-mir-33a-5p,hsa-mir-33b-5p,TNFAIP8,hsa-mir-33a-5p/hsa-mir-33b-5p/TNFAIP8,COAD,1
hsa-mir-33a-5p,hsa-mir-3943,AQR,hsa-mir-33a-5p/hsa-mir-3943/AQR,LGG,1
hsa-mir-33a-5p,hsa-mir-3943,MTHFD1,hsa-mir-33a-5p/hsa-mir-3943/MTHFD1,LGG,1
hsa-mir-33a-5p,hsa-mir-424-5p,FMR1,hsa-mir-33a-5p/hsa-mir-424-5p/FMR1,STAD,1
hsa-mir-33a-5p,hsa-mir-484,UBXN2A,hsa-mir-33a-5p/hsa-mir-484/UBXN2A,STAD,1
hsa-mir-33a-5p,hsa-mir-494-3p,CLP1,hsa-mir-33a-5p/hsa-mir-494-3p/CLP1,LGG,1
hsa-mir-33a-5p,hsa-mir-494-3p,ID2,hsa-mir-33a-5p/hsa-mir-494-3p/ID2,LGG,1
hsa-mir-33a-5p,hsa-mir-494-3p,WRN,hsa-mir-33a-5p/hsa-mir-494-3p/WRN,LGG,1
hsa-mir-33a-5p,hsa-mir-499a-5p,WDR36,hsa-mir-33a-5p/hsa-mir-499a-5p/WDR36,LGG,1
hsa-mir-33a-5p,hsa-mir-671-5p,MAD1L1,hsa-mir-33a-5p/hsa-mir-671-5p/MAD1L1,STAD,1
hsa-mir-33a-5p,hsa-mir-7-1-3p,DIP2B,hsa-mir-33a-5p/hsa-mir-7-1-3p/DIP2B,SARC,1
hsa-mir-33a-5p,hsa-mir-7-1-3p,LNX1,hsa-mir-33a-5p/hsa-mir-7-1-3p/LNX1,STAD,1
hsa-mir-33a-5p,hsa-mir-7-5p,TRAP1,hsa-mir-33a-5p/hsa-mir-7-5p/TRAP1,LGG,1
hsa-mir-33a-5p,hsa-mir-744-3p,UBXN2A,hsa-mir-33a-5p/hsa-mir-744-3p/UBXN2A,STAD,1
hsa-mir-33a-5p,hsa-mir-766-3p,NRAS,hsa-mir-33a-5p/hsa-mir-766-3p/NRAS,LGG,1
hsa-mir-33a-5p,hsa-mir-769-3p,CHD6,hsa-mir-33a-5p/hsa-mir-769-3p/CHD6,STAD,1
hsa-mir-33a-5p,hsa-mir-940,CLP1,hsa-mir-33a-5p/hsa-mir-940/CLP1,LGG,1
hsa-mir-33a-5p,hsa-mir-940,DDX18,hsa-mir-33a-5p/hsa-mir-940/DDX18,LGG,1
hsa-mir-33a-5p,hsa-mir-940,DFFA,hsa-mir-33a-5p/hsa-mir-940/DFFA,LGG,1
hsa-mir-33a-5p,hsa-mir-940,MTHFD1,hsa-mir-33a-5p/hsa-mir-940/MTHFD1,LGG,1
hsa-mir-33a-5p,hsa-mir-940,RPL26,hsa-mir-33a-5p/hsa-mir-940/RPL26,LGG,1
hsa-mir-33a-5p,hsa-mir-940,SEC23B,hsa-mir-33a-5p/hsa-mir-940/SEC23B,LGG,1
hsa-mir-33a-5p,hsa-mir-940,UBA52,hsa-mir-33a-5p/hsa-mir-940/UBA52,LGG,1
hsa-mir-33b-3p,hsa-mir-424-5p,DST,hsa-mir-33b-3p/hsa-mir-424-5p/DST,TGCT,1
hsa-mir-33b-5p,hsa-mir-34b-5p,AIMP2,hsa-mir-33b-5p/hsa-mir-34b-5p/AIMP2,LGG,1
hsa-mir-33b-5p,hsa-mir-34b-5p,DKC1,hsa-mir-33b-5p/hsa-mir-34b-5p/DKC1,LGG,1
hsa-mir-33b-5p,hsa-mir-369-3p,ALOX5,hsa-mir-33b-5p/hsa-mir-369-3p/ALOX5,HNSC,1
hsa-mir-33b-5p,hsa-mir-377-5p,ZNF234,hsa-mir-33b-5p/hsa-mir-377-5p/ZNF234,LGG,1
hsa-mir-33b-5p,hsa-mir-410-3p,RNLS,hsa-mir-33b-5p/hsa-mir-410-3p/RNLS,THYM,1
hsa-mir-33b-5p,hsa-mir-424-5p,AGPS,hsa-mir-33b-5p/hsa-mir-424-5p/AGPS,STAD,1
hsa-mir-33b-5p,hsa-mir-500a-5p,DICER1,hsa-mir-33b-5p/hsa-mir-500a-5p/DICER1,SARC,1
hsa-mir-33b-5p,hsa-mir-500a-5p,KRIT1,hsa-mir-33b-5p/hsa-mir-500a-5p/KRIT1,SARC,1
hsa-mir-33b-5p,hsa-mir-500a-5p,SRCAP,hsa-mir-33b-5p/hsa-mir-500a-5p/SRCAP,SARC,1
hsa-mir-33b-5p,hsa-mir-501-5p,DICER1,hsa-mir-33b-5p/hsa-mir-501-5p/DICER1,SARC,1
hsa-mir-33b-5p,hsa-mir-539-5p,TECR,hsa-mir-33b-5p/hsa-mir-539-5p/TECR,LGG,1
hsa-mir-33b-5p,hsa-mir-627-5p,DICER1,hsa-mir-33b-5p/hsa-mir-627-5p/DICER1,SARC,1
hsa-mir-33b-5p,hsa-mir-627-5p,KDM5A,hsa-mir-33b-5p/hsa-mir-627-5p/KDM5A,STAD,1
hsa-mir-33b-5p,hsa-mir-7-5p,JUP,hsa-mir-33b-5p/hsa-mir-7-5p/JUP,PAAD,1
hsa-mir-33b-5p,hsa-mir-744-3p,PUM2,hsa-mir-33b-5p/hsa-mir-744-3p/PUM2,STAD,1
hsa-mir-33b-5p,hsa-mir-744-3p,ZNF143,hsa-mir-33b-5p/hsa-mir-744-3p/ZNF143,STAD,1
hsa-mir-33b-5p,hsa-mir-766-3p,NRAS,hsa-mir-33b-5p/hsa-mir-766-3p/NRAS,LGG,1
