"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna2_tf","mirna1mirna2_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target","BH_pvalues_adjusted"
"hsa-let-7b-5p","hsa-mir-30a-5p",7157,"TP53",4288,"MKI67",1,0,5e-04,0.0045,0.016,0.0215,0.0065,0.0277631385642738
"hsa-mir-2355-5p","hsa-mir-25-3p",6667,"SP1",4313,"MMP2",1,0.004,0.001,0.0275,0.0995,0.063,0.0015,0.00903247975899077
"hsa-mir-196b-5p","hsa-mir-301b-3p",6774,"STAT3",4314,"MMP3",1,0,0,5e-04,0.011,0.159,0.0025,0.0134317513649727
"hsa-mir-20a-5p","hsa-mir-20b-5p",6774,"STAT3",4314,"MMP3",1,0,0,0,0.2525,0.018,0.0085,0.0338202233212031
"hsa-mir-18a-5p","hsa-mir-20a-5p",6774,"STAT3",4314,"MMP3",1,0,0,0,0.0205,0.3215,0.0065,0.0277631385642738
"hsa-mir-196a-5p","hsa-mir-20b-5p",6774,"STAT3",4314,"MMP3",1,0,0,0.0025,0.4015,0.016,0.0075,0.0308290222036567
"hsa-mir-106a-5p","hsa-mir-20b-5p",6774,"STAT3",4314,"MMP3",1,0,0,0,0.0445,0.0135,0.006,0.0261531961292081
"hsa-mir-130b-3p","hsa-mir-18a-5p",6774,"STAT3",4314,"MMP3",1,0,0,0,0.013,0.0165,0.0085,0.0338202233212031
"hsa-mir-17-5p","hsa-mir-301b-3p",6774,"STAT3",4314,"MMP3",1,0,0,0.008,0.4035,0.113,0.008,0.0323407913032486
"hsa-mir-106a-5p","hsa-mir-7-1-3p",6774,"STAT3",4314,"MMP3",1,0,0,0,0.025,0.0115,0.003,0.0154572257129048
"hsa-mir-106a-5p","hsa-mir-20a-5p",6774,"STAT3",4314,"MMP3",1,0,0,0,0.017,0.258,0.0035,0.0174080093312597
"hsa-let-7b-5p","hsa-mir-125a-5p",7157,"TP53",4436,"MSH2",1,0,0,0,0.032,0.2375,0.0035,0.0174080093312597
"hsa-let-7b-5p","hsa-mir-125b-5p",7157,"TP53",4436,"MSH2",1,0,0,0,0.037,0.2415,0,0
"hsa-mir-130b-3p","hsa-mir-20a-5p",1316,"KLF6",4843,"NOS2",1,0,0,0.005,0.0275,0.191,0.008,0.0323407913032486
"hsa-mir-142-5p","hsa-mir-18a-3p",1316,"KLF6",4843,"NOS2",1,0,0,0.0735,0.011,0.223,5e-04,0.00368827124899088
