miRNA1,miRNA2,TF,Target,ModeOfRegulation,TwoVar_mirna1_tf,TwoVar_mirna2_tf,mirna1mirna2_tf,TwoVar_mirna1_target,TwoVar_mirna2_target,mirna1mirna2_target,BH_rejected,BH_pvalues_adjusted
hsa-mir-302a-3p,hsa-mir-302d-3p,2099,4057,1,0.0,0.0,0.0,0.012,0.0135,0.0015,True,0.0063445044310889275
hsa-mir-302a-3p,hsa-mir-519b-3p,2099,4057,1,0.0,0.0,0.0,0.011,0.0805,0.0,True,0.0
hsa-mir-302c-3p,hsa-mir-519b-3p,2099,4057,1,0.0,0.0,0.0,0.015,0.206,0.0,True,0.0
hsa-mir-302c-3p,hsa-mir-520a-3p,2099,4057,1,0.0,0.0,0.0,0.014,0.237,0.0,True,0.0
hsa-mir-302c-3p,hsa-mir-520d-3p,2099,4057,1,0.0,0.0,0.0,0.013,0.159,0.0,True,0.0
hsa-mir-302d-3p,hsa-mir-519b-3p,2099,4057,1,0.0,0.0,0.0,0.0155,0.2015,0.0025,True,0.009698536281532234
hsa-mir-302d-3p,hsa-mir-519c-3p,2099,4057,1,0.0,0.0,0.0,0.019,0.165,0.0055,True,0.018412857104463973
hsa-mir-302d-3p,hsa-mir-520c-3p,2099,4057,1,0.0,0.0,0.0,0.014,0.1345,0.002,True,0.008057438551099612
hsa-mir-302a-3p,hsa-mir-302d-3p,2099,4982,1,0.0,0.0,0.0,0.0155,0.061,0.0005,True,0.002452608781256153
hsa-mir-302b-3p,hsa-mir-302c-3p,2099,4982,1,0.0,0.0,0.0,0.0125,0.02,0.0005,True,0.002452608781256153
hsa-mir-302b-3p,hsa-mir-302d-3p,2099,4982,1,0.0,0.0,0.0,0.017,0.0585,0.0,True,0.0
hsa-mir-302b-3p,hsa-mir-548d-3p,2099,4982,1,0.0,0.002,0.3445,0.011,0.0615,0.0095,True,0.028517627780321467
hsa-mir-519a-3p,hsa-mir-548d-3p,2099,5241,1,0.0,0.001,0.078,0.459,0.361,0.0045,True,0.01568295890104356
hsa-mir-302a-3p,hsa-mir-302c-3p,2099,7039,1,0.0,0.0,0.0,0.011,0.013,0.0,True,0.0
hsa-mir-302a-3p,hsa-mir-519a-3p,2099,7039,1,0.0,0.0,0.0,0.0145,0.012,0.001,True,0.004498826248690815
hsa-mir-519a-3p,hsa-mir-519b-3p,2099,718,1,0.0,0.0,0.0,0.3495,0.0715,0.0085,True,0.026125194305312245
hsa-mir-519a-3p,hsa-mir-519c-3p,2099,718,1,0.0,0.0,0.0,0.345,0.08,0.0055,True,0.018412857104463973
hsa-mir-519a-3p,hsa-mir-520d-3p,2099,718,1,0.0,0.0,0.0,0.4105,0.113,0.008,True,0.024878769722388654
hsa-mir-373-3p,hsa-mir-378a-3p,2099,7366,1,0.0015,0.0075,0.141,0.033,0.131,0.0005,True,0.002452608781256153
hsa-mir-18b-5p,hsa-mir-20b-5p,2099,8839,1,0.0,0.0,0.0,0.0335,0.0235,0.0,True,0.0
hsa-mir-18b-5p,hsa-mir-302c-3p,2099,8839,1,0.0,0.0,0.0,0.034,0.02,0.0055,True,0.018412857104463973
hsa-mir-20b-5p,hsa-mir-302a-3p,2099,8839,1,0.0,0.0,0.0,0.025,0.0235,0.0035,True,0.012789322381930184
hsa-mir-20b-5p,hsa-mir-302c-3p,2099,8839,1,0.0,0.0,0.0,0.0205,0.018,0.0015,True,0.0063445044310889275
hsa-mir-302a-3p,hsa-mir-302b-3p,2099,8839,1,0.0,0.0,0.0,0.0265,0.011,0.0005,True,0.002452608781256153
hsa-mir-302a-3p,hsa-mir-302c-3p,2099,8839,1,0.0,0.0,0.0,0.024,0.0185,0.0045,True,0.01568295890104356
