"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna2_tf","mirna1mirna2_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target","BH_pvalues_adjusted"
"hsa-mir-505-5p","hsa-mir-766-3p",3725,"JUN",7077,"TIMP2",1,0,0,0.004,0.0285,0.197,0.0025,0.0162755026337265
"hsa-mir-1226-3p","hsa-mir-148a-3p",3661,"IRF3",7186,"TRAF2",1,0.003,0.0075,0.597,0.2185,0.0285,0.001,0.00786158394552947
"hsa-mir-17-5p","hsa-mir-20a-5p",5090,"PBX3",7982,"ST7",1,0,0,0.04,0.2505,0.045,0,0
"hsa-mir-1271-5p","hsa-mir-324-5p",2308,"FOXO1",8743,"TNFSF10",1,0.0015,0,0,0.38,0.033,0,0
"hsa-mir-153-3p","hsa-mir-324-5p",2308,"FOXO1",8743,"TNFSF10",1,0.0055,0,0.2535,0.015,0.0555,0.009,0.0424464688810061
"hsa-mir-17-5p","hsa-mir-19a-3p",7764,"ZNF217",8826,"IQGAP1",1,0.003,0,0,0.045,0.019,0.0085,0.0407475279978148
"hsa-mir-1271-5p","hsa-mir-324-5p",2308,"FOXO1",10018,"BCL2L11",1,0.0015,0,0,0.0355,0.0205,0,0
"hsa-mir-301a-3p","hsa-mir-324-5p",5468,"PPARG",10062,"NR1H3",1,0,0,0,0.0175,0.4795,0.0015,0.010942430792252
"hsa-mir-19a-3p","hsa-mir-19b-3p",10499,"NCOA2",10564,"ARFGEF2",1,0.0025,0.0045,0,0.011,0.168,0,0
"hsa-mir-150-5p","hsa-mir-410-3p",51341,"ZBTB7A",10642,"IGF2BP1",-1,5e-04,5e-04,0.0555,0.3915,0.115,0.0015,0.010942430792252
"hsa-mir-129-5p","hsa-mir-130a-3p",2099,"ESR1",10693,"CCT6B",1,0,0,0.129,0.041,0.15,0.0035,0.021134633911368
"hsa-mir-149-5p","hsa-mir-590-3p",7025,"NR2F1",10783,"NEK6",1,0,0,0.24,0.015,0.0395,0.004,0.0233737763867617
"hsa-mir-181c-5p","hsa-mir-181d-5p",27086,"FOXP1",10801,"SEPTIN9",-1,0.0035,5e-04,0,0.012,0.034,0.0025,0.0162755026337265
"hsa-mir-19a-3p","hsa-mir-19b-3p",27086,"FOXP1",10801,"SEPTIN9",-1,0,0,0,0.028,0.212,0.0025,0.0162755026337265
"hsa-mir-17-5p","hsa-mir-9-5p",26959,"HBP1",10938,"EHD1",-1,0,0,0.1985,0.013,0.0375,0,0
"hsa-mir-130b-3p","hsa-mir-429",6935,"ZEB1",11187,"PKP3",-1,0,0,0,0.032,0.019,0,0
"hsa-mir-17-5p","hsa-mir-769-3p",4090,"SMAD5",22836,"RHOBTB3",1,0,5e-04,0,0.1635,0.3275,0,0
"hsa-mir-19b-3p","hsa-mir-769-3p",4090,"SMAD5",22836,"RHOBTB3",1,0,0.003,0.0045,0.0915,0.38,0.002,0.0137497649639611
"hsa-mir-19a-3p","hsa-mir-769-3p",4090,"SMAD5",22836,"RHOBTB3",1,0,0.0025,0.002,0.075,0.3275,0.0035,0.021134633911368
"hsa-mir-155-5p","hsa-mir-7-5p",196528,"ARID2",22887,"FOXJ3",1,0,0.006,0.0025,0.355,0.018,0.009,0.0424464688810061
"hsa-mir-328-3p","hsa-mir-331-3p",6722,"SRF",23034,"SAMD4A",1,0,0,0.008,0.182,0.0365,0,0
"hsa-mir-328-3p","hsa-mir-484",6722,"SRF",23034,"SAMD4A",1,0,0,5e-04,0.206,0.156,0.0065,0.0335242447396262
"hsa-mir-331-3p","hsa-mir-484",6722,"SRF",23034,"SAMD4A",1,0,0,0,0.036,0.169,0.0025,0.0162755026337265
"hsa-mir-331-3p","hsa-mir-532-3p",6722,"SRF",23034,"SAMD4A",1,0,0,0,0.027,0.023,0,0
"hsa-mir-484","hsa-mir-532-3p",6722,"SRF",23034,"SAMD4A",1,0.001,0,0,0.123,0.0315,0,0
"hsa-mir-331-3p","hsa-mir-3928-3p",6722,"SRF",23034,"SAMD4A",1,0,0,0,0.0175,0.119,0.002,0.0137497649639611
"hsa-mir-135b-5p","hsa-mir-19b-3p",860,"RUNX2",23180,"RFTN1",1,0,0,0.0135,0.228,0.022,0.0015,0.010942430792252
"hsa-mir-30a-5p","hsa-mir-590-3p",8202,"NCOA3",23224,"SYNE2",1,0,0.004,0.865,0.0755,0.023,0.0015,0.010942430792252
"hsa-mir-129-5p","hsa-mir-1306-3p",27086,"FOXP1",23239,"PHLPP1",-1,0,0.0015,0.0025,0.0325,0.015,0.0025,0.0162755026337265
"hsa-mir-184","hsa-mir-199a-5p",4609,"MYC",23277,"CLUH",1,0,5e-04,0.483,0.085,0.044,0.005,0.0275963897100447
"hsa-mir-505-3p","hsa-mir-93-3p",687,"KLF9",23328,"SASH1",1,0,0,0,0.0115,0.037,0.003,0.0187568934805842
"hsa-mir-181c-5p","hsa-mir-181d-5p",8202,"NCOA3",23389,"MED13L",1,0,0,0,0.183,0.059,5e-04,0.00438798879887988
"hsa-mir-181c-5p","hsa-mir-181d-5p",10499,"NCOA2",23389,"MED13L",1,0,0,0,0.183,0.059,5e-04,0.00438798879887988
"hsa-mir-29b-2-5p","hsa-mir-484",4211,"MEIS1",23414,"ZFPM2",1,0,0,0,0.4575,0.0395,0,0
"hsa-mir-19a-3p","hsa-mir-19b-3p",2099,"ESR1",23509,"POFUT1",1,0,0,0,0.0145,0.322,0.0025,0.0162755026337265
"hsa-mir-1306-3p","hsa-mir-421",27086,"FOXP1",23514,"SPIDR",-1,0.0015,0,0.0195,0.41,0.03,0.009,0.0424464688810061
"hsa-mir-505-5p","hsa-mir-532-3p",4779,"NFE2L1",23731,"TMEM245",1,0,0.001,0.0055,0.028,0.216,0.0055,0.0296346862335748
"hsa-mir-205-5p","hsa-mir-27a-5p",4150,"MAZ",26121,"PRPF31",1,5e-04,0.0075,0.1205,0.4145,0.1645,0.005,0.0275963897100447
"hsa-mir-221-5p","hsa-mir-328-3p",6621,"SNAPC4",27043,"PELP1",1,0,0,0.0215,0.2525,0.056,0.007,0.0354222363185514
"hsa-let-7g-3p","hsa-mir-335-3p",27086,"FOXP1",27044,"SND1",-1,0.001,0,0.161,0.02,0.0145,0.0075,0.0372015431575377
"hsa-mir-1301-3p","hsa-mir-454-3p",6925,"TCF4",27333,"GOLIM4",1,0,0,0.002,0.0325,0.0125,0.001,0.00786158394552947
"hsa-mir-130a-3p","hsa-mir-142-3p",7572,"ZNF24",29886,"SNX8",-1,0.0035,0.005,0,0.8815,0.095,0.006,0.0315992077781779
"hsa-mir-17-5p","hsa-mir-19a-3p",1385,"CREB1",50484,"RRM2B",1,0.001,0.0015,0,0.02,0.0105,0,0
"hsa-mir-17-5p","hsa-mir-19b-3p",1385,"CREB1",50484,"RRM2B",1,0,0.0025,0,0.0105,0.027,0,0
"hsa-mir-19b-3p","hsa-mir-222-3p",860,"RUNX2",51454,"GULP1",1,0,0.0025,0.0095,0.014,0.183,0.0015,0.010942430792252
"hsa-mir-224-5p","hsa-mir-769-3p",4090,"SMAD5",51455,"REV1",1,0,0.0015,0.2295,0.174,0.043,0.0075,0.0372015431575377
"hsa-mir-155-5p","hsa-mir-96-5p",26959,"HBP1",54982,"CLN6",-1,0,0.008,0.3195,0.0365,0.029,0.0025,0.0162755026337265
