miRNA1,miRNA2,TF,Target,ModeOfRegulation,TwoVar_mirna1_tf,TwoVar_mirna2_tf,mirna1mirna2_tf,TwoVar_mirna1_target,TwoVar_mirna2_target,mirna1mirna2_target,BH_rejected,BH_pvalues_adjusted
hsa-mir-491-5p,hsa-mir-675-3p,367,10957,1,0.0035,0.0,0.008,0.0295,0.0505,0.0015,True,0.00926164766692629
hsa-mir-30c-2-3p,hsa-mir-326,367,2139,1,0.0005,0.0,0.0775,0.374,0.1345,0.002,True,0.011619894729828769
hsa-mir-183-5p,hsa-mir-675-3p,367,2289,1,0.0,0.0,0.0345,0.4785,0.014,0.001,True,0.006677502105827398
hsa-mir-181b-5p,hsa-mir-675-3p,367,22926,1,0.0005,0.0,0.016,0.27,0.1815,0.005,True,0.023416713660409788
hsa-mir-183-5p,hsa-mir-27a-5p,367,22926,1,0.0,0.0,0.0015,0.2065,0.2685,0.0005,True,0.0037510861616552676
hsa-mir-185-5p,hsa-mir-330-5p,367,22926,1,0.0,0.0,0.0,0.062,0.505,0.0045,True,0.021664968944099378
hsa-mir-185-5p,hsa-mir-34a-5p,367,22926,1,0.0,0.0,0.016,0.04,0.026,0.0005,True,0.0037510861616552676
hsa-mir-27a-5p,hsa-mir-326,367,22926,1,0.0,0.0,0.009,0.2005,0.215,0.0015,True,0.00926164766692629
hsa-mir-27a-5p,hsa-mir-675-3p,367,22926,1,0.0,0.0,0.005,0.2005,0.1625,0.0075,True,0.031661280952726745
hsa-mir-34a-5p,hsa-mir-675-3p,367,22926,1,0.0,0.0,0.0455,0.06,0.1135,0.004,True,0.019795465508924266
hsa-mir-589-3p,hsa-mir-675-3p,367,22926,1,0.0,0.0,0.043,0.715,0.1345,0.0,True,0.0
hsa-mir-223-5p,hsa-mir-326,367,22937,1,0.0,0.0,0.102,0.047,0.242,0.0065,True,0.028436460554371
hsa-mir-491-5p,hsa-mir-589-3p,367,3480,1,0.0005,0.0,0.004,0.0395,0.597,0.0005,True,0.0037510861616552676
hsa-mir-491-5p,hsa-mir-589-3p,367,472,1,0.0005,0.0,0.004,0.067,0.114,0.0,True,0.0
hsa-mir-183-5p,hsa-mir-27a-5p,367,5274,1,0.0,0.0,0.0015,0.581,0.766,0.0015,True,0.00926164766692629
hsa-mir-185-5p,hsa-mir-330-5p,367,5366,1,0.0,0.0,0.0,0.373,0.626,0.0035,True,0.01787491581012621
hsa-mir-34a-5p,hsa-mir-381-3p,367,5469,1,0.0,0.0,0.001,0.0185,0.4375,0.0005,True,0.0037510861616552676
hsa-mir-454-3p,hsa-mir-491-5p,367,5469,1,0.002,0.0045,0.121,0.356,0.0515,0.003,True,0.01587935900937813
hsa-mir-491-5p,hsa-mir-675-3p,367,5797,1,0.0035,0.0,0.008,0.176,0.087,0.0065,True,0.028436460554371
hsa-mir-223-5p,hsa-mir-330-5p,367,6038,1,0.0,0.0,0.1615,0.0795,0.0745,0.0035,True,0.01787491581012621
hsa-mir-30c-2-3p,hsa-mir-330-5p,367,6038,1,0.0025,0.0,0.0345,0.032,0.071,0.0025,True,0.013825707128361238
hsa-mir-2110,hsa-mir-491-5p,367,6337,1,0.0,0.003,0.001,0.0275,0.104,0.0025,True,0.013825707128361238
hsa-mir-330-5p,hsa-mir-675-3p,367,6337,1,0.0,0.0,0.0535,0.139,0.1705,0.0,True,0.0
hsa-mir-625-5p,hsa-mir-675-3p,367,6337,1,0.0,0.0,0.123,0.0345,0.054,0.0,True,0.0
