miRNA1,miRNA2,TF,Target,ModeOfRegulation,TwoVar_mirna1_tf,TwoVar_mirna2_tf,mirna1mirna2_tf,TwoVar_mirna1_target,TwoVar_mirna2_target,mirna1mirna2_target,BH_rejected,BH_pvalues_adjusted
hsa-mir-331-3p,hsa-mir-642a-5p,60468,6925,1,0.0005,0.008,0.0,0.4915,0.4325,0.001,True,0.007861583945529476
hsa-mir-30a-5p,hsa-mir-342-5p,639,202,1,0.0,0.003,0.1785,0.0515,0.049,0.0,True,0.0
hsa-mir-425-5p,hsa-mir-96-5p,6591,642273,-1,0.007,0.0,0.1525,0.259,0.2065,0.0025,True,0.01627550263372654
hsa-mir-153-3p,hsa-mir-425-5p,6591,6820,-1,0.0075,0.007,0.1905,0.1025,0.029,0.0005,True,0.004387988798879888
hsa-mir-221-5p,hsa-mir-328-3p,6621,27043,1,0.0,0.0,0.0215,0.2525,0.056,0.007,True,0.03542223631855141
hsa-mir-378a-5p,hsa-mir-548b-3p,6667,102,1,0.0,0.0,0.0555,0.1315,0.0465,0.0,True,0.0
hsa-mir-410-3p,hsa-mir-7-5p,6667,1027,1,0.001,0.0005,0.087,0.014,0.335,0.0015,True,0.010942430792252059
hsa-mir-301a-3p,hsa-mir-429,6667,1386,1,0.0065,0.0025,0.1635,0.0255,0.024,0.009,True,0.04244646888100612
hsa-mir-410-3p,hsa-mir-7-5p,6667,1386,1,0.001,0.0005,0.087,0.0155,0.0645,0.0085,True,0.04074752799781481
hsa-mir-301a-3p,hsa-mir-378a-5p,6667,55328,1,0.007,0.0,0.075,0.055,0.0485,0.0,True,0.0
hsa-mir-328-3p,hsa-mir-331-3p,6722,23034,1,0.0,0.0,0.008,0.182,0.0365,0.0,True,0.0
hsa-mir-328-3p,hsa-mir-484,6722,23034,1,0.0,0.0,0.0005,0.206,0.156,0.0065,True,0.03352424473962619
hsa-mir-331-3p,hsa-mir-3928-3p,6722,23034,1,0.0,0.0,0.0,0.0175,0.119,0.002,True,0.013749764963961141
hsa-mir-331-3p,hsa-mir-484,6722,23034,1,0.0,0.0,0.0,0.036,0.169,0.0025,True,0.01627550263372654
hsa-mir-331-3p,hsa-mir-532-3p,6722,23034,1,0.0,0.0,0.0,0.027,0.023,0.0,True,0.0
hsa-mir-484,hsa-mir-532-3p,6722,23034,1,0.001,0.0,0.0,0.123,0.0315,0.0,True,0.0
hsa-mir-145-5p,hsa-mir-181c-5p,6772,6229,-1,0.008,0.0,0.35,0.131,0.0155,0.0005,True,0.004387988798879888
hsa-mir-18a-5p,hsa-mir-501-3p,6774,604,1,0.0,0.0,0.2085,0.0125,0.017,0.0,True,0.0
hsa-mir-505-3p,hsa-mir-93-3p,687,23328,1,0.0,0.0,0.0,0.0115,0.037,0.003,True,0.018756893480584257
hsa-mir-106a-5p,hsa-mir-342-3p,6886,719,1,0.0,0.0015,0.0145,0.062,0.2385,0.0015,True,0.010942430792252059
hsa-mir-301a-3p,hsa-mir-484,6925,120,1,0.0,0.0005,0.0,0.1,0.045,0.0005,True,0.004387988798879888
hsa-mir-1301-3p,hsa-mir-454-3p,6925,27333,1,0.0,0.0,0.002,0.0325,0.0125,0.001,True,0.007861583945529476
hsa-mir-19b-3p,hsa-mir-20a-5p,6925,90865,1,0.0,0.0,0.0,0.093,0.0675,0.005,True,0.027596389710044657
