"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna2_tf","mirna1mirna2_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target","BH_pvalues_adjusted"
"hsa-mir-106a-5p","hsa-mir-196b-5p",6774,"STAT3",3162,"HMOX1",1,0,0,0.227,0.4225,0.0765,0.0045,0.0125888120667704
"hsa-mir-200c-3p","hsa-mir-429",2113,"ETS1",3162,"HMOX1",1,0,0,0,0.083,0.011,0.0095,0.023381989172034
"hsa-mir-200b-3p","hsa-mir-342-3p",4601,"MXI1",3163,"HMOX2",-1,0,0,0.021,0.1055,0.097,0.003,0.00895381742034071
"hsa-mir-501-3p","hsa-mir-940",6774,"STAT3",3315,"HSPB1",1,5e-04,0.001,0.0035,0.018,0.0645,0.0025,0.00768582394092499
"hsa-mir-130b-3p","hsa-mir-18a-5p",6774,"STAT3",3315,"HSPB1",1,0,0,0,0.0375,0.032,0.002,0.00636012784176566
"hsa-mir-20a-3p","hsa-mir-501-3p",6774,"STAT3",3315,"HSPB1",1,0,0.001,0,0.2085,0.032,0.002,0.00636012784176566
"hsa-mir-26b-3p","hsa-mir-503-5p",7003,"TEAD1",3340,"NDST1",1,0,0,0,0.011,0.0765,0.0055,0.0148742286192926
"hsa-mir-335-5p","hsa-mir-505-3p",7003,"TEAD1",3340,"NDST1",1,0,0,5e-04,0.0495,0.086,5e-04,0.00189985829570563
"hsa-mir-503-5p","hsa-mir-505-3p",7003,"TEAD1",3340,"NDST1",1,0,0,0,0.055,0.093,0.003,0.00895381742034071
"hsa-mir-362-3p","hsa-mir-505-3p",7003,"TEAD1",3340,"NDST1",1,0,0,0,0.015,0.0925,0.001,0.00350499590136694
"hsa-mir-19a-3p","hsa-mir-3613-5p",4205,"MEF2A",3516,"RBPJ",1,0,0,0,0.128,0.0125,0,0
"hsa-mir-145-5p","hsa-mir-20a-5p",6774,"STAT3",3559,"IL2RA",1,0,0,0.009,0.112,0.0185,0.005,0.0137450043440487
"hsa-mir-539-5p","hsa-mir-654-3p",5451,"POU2F1",3567,"IL5",1,0,0,0,0.024,0.029,0.003,0.00895381742034071
"hsa-mir-501-3p","hsa-mir-7-1-3p",6774,"STAT3",3569,"IL6",1,0,0.001,0,0.706,0.601,0.005,0.0137450043440487
"hsa-mir-127-5p","hsa-mir-326",6667,"SP1",3593,"IL12B",1,0.003,0.006,0.0225,0.974,0.564,0.004,0.0114075062191297
"hsa-mir-299-5p","hsa-mir-326",6667,"SP1",3593,"IL12B",1,0.006,0.001,0.561,0.2835,0.5905,0.0075,0.0192214077433987
"hsa-mir-127-5p","hsa-mir-149-5p",6667,"SP1",3643,"INSR",1,0.0025,0,0.075,0.031,0.094,0.002,0.00636012784176566
"hsa-mir-127-5p","hsa-mir-326",6667,"SP1",3643,"INSR",1,0.003,0.006,0.0225,0.0295,0.0725,0.0025,0.00768582394092499
"hsa-mir-149-5p","hsa-mir-299-5p",6667,"SP1",3643,"INSR",1,0.0015,0.0045,0.001,0.1825,0.049,0.002,0.00636012784176566
"hsa-mir-127-5p","hsa-mir-299-5p",6667,"SP1",3643,"INSR",1,0.005,0.005,0.0225,0.025,0.0685,0.0055,0.0148742286192926
"hsa-mir-133a-3p","hsa-mir-133b",6667,"SP1",3673,"ITGA2",1,0.008,0.0035,0.0035,0.028,0.0515,5e-04,0.00189985829570563
"hsa-mir-145-5p","hsa-mir-30a-3p",6667,"SP1",3673,"ITGA2",1,0.003,0.0065,0.0615,0.028,0.0915,0.001,0.00350499590136694
"hsa-mir-133b","hsa-mir-30a-3p",6667,"SP1",3673,"ITGA2",1,0.0065,0.0045,0.206,0.0645,0.0935,5e-04,0.00189985829570563
"hsa-mir-133b","hsa-mir-145-5p",6667,"SP1",3673,"ITGA2",1,5e-04,0.0025,5e-04,0.0955,0.018,0.0025,0.00768582394092499
"hsa-mir-1180-3p","hsa-mir-324-5p",2113,"ETS1",3676,"ITGA4",1,0,0,0,0.0115,0.148,0.0065,0.0170921564390666
"hsa-mir-155-5p","hsa-mir-23b-5p",4205,"MEF2A",3708,"ITPR1",1,5e-04,0.003,0,0.0255,0.014,0.009,0.0223565663861324
"hsa-mir-148a-3p","hsa-mir-23b-5p",4205,"MEF2A",3708,"ITPR1",1,0,0.0035,0.002,0.018,0.0105,0.001,0.00350499590136694
"hsa-mir-148a-3p","hsa-mir-155-5p",4205,"MEF2A",3708,"ITPR1",1,0,5e-04,0,0.0135,0.0335,0,0
"hsa-mir-223-5p","hsa-mir-31-5p",367,"AR",3725,"JUN",1,0,0,0.0815,0.0415,0.0215,0.0055,0.0148742286192926
"hsa-mir-196a-5p","hsa-mir-31-5p",4782,"NFIC",3725,"JUN",1,0,0.004,0.004,0.358,0.0205,0.0055,0.0148742286192926
"hsa-mir-335-3p","hsa-mir-625-5p",4782,"NFIC",3725,"JUN",1,0,0,0,0.455,0.032,0.0025,0.00768582394092499
"hsa-mir-185-3p","hsa-mir-335-3p",4782,"NFIC",3725,"JUN",1,0,0,0.001,0.1925,0.459,0.0095,0.023381989172034
"hsa-mir-155-5p","hsa-mir-23b-5p",4205,"MEF2A",3725,"JUN",1,5e-04,0.003,0,0.3245,0.37,0.0015,0.00497708682885906
"hsa-mir-142-3p","hsa-mir-23b-5p",4205,"MEF2A",3725,"JUN",1,0.0025,0.004,0.0015,0.697,0.3635,0.0095,0.023381989172034
"hsa-mir-148a-3p","hsa-mir-155-5p",4205,"MEF2A",3725,"JUN",1,0,5e-04,0,0.091,0.301,5e-04,0.00189985829570563
"hsa-mir-155-5p","hsa-mir-19a-3p",4205,"MEF2A",3725,"JUN",1,0,0,0,0.282,0.022,0.008,0.0202732704352144
