source;target
mir-20b-5p;mir-20b-5p/mir-20a-5p
mir-106a-5p;mir-106a-5p/mir-17-5p
mir-500b-5p;mir-500b-5p/mir-582-5p
mir-106a-5p;mir-106a-5p/mir-454-3p
mir-454-3p;mir-454-3p/mir-17-5p
mir-29a-3p;mir-29a-3p/mir-7-5p
mir-101-5p;mir-101-5p/mir-301a-3p
mir-454-3p;mir-454-3p/mir-9-3p
mir-181a-2-3p;mir-181a-2-3p/mir-200a-3p
mir-29a-3p;mir-29a-3p/mir-335-5p
mir-454-3p;mir-454-3p/mir-326
mir-29a-3p;mir-29a-3p/mir-219a-1-3p
mir-642a-5p;mir-642a-5p/mir-615-3p
mir-550a-5p;mir-550a-5p/mir-143-3p
mir-550a-5p;mir-550a-5p/mir-195-5p
mir-940;mir-940/mir-27b-3p
mir-494-3p;mir-494-3p/mir-20b-5p
mir-378a-3p;mir-378a-3p/mir-154-5p
mir-374a-3p;mir-374a-3p/mir-1-3p
mir-509-3-5p;mir-509-3-5p/mir-130a-3p
mir-3662;mir-3662/mir-409-3p
mir-3662;mir-3662/mir-379-5p
mir-3065-3p;mir-3065-3p/mir-7-1-3p
mir-143-3p;mir-143-3p/mir-3614-5p
mir-219a-1-3p;mir-219a-1-3p/mir-30c-2-3p
mir-3605-3p;mir-3605-3p/mir-141-5p
mir-125b-5p;mir-125b-5p/mir-296-5p
mir-224-5p;mir-224-5p/mir-301a-3p
mir-93-5p;mir-93-5p/mir-17-5p
mir-424-5p;mir-424-5p/mir-195-5p
mir-671-5p;mir-671-5p/mir-30c-2-3p
mir-338-5p;mir-338-5p/mir-20a-5p
mir-100-5p;mir-100-5p/mir-155-5p
mir-215-5p;mir-215-5p/mir-211-5p
mir-18a-5p;mir-18a-5p/mir-200b-3p
mir-200c-3p;mir-200c-3p/mir-200b-3p
mir-590-5p;mir-590-5p/mir-328-3p
mir-744-5p;mir-744-5p/mir-642a-5p
mir-509-5p;mir-509-5p/mir-29a-5p
mir-509-3-5p;mir-509-3-5p/mir-664a-3p
mir-362-3p;mir-362-3p/mir-20a-5p
mir-543;mir-543/mir-320d
mir-188-3p;mir-188-3p/mir-125b-5p
mir-369-3p;mir-369-3p/mir-410-3p
mir-31-5p;mir-31-5p/mir-145-5p
mir-296-5p;mir-296-5p/mir-16-2-3p
mir-193a-3p;mir-193a-3p/mir-3200-3p
let-7g-3p;let-7g-3p/mir-744-3p
mir-200b-3p;mir-200b-3p/mir-142-5p
mir-19a-3p;mir-19a-3p/mir-20a-5p
mir-374a-3p;mir-374a-3p/mir-19a-3p
mir-374a-3p;mir-374a-3p/mir-19b-3p
mir-431-3p;mir-431-3p/mir-125b-5p
mir-106a-5p;mir-106a-5p/mir-17-5p
mir-20a-5p;mir-20a-5p/mir-17-5p
mir-214-3p;mir-214-3p/mir-193b-3p
mir-149-5p;mir-149-5p/mir-181c-5p
mir-20a-5p;mir-20a-5p/mir-7-5p
mir-17-5p;mir-17-5p/mir-7-5p
mir-214-5p;mir-214-5p/mir-15b-3p
mir-625-5p;mir-625-5p/mir-30c-2-3p
mir-26b-3p;mir-26b-3p/mir-214-5p
mir-181a-2-3p;mir-181a-2-3p/mir-183-5p
mir-181a-2-3p;mir-181a-2-3p/mir-141-3p
mir-199b-5p;mir-199b-5p/mir-497-5p
mir-187-3p;mir-187-3p/mir-765
mir-9-5p;mir-9-5p/mir-27a-3p
mir-758-3p;mir-758-3p/mir-27a-3p
mir-195-5p;mir-195-5p/mir-143-3p
mir-494-3p;mir-494-3p/mir-1229-3p
mir-143-3p;mir-143-3p/mir-3934-5p
mir-185-3p;mir-185-3p/mir-3934-5p
mir-135b-5p;mir-135b-5p/mir-365a-3p
mir-182-5p;mir-182-5p/mir-454-5p
mir-301a-3p;mir-301a-3p/mir-130a-3p
mir-342-3p;mir-342-3p/mir-7-5p
mir-200b-3p;mir-200b-3p/mir-382-5p
mir-363-3p;mir-363-3p/mir-29a-5p
mir-616-5p;mir-616-5p/mir-335-5p
mir-29a-3p;mir-29a-3p/mir-3065-3p
mir-20a-5p;mir-20a-5p/mir-454-3p
mir-454-3p;mir-454-3p/mir-17-5p
mir-27b-3p;mir-27b-3p/mir-129-5p
mir-1304-5p;mir-1304-5p/mir-330-5p
mir-192-3p;mir-192-3p/mir-1-3p
mir-328-3p;mir-328-3p/mir-342-3p
mir-9-5p;mir-9-5p/mir-34a-5p
mir-93-3p;mir-93-3p/mir-335-5p
mir-29a-3p;mir-29a-3p/mir-3150b-3p
mir-196a-5p;mir-196a-5p/mir-432-5p
mir-3150b-3p;mir-3150b-3p/mir-365a-3p
