miRNA;miRNAinTriplets;miRNATargets
miR-154-3p;4;74
miR-1248;4;154
miR-24-2-5p;4;154
miR-576-5p;4;298
miR-509-5p;4;175
miR-26a-1-3p;4;119
miR-636;4;112
miR-508-3p;4;50
miR-1292-5p;4;183
miR-518a-3p;4;56
miR-367-3p;4;490
miR-25-3p;4;1024
miR-519a-3p;4;366
miR-363-5p;4;216
miR-337-3p;4;79
miR-518a-5p;4;240
miR-548s;4;396
let-7d-5p;4;1317
miR-660-5p;4;175
miR-206;4;202
miR-2116-3p;4;151
miR-663a;4;157
miR-581;4;53
miR-516b-5p;4;140
miR-520d-5p;4;219
miR-518c-5p;4;212
miR-513a-3p;3;184
miR-184;3;57
miR-1291;3;123
miR-380-5p;3;42
miR-202-3p;3;221
miR-944;3;246
miR-1288-3p;3;107
miR-605-5p;3;321
miR-1276;3;398
miR-3136-5p;3;87
miR-1306-3p;3;71
miR-425-3p;3;60
miR-24-3p;3;1942
miR-449a;3;541
miR-1228-5p;3;47
miR-1179;3;191
miR-3187-3p;3;365
miR-499a-5p;3;168
miR-374b-3p;3;326
miR-181a-3p;3;66
miR-3680-3p;3;161
miR-450a-5p;3;56
miR-652-3p;3;148
miR-431-3p;3;46
miR-200c-5p;3;52
miR-671-3p;3;54
miR-302b-3p;3;565
miR-518b;3;27
miR-527;3;187
miR-551a;3;12
miR-3940-3p;3;49
miR-3613-5p;3;163
let-7b-3p;3;354
miR-30e-5p;3;1369
miR-513c-5p;3;177
miR-151a-3p;2;301
miR-99b-3p;2;138
miR-30d-3p;2;660
miR-365a-5p;2;125
miR-487b-3p;2;28
miR-1468-5p;2;58
miR-1298-5p;2;47
miR-100-3p;2;187
miR-323a-5p;2;157
miR-675-3p;2;57
miR-556-5p;2;135
miR-1237-3p;2;133
miR-663b;2;58
miR-191-5p;2;151
miR-1249-3p;2;43
miR-507;2;239
miR-138-1-3p;2;109
miR-200b-5p;2;83
miR-3614-3p;2;63
miR-371a-5p;2;337
miR-18b-3p;2;54
miR-1538;2;30
miR-518f-3p;2;27
miR-1243;2;110
miR-3157-5p;2;370
miR-892a;2;55
miR-548t-5p;2;259
miR-579-3p;2;660
miR-708-3p;2;84
miR-140-3p;2;597
miR-488-3p;2;297
miR-580-3p;2;192
miR-1227-3p;2;186
miR-514b-5p;2;104
miR-125b-1-3p;2;36
miR-499a-3p;2;337
miR-182-3p;2;155
miR-2113;2;135
miR-518f-5p;2;99
miR-216a-5p;2;347
miR-516a-5p;2;30
miR-488-5p;1;107
let-7i-3p;1;38
miR-496;1;77
miR-3117-3p;1;34
miR-28-3p;1;168
miR-127-3p;1;35
miR-598-3p;1;34
miR-770-5p;1;107
miR-3926;1;268
miR-3909;1;78
miR-193a-5p;1;135
miR-1277-3p;1;34
miR-589-5p;1;300
miR-658;1;153
miR-1185-5p;1;91
miR-519e-5p;1;178
miR-302a-5p;1;172
miR-433-3p;1;70
miR-302d-5p;1;138
miR-3660;1;67
miR-3648;1;17
miR-3677-3p;1;9
miR-556-3p;1;94
miR-378b;1;63
miR-451a;1;24
miR-2277-3p;1;208
miR-340-3p;1;216
miR-146a-3p;1;195
miR-676-5p;1;100
miR-3943;1;212
miR-24-1-5p;1;85
miR-3690;1;56
miR-155-3p;1;64
miR-218-1-3p;1;151
miR-1224-3p;1;349
miR-541-5p;1;97
miR-186-3p;1;761
miR-423-3p;1;230
miR-2277-5p;1;21
miR-26a-2-3p;1;99
miR-92b-5p;1;62
miR-643;1;73
miR-518e-3p;1;15
miR-518c-3p;1;12
miR-767-3p;1;52
miR-515-5p;1;181
miR-519e-3p;1;48
miR-373-5p;1;357
miR-519b-3p;1;362
miR-3652;1;363
miR-887-3p;1;28
miR-1295a;1;61
miR-639;1;9
miR-618;1;157
