"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","BH_pvalues_adjusted","BH_rejected","miRNA1Family","miRNA2Family","miRNA1Cluster","miRNA2Cluster"
9424,"KCNK6","hsa-mir-211-5p","hsa-mir-106a-5p",0.001,FALSE,NA,"mirtarbase","mirtarbase",0.0037967444849004,TRUE,"miR-204-5p/211-5p","miR-17-5p/20-5p/93-5p/106-5p/519-3p","hsa-mir-211","hsa-mir-363,hsa-mir-92a-2,hsa-mir-19b-2,hsa-mir-20b,hsa-mir-18b,hsa-mir-106a"
9424,"KCNK6","hsa-mir-302b-3p","hsa-mir-211-5p",5e-04,FALSE,NA,"mirtarbase","mirtarbase",0.00205864591801184,TRUE,"miR-302-3p/372-3p/373-3p/520-3p","miR-204-5p/211-5p","hsa-mir-367,hsa-mir-302d,hsa-mir-302a,hsa-mir-302c,hsa-mir-302b","hsa-mir-211"
9481,"SLC25A27","hsa-mir-410-3p","hsa-mir-122-5p",0.006,FALSE,NA,"mirtarbase","tarbase",0.0171330541237113,TRUE,"miR-410-3p","miR-122-5p","hsa-mir-323b,hsa-mir-154,hsa-mir-496,hsa-mir-377,hsa-mir-541,hsa-mir-409,hsa-mir-412,hsa-mir-369,hsa-mir-410,hsa-mir-656","hsa-mir-122,hsa-mir-3591"
9530,"BAG4","hsa-mir-429","hsa-mir-9-5p",0,FALSE,NA,"mirtarbase","tarbase",0,TRUE,"miR-200bc-3p/429","miR-9-5p","hsa-mir-200b,hsa-mir-200a,hsa-mir-429","hsa-mir-9-1"
9655,"SOCS5","hsa-mir-373-3p","hsa-mir-106a-5p",0.002,FALSE,NA,"mirtarbase","mirtarbase",0.00687181806434939,TRUE,"miR-302-3p/372-3p/373-3p/520-3p","miR-17-5p/20-5p/93-5p/106-5p/519-3p","hsa-mir-371a,hsa-mir-371b,hsa-mir-372,hsa-mir-373","hsa-mir-363,hsa-mir-92a-2,hsa-mir-19b-2,hsa-mir-20b,hsa-mir-18b,hsa-mir-106a"
9655,"SOCS5","hsa-mir-373-3p","hsa-mir-20b-5p",0,FALSE,NA,"mirtarbase","mirtarbase tarbase",0,TRUE,"miR-302-3p/372-3p/373-3p/520-3p","miR-17-5p/20-5p/93-5p/106-5p/519-3p","hsa-mir-371a,hsa-mir-371b,hsa-mir-372,hsa-mir-373","hsa-mir-363,hsa-mir-92a-2,hsa-mir-19b-2,hsa-mir-20b,hsa-mir-18b,hsa-mir-106a"
9839,"ZEB2","hsa-mir-205-5p","hsa-mir-122-5p",0,TRUE,NA,"mirtarbase","tarbase",0,TRUE,"miR-205-5p","miR-122-5p","hsa-mir-205","hsa-mir-122,hsa-mir-3591"
9852,"EPM2AIP1","hsa-mir-141-3p","hsa-mir-92b-3p",0.0025,FALSE,NA,"tarbase","mirtarbase",0.00830200755565268,TRUE,"miR-141-3p/200a-3p","miR-25-3p/32-5p/92-3p/363-3p/367-3p","hsa-mir-200c,hsa-mir-141","hsa-mir-92b"
9865,"TRIL","hsa-mir-29a-3p","hsa-mir-29b-3p",0.001,FALSE,NA,"tarbase","tarbase",0.0037967444849004,TRUE,"miR-29-3p","miR-29-3p","hsa-mir-29a,hsa-mir-29b-1","hsa-mir-29a,hsa-mir-29b-1"
9865,"TRIL","hsa-mir-29c-3p","hsa-mir-29a-3p",0.0035,FALSE,NA,"tarbase","tarbase",0.0109884585866934,TRUE,"miR-29-3p","miR-29-3p","hsa-mir-29c,hsa-mir-29b-2","hsa-mir-29a,hsa-mir-29b-1"
9865,"TRIL","hsa-mir-29c-3p","hsa-mir-29b-3p",0.0095,FALSE,NA,"tarbase","tarbase",0.0248931782907541,TRUE,"miR-29-3p","miR-29-3p","hsa-mir-29c,hsa-mir-29b-2","hsa-mir-29a,hsa-mir-29b-1"
10000,"AKT3","hsa-mir-124-3p","hsa-mir-497-5p",0.0035,FALSE,NA,"mirtarbase","mirtarbase tarbase",0.0109884585866934,TRUE,NA,"miR-15-5p/16-5p/195-5p/424-5p/497-5p","hsa-mir-124-1","hsa-mir-195,hsa-mir-497"
10000,"AKT3","hsa-mir-124-3p","hsa-mir-548d-3p",0.006,FALSE,NA,"mirtarbase","tarbase",0.0171330541237113,TRUE,NA,"miR-548ac/548bb-3p/548d-3p/548h-3p/548z","hsa-mir-124-1","hsa-mir-548aa-1,hsa-mir-548d-1"
10123,"ARL4C","hsa-mir-302c-3p","hsa-mir-486-3p",0.001,FALSE,NA,"tarbase","mirtarbase",0.0037967444849004,TRUE,NA,"miR-486-3p","hsa-mir-367,hsa-mir-302d,hsa-mir-302a,hsa-mir-302c,hsa-mir-302b",NA
10395,"DLC1","hsa-mir-138-5p","hsa-mir-499a-3p",0.0025,FALSE,NA,"tarbase","tarbase",0.00830200755565268,TRUE,"miR-138-5p","miR-499a-3p/499b-3p","hsa-mir-138-2","hsa-mir-499a,hsa-mir-499b"
10397,"NDRG1","hsa-mir-20b-5p","hsa-mir-9-5p",0.0065,FALSE,NA,"tarbase","tarbase",0.0182791232615938,TRUE,"miR-17-5p/20-5p/93-5p/106-5p/519-3p","miR-9-5p","hsa-mir-363,hsa-mir-92a-2,hsa-mir-19b-2,hsa-mir-20b,hsa-mir-18b,hsa-mir-106a","hsa-mir-9-1"
10397,"NDRG1","hsa-mir-9-5p","hsa-mir-548f-3p",0,FALSE,NA,"tarbase","mirtarbase",0,TRUE,"miR-9-5p","miR-548az-3p/548ar-3p/548a-3p/548e-3p/548f-3p","hsa-mir-9-1","hsa-mir-548f-2"
10525,"HYOU1","hsa-mir-135a-5p","hsa-mir-940",0.0035,FALSE,NA,"tarbase","tarbase",0.0109884585866934,TRUE,"miR-135-5p","miR-940/6808-5p/6893-5p","hsa-mir-135a-1","hsa-mir-3677,hsa-mir-940,hsa-mir-4717"
10525,"HYOU1","hsa-mir-424-5p","hsa-mir-940",0,FALSE,NA,"tarbase","tarbase",0,TRUE,"miR-15-5p/16-5p/195-5p/424-5p/497-5p","miR-940/6808-5p/6893-5p","hsa-mir-450b,hsa-mir-450a-1,hsa-mir-450a-2,hsa-mir-542,hsa-mir-503,hsa-mir-424","hsa-mir-3677,hsa-mir-940,hsa-mir-4717"
10525,"HYOU1","hsa-mir-429","hsa-mir-424-5p",0.0025,FALSE,NA,"tarbase","tarbase",0.00830200755565268,TRUE,"miR-200bc-3p/429","miR-15-5p/16-5p/195-5p/424-5p/497-5p","hsa-mir-200b,hsa-mir-200a,hsa-mir-429","hsa-mir-450b,hsa-mir-450a-1,hsa-mir-450a-2,hsa-mir-542,hsa-mir-503,hsa-mir-424"
10525,"HYOU1","hsa-mir-429","hsa-mir-940",0.008,FALSE,NA,"tarbase","tarbase",0.0216590133889935,TRUE,"miR-200bc-3p/429","miR-940/6808-5p/6893-5p","hsa-mir-200b,hsa-mir-200a,hsa-mir-429","hsa-mir-3677,hsa-mir-940,hsa-mir-4717"
10525,"HYOU1","hsa-mir-676-3p","hsa-mir-940",0.006,FALSE,NA,"tarbase","tarbase",0.0171330541237113,TRUE,"miR-676-3p","miR-940/6808-5p/6893-5p","hsa-mir-676","hsa-mir-3677,hsa-mir-940,hsa-mir-4717"
10525,"HYOU1","hsa-mir-760","hsa-mir-497-5p",0.0095,FALSE,NA,"mirtarbase tarbase","tarbase",0.0248931782907541,TRUE,"miR-760","miR-15-5p/16-5p/195-5p/424-5p/497-5p","hsa-mir-760","hsa-mir-195,hsa-mir-497"
10525,"HYOU1","hsa-mir-760","hsa-mir-940",0.0015,FALSE,NA,"mirtarbase tarbase","tarbase",0.005383963824115,TRUE,"miR-760","miR-940/6808-5p/6893-5p","hsa-mir-760","hsa-mir-3677,hsa-mir-940,hsa-mir-4717"
10618,"TGOLN2","hsa-mir-193b-5p","hsa-mir-301b-3p",5e-04,FALSE,NA,"tarbase","tarbase",0.00205864591801184,TRUE,"miR-193b-5p","miR-130-3p/301-3p/454-3p","hsa-mir-193b,hsa-mir-365a","hsa-mir-301b,hsa-mir-130b"
10628,"TXNIP","hsa-mir-1305","hsa-mir-935",0.0045,FALSE,NA,"tarbase","tarbase",0.0135297659430122,TRUE,"miR-1305","miR-935","hsa-mir-1305","hsa-mir-935"
10628,"TXNIP","hsa-mir-134-5p","hsa-mir-135b-5p",0.004,FALSE,NA,"mirtarbase","mirtarbase tarbase",0.0122734825755827,TRUE,"miR-134-5p","miR-135-5p","hsa-mir-381,hsa-mir-487b,hsa-mir-539,hsa-mir-889,hsa-mir-544a,hsa-mir-655,hsa-mir-487a,hsa-mir-382,hsa-mir-134,hsa-mir-668,hsa-mir-485,hsa-mir-323b,hsa-mir-154,hsa-mir-496,hsa-mir-377,hsa-mir-541","hsa-mir-135b"
10628,"TXNIP","hsa-mir-345-5p","hsa-mir-18b-5p",0,FALSE,NA,"tarbase","mirtarbase",0,TRUE,"miR-345-5p","miR-18-5p","hsa-mir-345","hsa-mir-363,hsa-mir-92a-2,hsa-mir-19b-2,hsa-mir-20b,hsa-mir-18b,hsa-mir-106a"
10628,"TXNIP","hsa-mir-935","hsa-mir-18b-5p",0.001,FALSE,NA,"tarbase","mirtarbase",0.0037967444849004,TRUE,"miR-935","miR-18-5p","hsa-mir-935","hsa-mir-363,hsa-mir-92a-2,hsa-mir-19b-2,hsa-mir-20b,hsa-mir-18b,hsa-mir-106a"
