"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","BH_pvalues_adjusted","BH_rejected","miRNA1Family","miRNA2Family","miRNA1Cluster","miRNA2Cluster"
10114,"HIPK3","hsa-mir-30a-5p","hsa-mir-221-3p",0.0075,FALSE,NA,NA,NA,"tarbase","tarbase",0.204996318114875,FALSE,"miR-30-5p","miR-221-3p/222-3p","hsa-mir-30a","hsa-mir-221,hsa-mir-222"
10114,"HIPK3","hsa-mir-429","hsa-mir-29b-1-5p",0.0035,FALSE,NA,NA,NA,"tarbase","tarbase",0.15959828009828,FALSE,"miR-200bc-3p/429","miR-29b-1-5p","hsa-mir-200b,hsa-mir-200a,hsa-mir-429","hsa-mir-29a,hsa-mir-29b-1"
10114,"HIPK3","hsa-mir-7-1-3p","hsa-mir-7-5p",0.001,FALSE,NA,NA,NA,"tarbase","tarbase",0.096160621761658,FALSE,"miR-7-3p","miR-7-5p","hsa-mir-7-1","hsa-mir-7-1"
10116,"FEM1B","hsa-mir-106a-5p","hsa-mir-200a-3p",0,FALSE,NA,NA,NA,"mirtarbase tarbase","tarbase",0,TRUE,"miR-17-5p/20-5p/93-5p/106-5p/519-3p","miR-141-3p/200a-3p","hsa-mir-363,hsa-mir-92a-2,hsa-mir-19b-2,hsa-mir-20b,hsa-mir-18b,hsa-mir-106a","hsa-mir-200b,hsa-mir-200a,hsa-mir-429"
10123,"ARL4C","hsa-mir-362-3p","hsa-mir-660-5p",0.006,FALSE,NA,NA,NA,"mirtarbase","mirtarbase",0.187464646464646,FALSE,"miR-329-3p/362-3p","miR-660-5p","hsa-mir-532,hsa-mir-188,hsa-mir-500a,hsa-mir-362,hsa-mir-501,hsa-mir-500b,hsa-mir-660,hsa-mir-502","hsa-mir-188,hsa-mir-500a,hsa-mir-362,hsa-mir-501,hsa-mir-500b,hsa-mir-660,hsa-mir-502"
10188,"TNK2","hsa-mir-491-5p","hsa-mir-744-5p",0.002,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/25427824'>PubMedLink</a>","tarbase","tarbase",0.124976430976431,FALSE,"miR-491-5p","miR-744-5p","hsa-mir-491","hsa-mir-744"
10188,"TNK2","hsa-mir-7-5p","hsa-mir-330-5p",0.009,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/25427824'>PubMedLink</a>","tarbase","tarbase",0.216923376623377,FALSE,"miR-7-5p","miR-326","hsa-mir-7-1","hsa-mir-330"
10220,"GDF11","hsa-mir-18b-5p","hsa-mir-1226-3p",0.007,FALSE,NA,NA,NA,"tarbase","tarbase",0.202356697819315,FALSE,"miR-18-5p","miR-1226-3p","hsa-mir-363,hsa-mir-92a-2,hsa-mir-19b-2,hsa-mir-20b,hsa-mir-18b,hsa-mir-106a","hsa-mir-1226"
10241,"CALCOCO2","hsa-mir-129-5p","hsa-mir-20a-5p",0.008,FALSE,NA,NA,NA,"mirtarbase","tarbase",0.208821378340366,FALSE,"miR-129-5p","miR-17-5p/20-5p/93-5p/106-5p/519-3p","hsa-mir-129-1","hsa-mir-17,hsa-mir-18a,hsa-mir-19a,hsa-mir-20a,hsa-mir-19b-1,hsa-mir-92a-1"
10384,"BTN3A3","hsa-mir-335-5p","hsa-mir-17-5p",0.0095,FALSE,NA,NA,NA,"mirtarbase tarbase","mirtarbase",0.219564757160648,FALSE,"miR-335-5p","miR-17-5p/20-5p/93-5p/106-5p/519-3p","hsa-mir-335","hsa-mir-17,hsa-mir-18a,hsa-mir-19a,hsa-mir-20a,hsa-mir-19b-1,hsa-mir-92a-1"
10472,"ZBTB18","hsa-mir-330-3p","hsa-mir-141-3p",0.004,TRUE,NA,NA,NA,"mirtarbase","tarbase",0.164968888888889,FALSE,"miR-330-3p","miR-141-3p/200a-3p","hsa-mir-330","hsa-mir-200c,hsa-mir-141"
10484,"SEC23A","hsa-mir-141-3p","hsa-mir-141-5p",0.003,FALSE,NA,NA,NA,"tarbase","tarbase",0.152539726027397,FALSE,"miR-141-3p/200a-3p","miR-141-5p","hsa-mir-200c,hsa-mir-141","hsa-mir-200c,hsa-mir-141"
10484,"SEC23A","hsa-mir-141-3p","hsa-mir-200c-3p",0.003,FALSE,NA,NA,NA,"tarbase","mirtarbase tarbase",0.152539726027397,FALSE,"miR-141-3p/200a-3p","miR-200bc-3p/429","hsa-mir-200c,hsa-mir-141","hsa-mir-200c,hsa-mir-141"
10484,"SEC23A","hsa-mir-200c-3p","hsa-mir-141-5p",0.004,FALSE,NA,NA,NA,"mirtarbase tarbase","tarbase",0.164968888888889,FALSE,"miR-200bc-3p/429","miR-141-5p","hsa-mir-200c,hsa-mir-141","hsa-mir-200c,hsa-mir-141"
10509,"SEMA4B","hsa-mir-149-5p","hsa-mir-106a-5p",0.005,FALSE,NA,NA,NA,"tarbase","tarbase",0.178451923076923,FALSE,"miR-149-5p","miR-17-5p/20-5p/93-5p/106-5p/519-3p","hsa-mir-149","hsa-mir-363,hsa-mir-92a-2,hsa-mir-19b-2,hsa-mir-20b,hsa-mir-18b,hsa-mir-106a"
10618,"TGOLN2","hsa-mir-7-5p","hsa-mir-20a-5p",0.0085,FALSE,NA,NA,NA,"mirtarbase tarbase","mirtarbase",0.211746979865772,FALSE,"miR-7-5p","miR-17-5p/20-5p/93-5p/106-5p/519-3p","hsa-mir-7-1","hsa-mir-17,hsa-mir-18a,hsa-mir-19a,hsa-mir-20a,hsa-mir-19b-1,hsa-mir-92a-1"
10620,"ARID3B","hsa-mir-98-5p","hsa-let-7d-5p",0.0055,TRUE,NA,NA,NA,"mirtarbase tarbase","mirtarbase tarbase",0.185253176043557,FALSE,"let-7-5p/98-5p","let-7-5p/98-5p","hsa-mir-98,hsa-let-7f-2","hsa-let-7a-1,hsa-let-7f-1,hsa-let-7d"
