"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","BH_pvalues_adjusted","BH_rejected","miRNA1Family","miRNA2Family","miRNA1Cluster","miRNA2Cluster"
57198,"ATP8B2","hsa-mir-194-5p","hsa-mir-939-5p",0.0085,FALSE,NA,NA,NA,"tarbase","tarbase",0.331314285714286,FALSE,"miR-194-5p","miR-939-5p/1343-5p","hsa-mir-215,hsa-mir-194-1","hsa-mir-939,hsa-mir-1234"
57475,"PLEKHH1","hsa-mir-200c-3p","hsa-mir-2355-3p",0.006,FALSE,NA,NA,NA,"tarbase","tarbase",0.311302013422819,FALSE,"miR-200bc-3p/429","miR-2355-3p","hsa-mir-200c,hsa-mir-141","hsa-mir-2355"
57493,"HEG1","hsa-mir-130b-3p","hsa-mir-9-5p",0.0095,FALSE,NA,NA,NA,"mirtarbase","tarbase",0.33896,FALSE,"miR-130-3p/301-3p/454-3p","miR-9-5p","hsa-mir-301b,hsa-mir-130b","hsa-mir-9-1"
57551,"TAOK1","hsa-mir-2355-5p","hsa-mir-769-3p",0.0095,FALSE,NA,NA,NA,"mirtarbase tarbase","tarbase",0.33896,FALSE,"miR-2355-5p","miR-450b-3p/769-3p","hsa-mir-2355","hsa-mir-769"
57608,"JCAD","hsa-mir-301b-3p","hsa-mir-149-5p",5e-04,FALSE,NA,NA,NA,"tarbase","mirtarbase",0.1115,FALSE,"miR-130-3p/301-3p/454-3p","miR-149-5p","hsa-mir-301b,hsa-mir-130b","hsa-mir-149"
57659,"ZBTB4","hsa-mir-18a-3p","hsa-mir-204-5p",0.005,TRUE,NA,NA,NA,"tarbase","tarbase",0.29062656641604,FALSE,"miR-18a-3p","miR-204-5p/211-5p","hsa-mir-17,hsa-mir-18a,hsa-mir-19a,hsa-mir-20a,hsa-mir-19b-1,hsa-mir-92a-1","hsa-mir-204"
57659,"ZBTB4","hsa-mir-18a-3p","hsa-mir-7-5p",0.001,TRUE,NA,NA,NA,"tarbase","tarbase",0.159944827586207,FALSE,"miR-18a-3p","miR-7-5p","hsa-mir-17,hsa-mir-18a,hsa-mir-19a,hsa-mir-20a,hsa-mir-19b-1,hsa-mir-92a-1","hsa-mir-7-1"
57688,"ZSWIM6","hsa-mir-33a-5p","hsa-mir-98-5p",0.004,FALSE,NA,NA,NA,"tarbase","tarbase",0.266574712643678,FALSE,"miR-33-5p","let-7-5p/98-5p","hsa-mir-33a","hsa-mir-98,hsa-let-7f-2"
57690,"TNRC6C","hsa-mir-129-5p","hsa-mir-301b-3p",0.003,FALSE,NA,NA,NA,"tarbase","tarbase",0.245851590106007,FALSE,"miR-129-5p","miR-130-3p/301-3p/454-3p","hsa-mir-129-1","hsa-mir-301b,hsa-mir-130b"
57826,"RAP2C","hsa-mir-296-5p","hsa-mir-107",0.007,FALSE,NA,NA,NA,"tarbase","tarbase",0.321473267326733,FALSE,"miR-296-5p","miR-103-3p/107","hsa-mir-296,hsa-mir-298","hsa-mir-107"
59084,"ENPP5","hsa-mir-130b-3p","hsa-mir-301a-3p",0.0045,FALSE,NA,NA,NA,"mirtarbase tarbase","mirtarbase tarbase",0.279048128342246,FALSE,"miR-130-3p/301-3p/454-3p","miR-130-3p/301-3p/454-3p","hsa-mir-301b,hsa-mir-130b","hsa-mir-301a"
59084,"ENPP5","hsa-mir-130b-3p","hsa-mir-301b-3p",0,FALSE,NA,NA,NA,"mirtarbase tarbase","mirtarbase tarbase",0,TRUE,"miR-130-3p/301-3p/454-3p","miR-130-3p/301-3p/454-3p","hsa-mir-301b,hsa-mir-130b","hsa-mir-301b,hsa-mir-130b"
59283,"CACNG8","hsa-mir-223-3p","hsa-mir-204-5p",0.005,FALSE,NA,NA,NA,"mirtarbase","mirtarbase",0.29062656641604,FALSE,"miR-223-3p","miR-204-5p/211-5p","hsa-mir-223","hsa-mir-204"
64393,"ZMAT3","hsa-mir-130b-3p","hsa-mir-200c-3p",0.008,FALSE,NA,NA,NA,"mirtarbase tarbase","mirtarbase tarbase",0.331314285714286,FALSE,"miR-130-3p/301-3p/454-3p","miR-200bc-3p/429","hsa-mir-301b,hsa-mir-130b","hsa-mir-200c,hsa-mir-141"
64393,"ZMAT3","hsa-mir-130b-3p","hsa-mir-2355-5p",0,FALSE,NA,NA,NA,"mirtarbase tarbase","tarbase",0,TRUE,"miR-130-3p/301-3p/454-3p","miR-2355-5p","hsa-mir-301b,hsa-mir-130b","hsa-mir-2355"
64393,"ZMAT3","hsa-mir-130b-3p","hsa-mir-301b-3p",0.006,FALSE,NA,NA,NA,"mirtarbase tarbase","mirtarbase tarbase",0.311302013422819,FALSE,"miR-130-3p/301-3p/454-3p","miR-130-3p/301-3p/454-3p","hsa-mir-301b,hsa-mir-130b","hsa-mir-301b,hsa-mir-130b"
64393,"ZMAT3","hsa-mir-2355-3p","hsa-mir-130b-3p",0.0055,FALSE,NA,NA,NA,"mirtarbase tarbase","mirtarbase tarbase",0.304429594272076,FALSE,"miR-2355-3p","miR-130-3p/301-3p/454-3p","hsa-mir-2355","hsa-mir-301b,hsa-mir-130b"
64393,"ZMAT3","hsa-mir-2355-3p","hsa-mir-301b-3p",0.001,FALSE,NA,NA,NA,"mirtarbase tarbase","mirtarbase tarbase",0.159944827586207,FALSE,"miR-2355-3p","miR-130-3p/301-3p/454-3p","hsa-mir-2355","hsa-mir-301b,hsa-mir-130b"
