"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target","BH_pvalues_adjusted"
"hsa-mir-301a-3p","hsa-mir-769-3p",11016,"ATF7",1387,"CREBBP",1,0,0.126,0.088,5e-04,0.0275537258815702
"hsa-mir-338-3p","hsa-mir-500a-5p",6772,"STAT1",1435,"CSF1",1,0,0.0845,0.372,5e-04,0.0275537258815702
"hsa-mir-29a-5p","hsa-mir-532-3p",3091,"HIF1A",1490,"CCN2",1,0.001,0.0175,0.57,5e-04,0.0275537258815702
"hsa-mir-324-5p","hsa-mir-455-3p",2113,"ETS1",1508,"CTSB",1,0.001,0.023,0.035,5e-04,0.0275537258815702
"hsa-mir-193b-3p","hsa-mir-30b-5p",7543,"ZFX",1656,"DDX6",1,0.001,0.0165,0.4875,5e-04,0.0275537258815702
"hsa-mir-20b-5p","hsa-mir-671-5p",1523,"CUX1",1938,"EEF2",1,0,0.011,0.0125,0,0
"hsa-mir-20b-5p","hsa-mir-629-3p",1523,"CUX1",1938,"EEF2",1,0,0.0135,0.706,0.001,0.0440683692471402
"hsa-mir-30b-5p","hsa-mir-324-5p",2113,"ETS1",2078,"ERG",1,0.005,0.632,0.176,5e-04,0.0275537258815702
"hsa-let-7f-5p","hsa-let-7g-3p",1820,"ARID3A",2081,"ERN1",1,0,0.23,0.093,0,0
"hsa-mir-29a-5p","hsa-mir-616-5p",3091,"HIF1A",2113,"ETS1",1,0,0.024,0.061,0,0
"hsa-mir-29a-5p","hsa-mir-93-3p",3091,"HIF1A",2113,"ETS1",1,5e-04,0.0395,0.0135,0,0
"hsa-mir-29a-5p","hsa-mir-589-3p",3091,"HIF1A",2113,"ETS1",1,0,0.0595,0.0135,0.001,0.0440683692471402
"hsa-mir-20b-5p","hsa-mir-363-3p",1958,"EGR1",2152,"F3",1,0.003,0.0445,0.0335,5e-04,0.0275537258815702
"hsa-mir-130a-3p","hsa-mir-20a-5p",6667,"SP1",2152,"F3",1,0,0.6835,0.4885,5e-04,0.0275537258815702
"hsa-mir-324-5p","hsa-mir-532-3p",3091,"HIF1A",2247,"FGF2",1,0.001,0.1505,0.275,0.001,0.0440683692471402
"hsa-mir-26b-3p","hsa-mir-93-3p",3091,"HIF1A",2247,"FGF2",1,0.0015,0.9665,0.076,0.001,0.0440683692471402
"hsa-mir-589-3p","hsa-mir-93-3p",367,"AR",2289,"FKBP5",1,0.0035,0.551,0.0285,5e-04,0.0275537258815702
"hsa-mir-29a-5p","hsa-mir-616-5p",3091,"HIF1A",2321,"FLT1",1,0,0.035,0.8135,0,0
"hsa-mir-145-5p","hsa-mir-324-5p",4772,"NFATC1",2534,"FYN",1,0,0.3085,0.4495,0,0
"hsa-mir-421","hsa-mir-940",3091,"HIF1A",3098,"HK1",1,0.003,0.0255,0.395,5e-04,0.0275537258815702
"hsa-mir-3065-5p","hsa-mir-378c",144455,"E2F7",3190,"HNRNPK",1,0,0.03,0.012,0.001,0.0440683692471402
"hsa-mir-135b-5p","hsa-mir-200a-3p",4609,"MYC",3308,"HSPA4",1,0,0.495,0.051,0,0
