"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target","BH_pvalues_adjusted"
"hsa-mir-142-3p","hsa-mir-29b-3p",6925,"TCF4",55074,"OXR1",1,5e-04,0.176,0.0615,0,0
"hsa-mir-424-5p","hsa-mir-425-5p",10009,"ZBTB33",55334,"SLC39A9",1,0,0.657,0.141,0.0015,0.0363567010309278
"hsa-mir-182-5p","hsa-mir-204-5p",3660,"IRF2",55629,"PNRC2",1,0.0075,0.0805,0.264,0.0015,0.0363567010309278
"hsa-mir-338-3p","hsa-mir-582-5p",7182,"NR2C2",55660,"PRPF40A",1,0,0.087,0.885,0.002,0.0439132510117256
"hsa-mir-130a-3p","hsa-mir-301b-3p",7003,"TEAD1",55714,"TENM3",1,5e-04,0.422,0.015,0.002,0.0439132510117256
"hsa-mir-30c-5p","hsa-mir-410-3p",3091,"HIF1A",55818,"KDM3A",1,5e-04,0.3985,0.1265,0,0
"hsa-mir-142-5p","hsa-mir-30c-5p",3091,"HIF1A",55818,"KDM3A",1,0.0035,0.0265,0.39,0.002,0.0439132510117256
"hsa-mir-335-5p","hsa-mir-429",8202,"NCOA3",56204,"ATOSA",1,0.003,0.486,0.0475,5e-04,0.0164666147859922
"hsa-mir-18a-3p","hsa-mir-363-3p",3662,"IRF4",65983,"GRAMD2B",1,0.001,0.0975,0.089,0,0
"hsa-mir-196b-5p","hsa-mir-370-3p",1876,"E2F6",79047,"KCTD15",-1,0,0.0115,0.4415,0,0
"hsa-mir-30a-3p","hsa-mir-30a-5p",6671,"SP4",79595,"SAP130",1,0,0.0445,0.0355,0,0
"hsa-mir-19a-3p","hsa-mir-500b-5p",4205,"MEF2A",79712,"GTDC1",1,0,0.0545,0.4685,0.001,0.0274764316322555
"hsa-mir-19a-3p","hsa-mir-500a-5p",4205,"MEF2A",79712,"GTDC1",1,0,0.057,0.467,0,0
"hsa-mir-19b-3p","hsa-mir-500a-5p",4205,"MEF2A",79712,"GTDC1",1,0,0.0225,0.477,0,0
"hsa-mir-19b-3p","hsa-mir-500b-5p",4205,"MEF2A",79712,"GTDC1",1,0,0.019,0.4515,5e-04,0.0164666147859922
"hsa-mir-20a-5p","hsa-mir-500a-5p",571,"BACH1",79745,"CLIP4",1,0,0.41,0.0275,0.002,0.0439132510117256
"hsa-mir-106a-5p","hsa-mir-18a-5p",10765,"KDM5B",80790,"CMIP",1,0,0.0285,0.1045,0.002,0.0439132510117256
"hsa-mir-19b-3p","hsa-mir-411-5p",1997,"ELF1",81619,"TSPAN14",1,0,0.126,0.281,0,0
"hsa-mir-19a-3p","hsa-mir-411-5p",1997,"ELF1",81619,"TSPAN14",1,0,0.058,0.272,5e-04,0.0164666147859922
"hsa-mir-193b-3p","hsa-mir-31-5p",1870,"E2F2",83879,"CDCA7",1,0,0.0815,0.144,5e-04,0.0164666147859922
"hsa-mir-200a-3p","hsa-mir-33a-5p",7543,"ZFX",84333,"PCGF5",1,0.004,0.148,0.173,0.0015,0.0363567010309278
"hsa-mir-338-3p","hsa-mir-7-5p",7003,"TEAD1",84441,"MAML2",1,0.0065,0.108,0.453,5e-04,0.0164666147859922
"hsa-mir-130a-3p","hsa-mir-345-5p",3662,"IRF4",84541,"KBTBD8",1,0,0.4995,0.0225,0.001,0.0274764316322555
"hsa-mir-30c-5p","hsa-mir-505-5p",1523,"CUX1",91663,"MYADM",1,0,0.016,0.4275,0.002,0.0439132510117256
"hsa-mir-20a-5p","hsa-mir-7-5p",196528,"ARID2",124540,"MSI2",1,5e-04,0.155,0.0405,0.001,0.0274764316322555
"hsa-mir-20a-5p","hsa-mir-7-5p",4150,"MAZ",124540,"MSI2",1,0.007,0.155,0.0405,0.001,0.0274764316322555
"hsa-mir-20a-5p","hsa-mir-7-5p",11016,"ATF7",124540,"MSI2",1,0,0.155,0.0405,0.001,0.0274764316322555
"hsa-mir-301a-3p","hsa-mir-432-5p",7543,"ZFX",155435,"RBM33",1,5e-04,0.096,0.108,0.002,0.0439132510117256
"hsa-mir-129-5p","hsa-mir-193b-3p",6925,"TCF4",201134,"CEP112",1,0,0.066,0.0455,0,0
"hsa-mir-18a-5p","hsa-mir-200b-3p",196,"AHR",375449,"MAST4",1,0,0.011,0.5665,0,0
"hsa-mir-200b-3p","hsa-mir-429",196,"AHR",375449,"MAST4",1,0,0.5665,0.013,0,0
