miRNA1,miRNA2,TF,Target,ModeOfRegulation,TwoVar_mirna1_tf,TwoVar_mirna1_target,TwoVar_mirna2_target,mirna1mirna2_target,BH_rejected,BH_pvalues_adjusted
hsa-mir-130a-3p,hsa-mir-195-5p,23764,8553,1,0.0065,0.0935,0.017,0.004,True,0.022728156096547065
hsa-let-7b-5p,hsa-mir-411-5p,25988,29777,1,0.0035,0.5,0.7335,0.0005,True,0.0044329671220659185
hsa-mir-181a-5p,hsa-mir-25-3p,2624,285,1,0.0035,0.0195,0.0295,0.0045,True,0.024807340374580926
hsa-mir-141-3p,hsa-mir-195-3p,2625,4609,1,0.0,0.0185,0.0715,0.0005,True,0.0044329671220659185
hsa-mir-141-3p,hsa-mir-195-5p,2625,4609,1,0.0,0.012,0.039,0.007,True,0.03415371572630123
hsa-mir-141-3p,hsa-mir-497-5p,2625,4609,1,0.0,0.0135,0.069,0.0005,True,0.0044329671220659185
hsa-mir-15a-5p,hsa-mir-450b-5p,2627,490,1,0.0,0.032,0.039,0.007,True,0.03415371572630123
hsa-mir-9-5p,hsa-mir-92b-3p,2627,90627,1,0.0045,0.0345,0.029,0.0075,True,0.03589809809371649
hsa-mir-183-5p,hsa-mir-429,27086,5366,-1,0.002,0.427,0.0545,0.009,True,0.04098415408641332
hsa-let-7a-2-3p,hsa-mir-30a-3p,27086,8289,-1,0.0,0.567,0.053,0.0,True,0.0
hsa-mir-432-5p,hsa-mir-497-3p,27086,8289,-1,0.0,0.1815,0.0325,0.0025,True,0.015961813563775434
hsa-mir-195-5p,hsa-mir-376b-3p,3091,1026,1,0.006,0.0375,0.2965,0.0045,True,0.024807340374580926
hsa-mir-130a-3p,hsa-mir-497-5p,3091,10370,1,0.0,0.133,0.135,0.002,True,0.013460700437003755
hsa-mir-16-1-3p,hsa-mir-376a-5p,3091,11201,1,0.0,0.28,0.501,0.006,True,0.03065545276142417
hsa-mir-299-3p,hsa-mir-92b-3p,3091,1871,1,0.0005,0.2955,0.2975,0.001,True,0.007828465063001146
hsa-mir-299-5p,hsa-mir-92b-3p,3091,1871,1,0.0045,0.02,0.311,0.0025,True,0.015961813563775434
hsa-mir-497-3p,hsa-mir-577,3091,1871,1,0.0005,0.0335,0.713,0.0095,True,0.0426185562780775
hsa-mir-16-1-3p,hsa-mir-17-5p,3091,19,1,0.0,0.019,0.014,0.0025,True,0.015961813563775434
hsa-mir-130a-3p,hsa-mir-940,3091,1906,1,0.0,0.0175,0.16,0.0025,True,0.015961813563775434
hsa-mir-299-3p,hsa-mir-379-5p,3091,1906,1,0.0,0.0115,0.1965,0.0015,True,0.010773909616395166
hsa-mir-429,hsa-mir-452-3p,3091,2673,1,0.0015,0.167,0.0395,0.0025,True,0.015961813563775434
hsa-mir-141-3p,hsa-mir-9-5p,3091,2908,1,0.0,0.016,0.028,0.0015,True,0.010773909616395166
hsa-mir-299-5p,hsa-mir-429,3091,2908,1,0.004,0.037,0.1,0.006,True,0.03065545276142417
hsa-mir-130a-3p,hsa-mir-376b-3p,3091,3099,1,0.0,0.029,0.062,0.0065,True,0.03241048791609667
hsa-mir-130a-3p,hsa-mir-497-3p,3091,3099,1,0.0,0.045,0.0105,0.008,True,0.03764616774970952
hsa-mir-125b-5p,hsa-mir-130a-3p,3091,3156,1,0.0015,0.193,0.511,0.0,True,0.0
hsa-mir-125b-5p,hsa-mir-497-3p,3091,3156,1,0.0005,0.2065,0.038,0.002,True,0.013460700437003755
hsa-mir-130a-3p,hsa-mir-7-1-3p,3091,3156,1,0.0,0.505,0.3635,0.0005,True,0.0044329671220659185
hsa-mir-518c-5p,hsa-mir-7-1-3p,3091,3156,1,0.0,0.619,0.358,0.0045,True,0.024807340374580926
hsa-mir-519c-3p,hsa-mir-7-1-3p,3091,3156,1,0.0,0.5935,0.353,0.0075,True,0.03589809809371649
hsa-mir-519d-3p,hsa-mir-7-1-3p,3091,3156,1,0.0,0.5405,0.319,0.0025,True,0.015961813563775434
hsa-mir-130a-3p,hsa-mir-204-5p,3091,3553,1,0.0,0.0875,0.3745,0.004,True,0.022728156096547065
hsa-mir-766-3p,hsa-mir-935,3091,3611,1,0.006,0.052,0.1185,0.0015,True,0.010773909616395166
hsa-mir-130a-3p,hsa-mir-130a-5p,3091,4170,1,0.0,0.0835,0.0425,0.002,True,0.013460700437003755
hsa-mir-130a-3p,hsa-mir-195-5p,3091,4170,1,0.0,0.085,0.7915,0.0015,True,0.010773909616395166
hsa-mir-130a-3p,hsa-mir-497-5p,3091,4170,1,0.0,0.089,0.6285,0.002,True,0.013460700437003755
hsa-mir-130a-5p,hsa-mir-935,3091,4170,1,0.0,0.064,0.9555,0.0025,True,0.015961813563775434
hsa-mir-130a-3p,hsa-mir-543,3091,4846,1,0.0,0.0115,0.2045,0.0025,True,0.015961813563775434
hsa-mir-106a-3p,hsa-mir-17-5p,3091,51107,1,0.0005,0.0455,0.3835,0.003,True,0.01833518710001956
hsa-mir-106a-3p,hsa-mir-20a-5p,3091,51107,1,0.0,0.0455,0.11,0.0045,True,0.024807340374580926
hsa-mir-106a-5p,hsa-mir-18a-5p,3091,51107,1,0.0015,0.148,0.723,0.004,True,0.022728156096547065
hsa-mir-142-5p,hsa-mir-17-5p,3091,51107,1,0.001,0.1635,0.349,0.003,True,0.01833518710001956
hsa-mir-15a-5p,hsa-mir-18a-5p,3091,51107,1,0.0,0.014,0.507,0.0,True,0.0
hsa-mir-15a-5p,hsa-mir-18b-5p,3091,51107,1,0.0,0.0245,0.369,0.004,True,0.022728156096547065
hsa-mir-15a-5p,hsa-mir-548d-3p,3091,51107,1,0.0,0.013,0.3785,0.006,True,0.03065545276142417
hsa-mir-16-1-3p,hsa-mir-17-5p,3091,51107,1,0.0,0.0155,0.292,0.0085,True,0.039335477591095694
hsa-mir-16-1-3p,hsa-mir-20a-5p,3091,51107,1,0.0,0.0225,0.1735,0.003,True,0.01833518710001956
hsa-mir-16-2-3p,hsa-mir-20a-5p,3091,51107,1,0.0005,0.0185,0.111,0.0005,True,0.0044329671220659185
hsa-mir-17-5p,hsa-mir-548d-3p,3091,51107,1,0.0,0.327,0.511,0.002,True,0.013460700437003755
hsa-mir-17-5p,hsa-mir-580-3p,3091,51107,1,0.0,0.254,0.115,0.0035,True,0.020577342867896125
hsa-mir-17-5p,hsa-mir-625-3p,3091,51107,1,0.0,0.3345,0.068,0.0015,True,0.010773909616395166
