"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target","BH_pvalues_adjusted"
"hsa-mir-18a-3p","hsa-mir-320d",1316,"KLF6",677,"ZFP36L1",1,0.008,0.0135,0.2905,0.001,0.0037963109535772
"hsa-mir-301b-3p","hsa-mir-335-3p",11016,"ATF7",677,"ZFP36L1",1,0,0.1715,0.3785,0.0085,0.0227665746750619
"hsa-mir-940","hsa-mir-96-5p",11016,"ATF7",677,"ZFP36L1",1,0,0.02,0.011,0.0075,0.0205637965601803
"hsa-mir-142-5p","hsa-mir-33a-3p",11016,"ATF7",677,"ZFP36L1",1,0,0.3065,0.0495,0,0
"hsa-mir-1301-3p","hsa-mir-320c",11016,"ATF7",677,"ZFP36L1",1,0,0.1925,0.0765,0,0
"hsa-mir-320b","hsa-mir-550a-5p",11016,"ATF7",677,"ZFP36L1",1,0,0.086,0.0365,0.007,0.019426893081761
"hsa-mir-20a-3p","hsa-mir-335-3p",1316,"KLF6",677,"ZFP36L1",1,0.0015,0.017,0.261,0.0035,0.0109743199840832
"hsa-mir-130b-3p","hsa-mir-142-3p",1316,"KLF6",678,"ZFP36L2",1,0.007,0.012,0.1145,0,0
"hsa-mir-221-5p","hsa-mir-224-5p",7003,"TEAD1",831,"CAST",1,0,0.0185,0.0475,5e-04,0.00206526839983525
"hsa-mir-182-5p","hsa-mir-9-5p",51274,"KLF3",831,"CAST",1,0.002,0.0415,0.081,0.0045,0.0135177676723668
"hsa-mir-218-5p","hsa-mir-9-5p",7003,"TEAD1",831,"CAST",1,0,0.2085,0.0815,0.004,0.0122608502361767
"hsa-mir-30a-5p","hsa-mir-500a-5p",196,"AHR",861,"RUNX1",1,0.006,0.7305,0.027,0.005,0.014740642092323
"hsa-mir-26b-5p","hsa-mir-93-5p",6664,"SOX11",861,"RUNX1",1,0,0.0215,0.085,0.001,0.0037963109535772
"hsa-mir-590-5p","hsa-mir-627-5p",7182,"NR2C2",889,"KRIT1",1,5e-04,0.0375,0.0175,0.001,0.0037963109535772
"hsa-mir-424-5p","hsa-mir-874-3p",6774,"STAT3",894,"CCND2",1,0.008,0.0315,0.231,0,0
"hsa-mir-424-5p","hsa-mir-505-5p",3725,"JUN",894,"CCND2",1,0.0095,0.06,0.0595,0.0085,0.0227665746750619
"hsa-mir-30a-5p","hsa-mir-320d",4609,"MYC",894,"CCND2",1,5e-04,0.178,0.0585,0.007,0.019426893081761
"hsa-mir-30a-5p","hsa-mir-940",4609,"MYC",894,"CCND2",1,0.001,0.132,0.0145,0.009,0.023840869252011
"hsa-mir-26b-5p","hsa-mir-505-5p",3725,"JUN",894,"CCND2",1,0.006,0.0275,0.0715,0.003,0.00965021772092842
"hsa-mir-26b-5p","hsa-mir-323a-3p",6774,"STAT3",894,"CCND2",1,5e-04,0.0335,0.2765,0.008,0.0216768298673653
"hsa-mir-320c","hsa-mir-874-3p",6774,"STAT3",894,"CCND2",1,0,0.1285,0.3335,0.003,0.00965021772092842
"hsa-mir-505-3p","hsa-mir-874-3p",6774,"STAT3",894,"CCND2",1,5e-04,0.0505,0.169,5e-04,0.00206526839983525
"hsa-mir-18a-5p","hsa-mir-324-5p",6774,"STAT3",896,"CCND3",1,0,0.0145,0.203,0.004,0.0122608502361767
"hsa-mir-18a-5p","hsa-mir-421",6774,"STAT3",896,"CCND3",1,0,0.0265,0.125,0,0
"hsa-mir-20a-3p","hsa-mir-421",6774,"STAT3",896,"CCND3",1,0,0.36,0.154,0.002,0.00686677317619719
"hsa-mir-130b-3p","hsa-mir-18a-3p",2309,"FOXO3",901,"CCNG2",1,0.008,0.0225,0.1725,0.0015,0.00537950932477974
"hsa-mir-27a-5p","hsa-mir-425-5p",367,"AR",901,"CCNG2",1,0,0.033,0.07,0.005,0.014740642092323
"hsa-mir-155-5p","hsa-mir-503-5p",2309,"FOXO3",901,"CCNG2",1,0,0.951,0.7375,0.004,0.0122608502361767
"hsa-mir-19b-1-5p","hsa-mir-335-5p",2113,"ETS1",925,"CD8A",1,0,0.056,0.013,0.008,0.0216768298673653
"hsa-mir-19b-3p","hsa-mir-7-5p",2099,"ESR1",942,"CD86",1,0,0.0135,0.0295,0.005,0.014740642092323
