miRNA1,miRNA2,TF,Target,ModeOfRegulation,TwoVar_mirna1_tf,TwoVar_mirna1_target,TwoVar_mirna2_target,mirna1mirna2_target,BH_rejected,BH_pvalues_adjusted
hsa-mir-197-3p,hsa-mir-19a-3p,1874,84056,-1,0.0,0.047,0.228,0.0085,True,0.0458423612819538
hsa-mir-125b-2-3p,hsa-mir-335-5p,1875,5757,1,0.0,0.0805,0.098,0.003,True,0.021789735248938284
hsa-mir-1271-5p,hsa-mir-425-5p,1876,5209,-1,0.0,0.0255,0.2265,0.0015,True,0.012953285586392123
hsa-mir-16-2-3p,hsa-mir-93-3p,1879,4026,1,0.0,0.031,0.301,0.006,True,0.035958992966672466
hsa-mir-335-5p,hsa-mir-590-5p,1879,6764,1,0.0,0.0715,0.013,0.001,True,0.009403275492298694
hsa-mir-590-5p,hsa-mir-93-3p,1879,6764,1,0.0,0.016,0.011,0.0,True,0.0
hsa-mir-155-5p,hsa-mir-363-3p,1958,2321,1,0.001,0.17,0.629,0.002,True,0.01614697512471124
hsa-mir-155-5p,hsa-mir-590-3p,1958,2321,1,0.001,0.2205,0.0475,0.009,True,0.047699406593406594
hsa-mir-301a-3p,hsa-mir-877-5p,1958,2335,1,0.0,0.0425,0.034,0.005,True,0.031594345308282895
hsa-mir-30a-3p,hsa-mir-877-5p,1958,2335,1,0.002,0.0525,0.034,0.007,True,0.040059542455740664
hsa-mir-484,hsa-mir-532-3p,1958,4323,1,0.0,0.037,0.0125,0.0045,True,0.02926225595944342
hsa-mir-191-5p,hsa-mir-615-3p,1958,56034,1,0.0,0.18,0.0805,0.0005,True,0.005303897417850702
hsa-mir-191-5p,hsa-mir-29a-5p,1958,7057,1,0.0,0.437,0.0205,0.001,True,0.009403275492298694
hsa-mir-2355-3p,hsa-mir-92a-1-5p,1958,7057,1,0.0005,0.1135,0.066,0.0075,True,0.04202729237347214
hsa-mir-484,hsa-mir-491-5p,1958,7077,1,0.0,0.046,0.518,0.0005,True,0.005303897417850702
hsa-mir-484,hsa-mir-625-5p,1958,7077,1,0.0005,0.0355,0.021,0.004,True,0.02688072678631145
hsa-mir-30a-5p,hsa-mir-491-5p,1958,7078,1,0.0,0.3195,0.276,0.0065,True,0.038037650456222094
hsa-mir-149-5p,hsa-mir-484,1958,7980,1,0.0,0.0375,0.023,0.0,True,0.0
hsa-mir-149-5p,hsa-mir-491-5p,1958,7980,1,0.0,0.053,0.0705,0.0095,True,0.04951041689178967
hsa-mir-484,hsa-mir-766-3p,1958,7980,1,0.0,0.02,0.436,0.0,True,0.0
hsa-let-7b-3p,hsa-mir-484,196,1545,1,0.0,0.04,0.0155,0.0,True,0.0
hsa-mir-148a-3p,hsa-mir-149-5p,196,1545,1,0.004,0.1495,0.0135,0.006,True,0.035958992966672466
hsa-mir-17-5p,hsa-mir-18a-5p,196,4430,1,0.0,0.0535,0.045,0.0005,True,0.005303897417850702
hsa-mir-17-5p,hsa-mir-20a-3p,196,4430,1,0.0,0.088,0.03,0.0,True,0.0
hsa-mir-654-3p,hsa-mir-758-3p,196,7227,1,0.0,0.7045,0.179,0.0005,True,0.005303897417850702
hsa-mir-20a-3p,hsa-mir-30b-3p,196,7402,1,0.006,0.03,0.068,0.0005,True,0.005303897417850702
hsa-mir-299-5p,hsa-mir-377-5p,196,7764,1,0.0,0.071,0.2815,0.0,True,0.0
hsa-mir-20a-3p,hsa-mir-503-5p,196,84159,1,0.0055,0.209,0.1855,0.0035,True,0.02440194576153579
hsa-mir-20a-3p,hsa-mir-30b-3p,196,9732,1,0.006,0.1695,0.47,0.0085,True,0.0458423612819538
hsa-mir-142-3p,hsa-mir-183-3p,196528,11176,1,0.0,0.2995,0.149,0.0065,True,0.038037650456222094
hsa-mir-155-5p,hsa-mir-429,196528,11183,1,0.0,0.011,0.045,0.0035,True,0.02440194576153579
hsa-mir-155-5p,hsa-mir-454-3p,196528,11183,1,0.0,0.013,0.211,0.001,True,0.009403275492298694
hsa-mir-149-5p,hsa-mir-500a-5p,196528,221037,1,0.0,0.155,0.017,0.007,True,0.040059542455740664
hsa-mir-500a-5p,hsa-mir-942-5p,196528,221037,1,0.0,0.013,0.1075,0.001,True,0.009403275492298694
hsa-mir-376c-3p,hsa-mir-7-5p,196528,22887,1,0.0015,0.055,0.025,0.001,True,0.009403275492298694
hsa-mir-154-3p,hsa-mir-212-3p,196528,3842,1,0.0005,0.0365,0.03,0.0005,True,0.005303897417850702
hsa-mir-212-3p,hsa-mir-410-3p,196528,3842,1,0.0,0.0325,0.0135,0.0,True,0.0
hsa-mir-92b-3p,hsa-mir-93-3p,196528,5074,1,0.0035,0.6675,0.141,0.0015,True,0.012953285586392123
hsa-mir-130b-3p,hsa-mir-93-3p,196528,80205,1,0.0,0.321,0.032,0.005,True,0.031594345308282895
hsa-mir-19b-3p,hsa-mir-93-3p,196528,80205,1,0.0,0.0535,0.0295,0.0065,True,0.038037650456222094
hsa-mir-196b-5p,hsa-mir-19a-3p,1997,10221,1,0.0,0.539,0.0365,0.003,True,0.021789735248938284
hsa-mir-18a-3p,hsa-mir-19a-3p,1997,1112,1,0.0,0.7985,0.0335,0.003,True,0.021789735248938284
hsa-mir-19a-3p,hsa-mir-33a-5p,1997,1112,1,0.0,0.035,0.407,0.001,True,0.009403275492298694
hsa-mir-20a-3p,hsa-mir-210-3p,1997,1112,1,0.0085,0.0475,0.102,0.0065,True,0.038037650456222094
hsa-mir-142-3p,hsa-mir-20a-3p,1997,259230,1,0.0065,0.2705,0.207,0.001,True,0.009403275492298694
hsa-mir-20a-3p,hsa-mir-629-3p,1997,259230,1,0.005,0.2615,0.064,0.008,True,0.0439557975802593
hsa-mir-421,hsa-mir-887-3p,1997,3482,1,0.0,0.3525,0.0145,0.0,True,0.0
hsa-mir-142-3p,hsa-mir-29a-5p,1997,4299,1,0.005,0.109,0.111,0.0025,True,0.019049150025278058
hsa-mir-342-3p,hsa-mir-744-3p,1997,6867,1,0.0,0.013,0.276,0.0005,True,0.005303897417850702
