"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target","BH_pvalues_adjusted"
"hsa-mir-3065-3p","hsa-mir-940",3725,"JUN",2353,"FOS",1,0.0015,0.525,0.3545,0.008,0.0376461677497095
"hsa-mir-3065-3p","hsa-mir-940",1051,"CEBPB",2353,"FOS",1,0,0.525,0.3545,0.008,0.0376461677497095
"hsa-mir-429","hsa-mir-452-3p",3091,"HIF1A",2673,"GFPT1",1,0.0015,0.167,0.0395,0.0025,0.0159618135637754
"hsa-let-7a-2-3p","hsa-mir-129-5p",6667,"SP1",2683,"B4GALT1",1,0,0.3125,0.3995,0.004,0.0227281560965471
"hsa-mir-1296-5p","hsa-mir-181c-5p",6667,"SP1",2683,"B4GALT1",1,5e-04,0.085,0.0155,0.001,0.00782846506300114
"hsa-mir-130a-3p","hsa-mir-33a-5p",6667,"SP1",2697,"GJA1",1,0,0.175,0.0265,0.0035,0.0205773428678961
"hsa-mir-766-3p","hsa-mir-92a-1-5p",7004,"TEAD4",2762,"GMDS",1,0,0.0745,0.134,5e-04,0.00443296712206591
"hsa-mir-128-3p","hsa-mir-766-3p",7003,"TEAD1",2762,"GMDS",1,0,0.0805,0.0635,0.0045,0.0248073403745809
"hsa-mir-625-3p","hsa-mir-766-3p",7003,"TEAD1",2762,"GMDS",1,0,0.026,0.069,0.0045,0.0248073403745809
"hsa-mir-15a-5p","hsa-mir-92b-3p",7975,"MAFK",2889,"RAPGEF1",1,0,0.1605,0.241,0.0055,0.0287304256437204
"hsa-mir-299-5p","hsa-mir-429",3091,"HIF1A",2908,"NR3C1",1,0.004,0.037,0.1,0.006,0.0306554527614242
"hsa-mir-141-3p","hsa-mir-9-5p",3091,"HIF1A",2908,"NR3C1",1,0,0.016,0.028,0.0015,0.0107739096163952
