"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target","BH_pvalues_adjusted"
"hsa-mir-1179","hsa-mir-548f-3p",7543,"ZFX",1385,"CREB1",1,0.007,0.0595,0.5315,0.005,0.0209836339966524
"hsa-mir-205-5p","hsa-mir-548j-5p",7543,"ZFX",1385,"CREB1",1,0,0.016,0.014,0.0085,0.0314493031644532
"hsa-mir-33a-3p","hsa-mir-548f-3p",5089,"PBX2",1387,"CREBBP",1,0.0075,0.0985,0.7215,0.0015,0.00818926765538431
"hsa-mir-141-5p","hsa-mir-663a",5089,"PBX2",1387,"CREBBP",1,0,0.2505,0.0155,0.0025,0.0122642883540946
"hsa-mir-302c-5p","hsa-mir-548f-3p",5089,"PBX2",1387,"CREBBP",1,0,0.122,0.5755,0.009,0.0328166173832954
"hsa-mir-424-5p","hsa-mir-450b-5p",9575,"CLOCK",1408,"CRY2",1,0,0.033,0.034,0,0
"hsa-mir-184","hsa-mir-9-5p",4790,"NFKB1",1435,"CSF1",1,0,0.0155,0.976,0.005,0.0209836339966524
"hsa-mir-141-5p","hsa-mir-3065-3p",861,"RUNX1",1436,"CSF1R",1,0,0.0105,0.0265,0.0025,0.0122642883540946
"hsa-mir-192-3p","hsa-mir-29b-3p",6774,"STAT3",1465,"CSRP1",1,0.0065,0.0335,0.0125,0.0015,0.00818926765538431
"hsa-mir-651-5p","hsa-mir-885-5p",6934,"TCF7L2",1499,"CTNNB1",1,0.0015,0.126,0.0235,0.0045,0.0193509604390578
"hsa-mir-34a-3p","hsa-mir-485-3p",6934,"TCF7L2",1499,"CTNNB1",1,0.001,0.014,0.177,0,0
"hsa-mir-182-5p","hsa-mir-873-5p",4790,"NFKB1",1508,"CTSB",1,0,0.123,0.424,0.0015,0.00818926765538431
"hsa-mir-182-5p","hsa-mir-873-5p",5970,"RELA",1508,"CTSB",1,0,0.123,0.424,0.0015,0.00818926765538431
"hsa-mir-139-5p","hsa-mir-183-5p",4790,"NFKB1",1508,"CTSB",1,0,0.088,0.357,0.001,0.00587513343226847
"hsa-mir-25-5p","hsa-mir-873-5p",5970,"RELA",1508,"CTSB",1,0,0.2025,0.346,0,0
"hsa-mir-141-5p","hsa-mir-204-5p",3659,"IRF1",1536,"CYBB",1,0.004,0.1065,0.0115,5e-04,0.00327524746727045
"hsa-mir-141-3p","hsa-mir-18b-5p",196,"AHR",1545,"CYP1B1",1,0.0015,0.038,0.2165,0,0
"hsa-mir-141-3p","hsa-mir-302a-3p",196,"AHR",1545,"CYP1B1",1,0.0035,0.036,0.061,0,0
"hsa-mir-141-3p","hsa-mir-302d-3p",196,"AHR",1545,"CYP1B1",1,0.0015,0.0345,0.058,5e-04,0.00327524746727045
"hsa-mir-141-3p","hsa-mir-302d-3p",2099,"ESR1",1545,"CYP1B1",1,0,0.0345,0.058,5e-04,0.00327524746727045
"hsa-mir-141-3p","hsa-mir-335-3p",2099,"ESR1",1545,"CYP1B1",1,0,0.038,0.0915,0.001,0.00587513343226847
"hsa-mir-141-3p","hsa-mir-519b-3p",2099,"ESR1",1545,"CYP1B1",1,0,0.04,0.025,0.0065,0.0256366798336072
"hsa-mir-335-3p","hsa-mir-410-3p",2099,"ESR1",1545,"CYP1B1",1,0,0.116,0.1,0,0
"hsa-mir-335-3p","hsa-mir-889-3p",2099,"ESR1",1545,"CYP1B1",1,0,0.0855,0.2705,0.001,0.00587513343226847
"hsa-mir-141-3p","hsa-mir-18b-5p",2099,"ESR1",1545,"CYP1B1",1,0,0.038,0.2165,0,0
"hsa-mir-141-3p","hsa-mir-302c-3p",196,"AHR",1545,"CYP1B1",1,0.0025,0.035,0.076,5e-04,0.00327524746727045
"hsa-mir-141-3p","hsa-mir-302c-3p",2099,"ESR1",1545,"CYP1B1",1,0,0.035,0.076,5e-04,0.00327524746727045
"hsa-mir-141-3p","hsa-mir-302a-3p",2099,"ESR1",1545,"CYP1B1",1,0,0.036,0.061,0,0
