entrezgene_id,hgnc_symbol,mirna1,mirna2,Lancaster_XY_Z,is_mrna_tf,mirna1Literature,mirna2Literature,mrnaLiterature,miRNA1_mRNA_DB,miRNA2_mRNA_DB,BH_pvalues_adjusted,BH_rejected
6648,SOD2,hsa-mir-342-3p,hsa-mir-150-3p,0.004,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/12580960'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16081686'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16543247'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31652453'>PubMedLink</a>",mirtarbase,mirtarbase,0.30160509554140125,FALSE
6648,SOD2,hsa-mir-409-5p,hsa-mir-183-5p,0,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/12580960'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16081686'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16543247'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31652453'>PubMedLink</a>",mirtarbase,tarbase,0,TRUE
6648,SOD2,hsa-mir-432-5p,hsa-mir-410-3p,0.009,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/12580960'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16081686'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16543247'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31652453'>PubMedLink</a>",tarbase,mirtarbase,0.3436838709677419,FALSE
7009,TMBIM6,hsa-mir-146b-5p,hsa-mir-7-5p,0.006,FALSE,NA,NA,<a href='https://pubmed.ncbi.nlm.nih.gov/30735101'>PubMedLink</a>,tarbase,tarbase,0.3350377358490566,FALSE
7048,TGFBR2,hsa-mir-940,hsa-mir-409-3p,0.002,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/10811940'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17339425'>PubMedLink</a>",mirtarbase tarbase,mirtarbase,0.2518723404255319,FALSE
7049,TGFBR3,hsa-mir-17-5p,hsa-mir-130b-5p,0.0095,FALSE,NA,NA,NA,tarbase,mirtarbase,0.3492577639751553,FALSE
7050,TGIF1,hsa-mir-150-5p,hsa-mir-181a-2-3p,0.002,TRUE,NA,NA,NA,tarbase,tarbase,0.2518723404255319,FALSE
7071,KLF10,hsa-mir-296-5p,hsa-mir-17-5p,0.0095,TRUE,NA,NA,NA,tarbase,mirtarbase tarbase,0.3492577639751553,FALSE
7171,TPM4,hsa-mir-138-5p,hsa-mir-30b-5p,0.0035,FALSE,NA,NA,NA,tarbase,tarbase,0.2917816901408451,FALSE
7185,TRAF1,hsa-mir-214-3p,hsa-mir-136-3p,0.009,FALSE,NA,NA,<a href='https://pubmed.ncbi.nlm.nih.gov/29541244'>PubMedLink</a>,mirtarbase,mirtarbase,0.3436838709677419,FALSE
7227,TRPS1,hsa-mir-1306-3p,hsa-mir-760,0.005,TRUE,NA,NA,NA,tarbase,mirtarbase,0.32344262295081966,FALSE
7227,TRPS1,hsa-mir-30b-5p,hsa-mir-183-5p,0.002,TRUE,NA,NA,NA,tarbase,tarbase,0.2518723404255319,FALSE
