entrezgene_id,hgnc_symbol,mirna1,mirna2,Lancaster_XY_Z,is_mrna_tf,mrnaLiterature,miRNA1_mRNA_DB,miRNA2_mRNA_DB,BH_pvalues_adjusted,BH_rejected
7832,BTG2,hsa-mir-106a-5p,hsa-mir-3609,0.007,FALSE,NA,mirtarbase,mirtarbase tarbase,0.0194253287413901,TRUE
7832,BTG2,hsa-mir-18b-5p,hsa-mir-3609,0.0075,FALSE,NA,tarbase,mirtarbase tarbase,0.02055066079295154,TRUE
7832,BTG2,hsa-mir-3609,hsa-mir-195-5p,0.007,FALSE,NA,mirtarbase tarbase,mirtarbase tarbase,0.0194253287413901,TRUE
7832,BTG2,hsa-mir-3609,hsa-mir-9-3p,0,FALSE,NA,mirtarbase tarbase,tarbase,0,TRUE
7832,BTG2,hsa-mir-3609,hsa-mir-9-5p,0,FALSE,NA,mirtarbase tarbase,tarbase,0,TRUE
7832,BTG2,hsa-mir-497-5p,hsa-mir-3609,0.0075,FALSE,NA,tarbase,mirtarbase tarbase,0.02055066079295154,TRUE
8106,PABPN1,hsa-mir-935,hsa-mir-497-5p,0,FALSE,NA,tarbase,tarbase,0,TRUE
8204,NRIP1,hsa-mir-651-5p,hsa-mir-7-5p,0.006,FALSE,NA,mirtarbase,tarbase,0.01713305412371134,TRUE
8323,FZD6,hsa-mir-205-3p,hsa-mir-651-5p,0.0065,FALSE,NA,mirtarbase,tarbase,0.01827912326159378,TRUE
8490,RGS5,hsa-mir-1243,hsa-mir-663a,0.0095,FALSE,NA,mirtarbase,mirtarbase,0.0248931782907541,TRUE
8553,BHLHE40,hsa-mir-629-5p,hsa-mir-767-3p,0.0085,TRUE,NA,tarbase,mirtarbase,0.022739498968761,TRUE
8693,GALNT4,hsa-mir-18b-3p,hsa-mir-2113,0.0015,FALSE,NA,mirtarbase,mirtarbase,0.005383963824115,TRUE
8853,ASAP2,hsa-mir-29b-3p,hsa-mir-373-3p,0.006,FALSE,NA,tarbase,tarbase,0.01713305412371134,TRUE
8853,ASAP2,hsa-mir-373-3p,hsa-mir-323a-5p,0.0035,FALSE,NA,tarbase,tarbase,0.01098845858669343,TRUE
8853,ASAP2,hsa-mir-373-3p,hsa-mir-487a-3p,0.0025,FALSE,NA,tarbase,tarbase,0.00830200755565268,TRUE
9031,BAZ1B,hsa-mir-3065-5p,hsa-mir-34c-5p,5e-4,FALSE,NA,tarbase,tarbase,0.00205864591801184,TRUE
9052,GPRC5A,hsa-let-7e-5p,hsa-let-7c-5p,0.002,FALSE,NA,tarbase,tarbase,0.00687181806434939,TRUE
9052,GPRC5A,hsa-let-7e-5p,hsa-mir-152-3p,5e-4,FALSE,NA,tarbase,mirtarbase,0.00205864591801184,TRUE
9052,GPRC5A,hsa-let-7e-5p,hsa-mir-582-5p,0.001,FALSE,NA,tarbase,tarbase,0.0037967444849004,TRUE
9052,GPRC5A,hsa-mir-34b-3p,hsa-mir-455-5p,0.006,FALSE,NA,mirtarbase,tarbase,0.01713305412371134,TRUE
9052,GPRC5A,hsa-mir-424-5p,hsa-mir-500b-5p,0.004,FALSE,NA,mirtarbase,mirtarbase,0.01227348257558273,TRUE
9052,GPRC5A,hsa-mir-500b-5p,hsa-mir-301a-3p,0.0075,FALSE,NA,mirtarbase,mirtarbase tarbase,0.02055066079295154,TRUE
9052,GPRC5A,hsa-mir-500b-5p,hsa-mir-582-5p,0,FALSE,NA,mirtarbase,tarbase,0,TRUE
9052,GPRC5A,hsa-mir-940,hsa-mir-500b-5p,0.002,FALSE,NA,mirtarbase tarbase,mirtarbase,0.00687181806434939,TRUE
9424,KCNK6,hsa-mir-20b-5p,hsa-mir-211-5p,0,FALSE,NA,mirtarbase,mirtarbase,0,TRUE
9424,KCNK6,hsa-mir-211-5p,hsa-mir-106a-5p,0.001,FALSE,NA,mirtarbase,mirtarbase,0.0037967444849004,TRUE
9424,KCNK6,hsa-mir-302b-3p,hsa-mir-211-5p,5e-4,FALSE,NA,mirtarbase,mirtarbase,0.00205864591801184,TRUE
9481,SLC25A27,hsa-mir-410-3p,hsa-mir-122-5p,0.006,FALSE,NA,mirtarbase,tarbase,0.01713305412371134,TRUE
9530,BAG4,hsa-mir-429,hsa-mir-9-5p,0,FALSE,NA,mirtarbase,tarbase,0,TRUE
9655,SOCS5,hsa-mir-373-3p,hsa-mir-106a-5p,0.002,FALSE,NA,mirtarbase,mirtarbase,0.00687181806434939,TRUE
9655,SOCS5,hsa-mir-373-3p,hsa-mir-20b-5p,0,FALSE,NA,mirtarbase,mirtarbase tarbase,0,TRUE
9839,ZEB2,hsa-mir-205-5p,hsa-mir-122-5p,0,TRUE,NA,mirtarbase,tarbase,0,TRUE
9852,EPM2AIP1,hsa-mir-141-3p,hsa-mir-92b-3p,0.0025,FALSE,NA,tarbase,mirtarbase,0.00830200755565268,TRUE
9865,TRIL,hsa-mir-29a-3p,hsa-mir-29b-3p,0.001,FALSE,NA,tarbase,tarbase,0.0037967444849004,TRUE
9865,TRIL,hsa-mir-29c-3p,hsa-mir-29a-3p,0.0035,FALSE,NA,tarbase,tarbase,0.01098845858669343,TRUE
9865,TRIL,hsa-mir-29c-3p,hsa-mir-29b-3p,0.0095,FALSE,NA,tarbase,tarbase,0.0248931782907541,TRUE
10000,AKT3,hsa-mir-124-3p,hsa-mir-497-5p,0.0035,FALSE,NA,mirtarbase,mirtarbase tarbase,0.01098845858669343,TRUE
10000,AKT3,hsa-mir-124-3p,hsa-mir-548d-3p,0.006,FALSE,NA,mirtarbase,tarbase,0.01713305412371134,TRUE
10123,ARL4C,hsa-mir-302c-3p,hsa-mir-486-3p,0.001,FALSE,NA,tarbase,mirtarbase,0.0037967444849004,TRUE
10395,DLC1,hsa-mir-138-5p,hsa-mir-499a-3p,0.0025,FALSE,NA,tarbase,tarbase,0.00830200755565268,TRUE
10397,NDRG1,hsa-mir-20b-5p,hsa-mir-9-5p,0.0065,FALSE,NA,tarbase,tarbase,0.01827912326159378,TRUE
10397,NDRG1,hsa-mir-9-5p,hsa-mir-548f-3p,0,FALSE,NA,tarbase,mirtarbase,0,TRUE
10525,HYOU1,hsa-mir-135a-5p,hsa-mir-940,0.0035,FALSE,NA,tarbase,tarbase,0.01098845858669343,TRUE
10525,HYOU1,hsa-mir-424-5p,hsa-mir-940,0,FALSE,NA,tarbase,tarbase,0,TRUE
10525,HYOU1,hsa-mir-429,hsa-mir-424-5p,0.0025,FALSE,NA,tarbase,tarbase,0.00830200755565268,TRUE
10525,HYOU1,hsa-mir-429,hsa-mir-940,0.008,FALSE,NA,tarbase,tarbase,0.02165901338899353,TRUE
10525,HYOU1,hsa-mir-676-3p,hsa-mir-940,0.006,FALSE,NA,tarbase,tarbase,0.01713305412371134,TRUE
10525,HYOU1,hsa-mir-760,hsa-mir-497-5p,0.0095,FALSE,NA,mirtarbase tarbase,tarbase,0.0248931782907541,TRUE
10525,HYOU1,hsa-mir-760,hsa-mir-940,0.0015,FALSE,NA,mirtarbase tarbase,tarbase,0.005383963824115,TRUE
10618,TGOLN2,hsa-mir-193b-5p,hsa-mir-301b-3p,5e-4,FALSE,NA,tarbase,tarbase,0.00205864591801184,TRUE
10628,TXNIP,hsa-mir-1305,hsa-mir-935,0.0045,FALSE,NA,tarbase,tarbase,0.01352976594301221,TRUE
