entrezgene_id,hgnc_symbol,mirna1,mirna2,Lancaster_XY_Z,is_mrna_tf,mirna1Literature,mirna2Literature,mrnaLiterature,miRNA1_mRNA_DB,miRNA2_mRNA_DB,miRNA1_pvalue,miRNA1_logFC,miRNA2_pvalue,miRNA2_logFC,mRNA_pvalue,mRNA_logFC,BH_pvalues_adjusted,BH_rejected
1021,CDK6,hsa-mir-570-3p,hsa-mir-205-5p,0.008,FALSE,NA,NA,NA,tarbase,mirtarbase,0.789739638370259,-0.07563018101041,0.758883783773528,-0.0803804860847427,0.932643111041198,0.00556487528375212,0.11123,FALSE
1303,COL12A1,hsa-mir-194-5p,hsa-mir-138-5p,0.009,FALSE,NA,NA,NA,tarbase,tarbase,0.0334971451497944,-0.166829590618057,0.0641185439779209,-0.278663712748698,0.0208078796459964,-0.153235097083631,0.11749647887323944,FALSE
1829,DSG2,hsa-mir-92a-1-5p,hsa-mir-141-3p,0.0085,FALSE,NA,NA,<a href='https://pubmed.ncbi.nlm.nih.gov/17607380'>PubMedLink</a>,tarbase,tarbase,0.505226533655067,-0.154451481443449,2.63222209308618e-31,-1.44925664591585,0.911114335513911,0.00682684469989342,0.11377316486161251,FALSE
1973,EIF4A1,hsa-mir-133a-3p,hsa-mir-493-3p,0.0025,FALSE,NA,NA,NA,tarbase,mirtarbase,1.01804567655492e-17,-1.36181759746789,6.18043791707113e-6,-0.922500323440028,0.138041405401326,0.105097464313353,0.06165742793791574,FALSE
3589,IL11,hsa-mir-497-5p,hsa-mir-424-5p,0,FALSE,NA,NA,<a href='https://pubmed.ncbi.nlm.nih.gov/27384883'>PubMedLink</a>,tarbase,tarbase,1.25737395343195e-5,-0.554797074996022,8.45703087988298e-7,-0.480921334505891,7.04121862984281e-6,-0.452323654746001,0,TRUE
3749,KCNC4,hsa-let-7c-5p,hsa-mir-296-5p,0.0025,FALSE,NA,NA,NA,tarbase,tarbase,0.782096635313605,-0.0216614480563819,0.282099234682597,0.215685583687804,7.1106971239462e-4,-0.239980932799933,0.06165742793791574,FALSE
3949,LDLR,hsa-mir-194-3p,hsa-mir-378a-3p,0.006,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/29029037'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8555255'>PubMedLink</a>",tarbase,tarbase,3.56352083046129e-5,-0.550114987195042,0.333951496517598,-0.0867876070920384,5.06975945237465e-7,-0.340607089477781,0.09630303030303032,FALSE
3976,LIF,hsa-mir-939-5p,hsa-mir-221-5p,0.006,FALSE,NA,NA,NA,tarbase,tarbase,0.275163017681416,0.357608945623055,0.318968832386348,-0.227139428938983,0.337959065046081,0.0632158016267622,0.09630303030303032,FALSE
4194,MDM4,hsa-mir-379-5p,hsa-mir-150-5p,0.009,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/23497256'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31250570'>PubMedLink</a>",mirtarbase,tarbase,2.7642522231897e-6,-0.449107497172239,0.914893392098573,0.00992503082876548,0.643221805739223,0.0309512367045188,0.11749647887323944,FALSE
4774,NFIA,hsa-mir-10a-3p,hsa-mir-362-5p,0.0095,TRUE,NA,NA,<a href='https://pubmed.ncbi.nlm.nih.gov/21771320'>PubMedLink</a>,tarbase,tarbase,0.0617466759218203,-0.295210183435125,2.51437275514582e-7,-0.591721874437829,0.571602641424849,0.0367857542904313,0.12021444823663256,FALSE
4853,NOTCH2,hsa-mir-205-5p,hsa-mir-16-2-3p,0.005,FALSE,NA,NA,NA,mirtarbase,tarbase,0.758883783773528,-0.0803804860847427,0.485781791682188,0.121018700385268,0.513820335770441,0.0417857487947079,0.08785939968404424,FALSE
5187,PER1,hsa-mir-34c-3p,hsa-mir-146b-3p,0.0045,FALSE,NA,NA,<a href='https://pubmed.ncbi.nlm.nih.gov/31014126'>PubMedLink</a>,mirtarbase,mirtarbase,0.00399128274407202,0.724037226738824,0.0823036947701845,0.187138192171042,0.558793887310388,-0.0361167243242188,0.083283693843594,FALSE
5865,RAB3B,hsa-mir-874-3p,hsa-mir-141-3p,0,FALSE,NA,NA,NA,tarbase,tarbase,3.01742625029611e-6,-0.565105541524447,2.63222209308618e-31,-1.44925664591585,0.666919601830711,0.0314130032663119,0,TRUE
6091,ROBO1,hsa-mir-589-3p,hsa-mir-146a-5p,0.006,FALSE,NA,NA,<a href='https://pubmed.ncbi.nlm.nih.gov/12082532'>PubMedLink</a>,tarbase,mirtarbase,0.00361466771125294,0.665126829413091,9.8049576135403e-4,0.347743864713515,0.388342806282114,-0.0594332435535847,0.09630303030303032,FALSE
6095,RORA,hsa-mir-148a-5p,hsa-mir-9-5p,0.0065,TRUE,NA,NA,<a href='https://pubmed.ncbi.nlm.nih.gov/31014126'>PubMedLink</a>,tarbase,tarbase,0.953085585072316,0.0078185540967918,8.1254910621026e-4,-0.283211906425316,0.481598041118684,-0.0479166167584566,0.09972344827586208,FALSE
6374,CXCL5,hsa-mir-149-5p,hsa-mir-195-5p,0,FALSE,<a href='https://pubmed.ncbi.nlm.nih.gov/27121091'>PubMedLink</a>,<a href='https://pubmed.ncbi.nlm.nih.gov/28969047'>PubMedLink</a>,<a href='https://pubmed.ncbi.nlm.nih.gov/27848972'>PubMedLink</a>,tarbase,tarbase,0.0744014894902236,-0.234294033146304,1.02200829748098e-8,-0.6627503859451,4.28895699471795e-5,0.408154453899154,0,TRUE
7070,THY1,hsa-mir-296-5p,hsa-mir-486-3p,0.003,FALSE,NA,NA,NA,tarbase,mirtarbase,0.282099234682597,0.215685583687804,5.5286485713694e-4,0.944472758291256,9.85343757509747e-7,-0.301088949630552,0.06700602409638554,FALSE
7077,TIMP2,hsa-mir-205-5p,hsa-mir-30c-1-3p,0,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/11551917'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16596214'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17572184'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23281640'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25571919'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26191221'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29103203'>PubMedLink</a>",tarbase,tarbase,0.758883783773528,-0.0803804860847427,0.00902660947679778,-0.548532899097016,0.490478338512049,0.0410801849421165,0,TRUE
