"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","mi2","mi1","mrna","_c3","_c4","_c5","_c6","_c7","_c8","_c9","_c10","_c11","_c12","_c13","_c14","_c15","_c16","_c17","_c18","_c19","_c20","_c21","_c22"
2355,"FOSL2","hsa-mir-155-5p","hsa-mir-625-5p",0.0095,TRUE,NA,NA,NA,"tarbase","tarbase","hsa-mir-625-5p","hsa-mir-155-5p",2355,20.1379390356666,17.6150286293797,"20.9323108151545","18.6000778246004","18.0803585333027","19.6649731099681","19.6852694757456","19.2210223782199","20.730763561624","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
2495,"FTH1","hsa-mir-491-5p","hsa-mir-218-5p",0.0055,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-218-5p","hsa-mir-491-5p",2495,21.8545840293393,20.0656595349945,"20.4336211115816","21.9160961169309","21.1344096215148","21.7909034244294","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
2619,"GAS1","hsa-mir-204-5p","hsa-mir-493-5p",0.0025,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-493-5p","hsa-mir-204-5p",2619,10.9582189462647,15.438340816149,"14.490160658759","15.0777402042735","15.7246441222942","11.4062834265792","13.8185935648012","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
2627,"GATA6","hsa-mir-106a-5p","hsa-mir-363-3p",0.008,TRUE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/15666845'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15767045'>PubMedLink</a>","mirtarbase","mirtarbase","hsa-mir-363-3p","hsa-mir-106a-5p",2627,17.33842898216,18.6634579473794,"15.9034441733021","17.4396865097821","14.66130557007","18.2153670026109","17.5408624513822","19.1356921608194","17.9342667176535","19.7789148494964","19.7122774490668","17.0020230863446","16.958250710012","16.0307689912379","""""","""""","""""","""""","""""",""""""
2649,"NR6A1","hsa-mir-497-5p","hsa-mir-98-5p",0.0025,TRUE,NA,NA,NA,"mirtarbase","mirtarbase tarbase","hsa-mir-98-5p","hsa-mir-497-5p",2649,14.4699205338257,12.1471528296705,"13.2729468915289","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
2908,"NR3C1","hsa-mir-329-3p","hsa-mir-301a-3p",0.009,TRUE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/17102092'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17102092'>PubMedLink</a>","mirtarbase","tarbase","hsa-mir-301a-3p","hsa-mir-329-3p",2908,15.6996996884261,16.1591968286689,"17.918400430195","15.6840130395684","15.6248167105207","15.3104748314727","17.8323283667914","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
3177,"SLC29A2","hsa-mir-195-5p","hsa-mir-3065-3p",0.003,FALSE,NA,NA,NA,"tarbase","mirtarbase","hsa-mir-3065-3p","hsa-mir-195-5p",3177,17.2201763442909,12.8518126058111,"15.0699477193761","14.4262604748272","13.2716297562916","14.7266317650243","14.318054574885","13.7393481634841","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
3178,"HNRNPA1","hsa-mir-1291","hsa-mir-194-5p",0.0015,FALSE,NA,NA,NA,"mirtarbase","mirtarbase","hsa-mir-194-5p","hsa-mir-1291",3178,21.3857493506421,21.2819662256955,"21.2054535083232","21.2858987503262","22.2219802368227","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
3209,"HOXA13","hsa-mir-363-3p","hsa-mir-222-3p",5e-04,TRUE,NA,NA,NA,"mirtarbase","mirtarbase","hsa-mir-222-3p","hsa-mir-363-3p",3209,16.6155626440403,12.1263168505109,"12.7529439620419","8.46452498172658","16.3483425930329","13.2270658084798","-2","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
3480,"IGF1R","hsa-mir-218-5p","hsa-mir-376a-3p",0.0045,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/15241731'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16595699'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16595699'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16595699'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21045685'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22019903'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22407999'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25110710'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26131713'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26312764'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27185872'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31185266'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31185266'>PubMedLink</a>","mirtarbase tarbase","mirtarbase","hsa-mir-376a-3p","hsa-mir-218-5p",3480,16.6600076246728,17.1017086140595,"15.8145323875007","14.3852159629956","12.4084466929704","15.1781278154348","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
