"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","mi2","mi1","mrna","_c3","_c4","_c5","_c6","_c7","_c8","_c9","_c10","_c11","_c12","_c13","_c14","_c15","_c16","_c17","_c18","_c19","_c20","_c21"
3656,"IRAK2","hsa-mir-34b-3p","hsa-mir-508-5p",0.0075,FALSE,NA,NA,NA,"mirtarbase","mirtarbase","hsa-mir-508-5p","hsa-mir-34b-3p",3656,12.6467460442926,13.2324222968003,"11.6149367442918","14.2046995692476","12.4874447165924","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
3658,"IREB2","hsa-mir-320c","hsa-mir-194-5p",0.0025,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-194-5p","hsa-mir-320c",3658,16.1842526216119,14.0965179605525,"15.004717215833","14.8636699347941","16.4116109897142","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
3673,"ITGA2","hsa-mir-181c-5p","hsa-mir-106a-5p",0,FALSE,NA,NA,NA,"tarbase","mirtarbase","hsa-mir-106a-5p","hsa-mir-181c-5p",3673,11.6863327491527,10.5891076199604,"9.99571092587932","11.1737480081431","10.3345122971558","10.6148478240104","10.0350128215207","9.655308777952","11.0287035783899","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
3720,"JARID2","hsa-mir-33a-5p","hsa-mir-19a-3p",5e-04,FALSE,NA,NA,NA,"tarbase","mirtarbase","hsa-mir-19a-3p","hsa-mir-33a-5p",3720,16.4386461232195,16.7143826280566,"18.9028453183775","16.2472494857832","16.9415907077487","16.585071753168","16.8479531673742","18.1654865803267","16.6826720245078","19.7751619212065","""""","""""","""""","""""","""""","""""","""""","""""",""""""
3752,"KCND3","hsa-mir-20b-5p","hsa-mir-1304-5p",0.009,FALSE,NA,NA,NA,"mirtarbase","mirtarbase","hsa-mir-1304-5p","hsa-mir-20b-5p",3752,13.7111498509315,13.3548266268171,"14.7580881728849","14.8087294231107","15.5643590612611","13.2201245813892","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
3796,"KIF2A","hsa-mir-34b-3p","hsa-mir-222-5p",0.002,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-222-5p","hsa-mir-34b-3p",3796,15.282660273453,15.5098673958898,"15.484154203376","15.1051447185654","14.1622002495883","16.2066748177334","16.1638612648167","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
4012,"LNPEP","hsa-mir-221-3p","hsa-mir-636",0.0045,FALSE,NA,NA,NA,"tarbase","mirtarbase","hsa-mir-636","hsa-mir-221-3p",4012,14.2418502210312,14.238258990407,"15.4601282955507","16.0950730523862","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
4179,"CD46","hsa-mir-328-3p","hsa-mir-30a-3p",0.002,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-30a-3p","hsa-mir-328-3p",4179,15.691967923006,16.5124434909532,"17.5756703123931","16.7280937215166","16.6124641478314","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
4193,"MDM2","hsa-mir-590-3p","hsa-mir-20b-5p",0.006,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gUVM/12365913'>PubMedLink</a>","mirtarbase tarbase","mirtarbase tarbase","hsa-mir-20b-5p","hsa-mir-590-3p",4193,16.5230779096283,16.2725696015466,"15.8489175182253","17.0462128227215","16.8293383304863","15.9740570734787","16.9713986291607","16.2584275509202","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
4211,"MEIS1","hsa-mir-424-5p","hsa-mir-15a-5p",0.0045,TRUE,NA,NA,NA,"tarbase","tarbase","hsa-mir-15a-5p","hsa-mir-424-5p",4211,13.351570682986,12.8454242514828,"13.2608344230049","13.5706455088797","14.0185814168155","13.0114864927492","13.1703651181634","12.6792877413232","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
4293,"MAP3K9","hsa-mir-15a-5p","hsa-mir-301a-3p",0.0015,FALSE,NA,NA,NA,"tarbase","mirtarbase tarbase","hsa-mir-301a-3p","hsa-mir-15a-5p",4293,12.9369566897693,12.8713424876452,"13.9309637580057","12.5060699635859","13.6076203561287","13.233222972783","15.219584881311","13.6254329409204","13.6974766933401","13.284185431615","13.4140694794422","""""","""""","""""","""""","""""","""""","""""",""""""
4293,"MAP3K9","hsa-mir-301a-3p","hsa-mir-20a-5p",0.0015,FALSE,NA,NA,NA,"mirtarbase tarbase","tarbase","hsa-mir-20a-5p","hsa-mir-301a-3p",4293,13.9018978343789,12.9369566897693,"12.8713424876452","13.6076203561287","13.8656394576584","13.4113318339792","15.219584881311","13.6254329409204","13.6974766933401","13.284185431615","13.4140694794422","11.9050954924018","""""","""""","""""","""""","""""","""""",""""""
4673,"NAP1L1","hsa-mir-145-5p","hsa-mir-196b-5p",0.006,FALSE,NA,NA,NA,"tarbase","mirtarbase tarbase","hsa-mir-196b-5p","hsa-mir-145-5p",4673,17.5543377638564,18.9173810741499,"18.5842628269617","18.2576206038216","19.4366343402774","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
4853,"NOTCH2","hsa-mir-939-5p","hsa-mir-497-5p",0.0085,FALSE,NA,NA,NA,"tarbase","mirtarbase tarbase","hsa-mir-497-5p","hsa-mir-939-5p",4853,16.4926307512596,17.9406116561335,"15.4447935979167","17.6706585802127","15.6432718161636","17.0554829843603","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
4884,"NPTX1","hsa-mir-421","hsa-mir-129-5p",0.003,FALSE,NA,NA,NA,"mirtarbase tarbase","mirtarbase tarbase","hsa-mir-129-5p","hsa-mir-421",4884,13.7490076483275,12.0788433634549,"11.575117291026","13.4731204474705","14.2493320928937","10.4414793784441","12.1589345108289","10.1081963861977","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
4939,"OAS2","hsa-mir-1270","hsa-mir-219a-1-3p",0.004,FALSE,NA,NA,NA,"mirtarbase","tarbase","hsa-mir-219a-1-3p","hsa-mir-1270",4939,14.0662355200391,14.9943927574581,"14.9947626764322","15.7793027080888","16.7703604437794","14.9451338439149","15.0249329611106","15.1953680791204","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
5087,"PBX1","hsa-mir-142-3p","hsa-mir-21-5p",0.0095,TRUE,"<a href='https://pubmed.ncbi.nlm.nih.gUVM/31213897'>PubMedLink</a>",NA,NA,"tarbase","mirtarbase tarbase","hsa-mir-21-5p","hsa-mir-142-3p",5087,12.7122632590228,12.8560878760248,"14.241301187488","12.0816743257019","12.7182192613439","12.3296705171326","13.9038318524373","17.0326387369442","13.0633256469256","13.8093399882235","11.4449308207123","16.843034705317","15.2035437026912","""""","""""","""""","""""","""""",""""""
5101,"PCDH9","hsa-mir-19a-3p","hsa-mir-15a-5p",0.0035,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-15a-5p","hsa-mir-19a-3p",5101,4.79611207386799,6.80827693088654,"7.24258379177418","10.6871263194079","8.05533785778491","7.47685695732018","9.30624061482074","7.89544860320232","7.53923671236518","7.28186061396173","10.3855964875486","6.95498478092057","""""","""""","""""","""""","""""","""""",""""""
5139,"PDE3A","hsa-mir-421","hsa-mir-3680-3p",0.0045,FALSE,NA,NA,NA,"tarbase","mirtarbase","hsa-mir-3680-3p","hsa-mir-421",5139,12.2072017083413,14.3551516302191,"16.4426594544395","12.8483385020359","15.1978443906158","15.4409552065439","16.8268675452324","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
5241,"PGR","hsa-mir-19b-3p","hsa-mir-181b-5p",0.009,TRUE,NA,NA,NA,"tarbase","tarbase","hsa-mir-181b-5p","hsa-mir-19b-3p",5241,6.27909575224382,8.052678171236,"5.05514779092068","6.4185650844694","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
5292,"PIM1","hsa-mir-486-5p","hsa-mir-195-5p",0.004,FALSE,NA,NA,NA,"mirtarbase","mirtarbase","hsa-mir-195-5p","hsa-mir-486-5p",5292,15.3115587928011,14.7217247312313,"15.9076307687125","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
5351,"PLOD1","hsa-mir-106a-5p","hsa-mir-142-3p",0.001,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gUVM/31213897'>PubMedLink</a>",NA,"tarbase","tarbase","hsa-mir-142-3p","hsa-mir-106a-5p",5351,20.2899289834873,20.5488983402509,"20.8212341789189","19.262827805018","19.6811618987953","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
5396,"PRRX1","hsa-mir-30a-3p","hsa-mir-30a-5p",0.0095,TRUE,NA,NA,NA,"tarbase","tarbase","hsa-mir-30a-5p","hsa-mir-30a-3p",5396,11.2881055033162,11.336839367083,"10.9644300142697","11.3938111179056","11.5577663360008","15.6037265989655","11.3334250330939","7.56728549262214","13.5324238941312","11.5252790731148","""""","""""","""""","""""","""""","""""","""""","""""",""""""
5452,"POU2F2","hsa-mir-133a-3p","hsa-mir-20a-3p",0.007,TRUE,NA,NA,NA,"mirtarbase","tarbase","hsa-mir-20a-3p","hsa-mir-133a-3p",5452,10.3852292960868,11.1551392675488,"13.7478867430632","10.6900325090554","11.4207591053043","10.8991444446829","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
5516,"PPP2CB","hsa-mir-142-5p","hsa-mir-188-3p",0.004,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-188-3p","hsa-mir-142-5p",5516,19.0137947926515,17.7687755900851,"17.6800805323716","17.873615104323","17.6984218243913","18.6424139238546","17.607495112138","18.4776436295139","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
5562,"PRKAA1","hsa-mir-30a-3p","hsa-mir-328-3p",0.0025,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-328-3p","hsa-mir-30a-3p",5562,14.4856164986953,15.5849522587211,"16.2060516327981","15.5841254820316","15.0305815159019","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
5563,"PRKAA2","hsa-mir-590-3p","hsa-mir-21-5p",0.0085,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-21-5p","hsa-mir-590-3p",5563,8.20868796841545,7.67708139344902,"10.7436702137588","8.34781369102394","7.28728313347096","10.6161025387929","10.5206472658071","8.16292360533277","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
5618,"PRLR","hsa-mir-20b-5p","hsa-mir-30e-5p",0.0035,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-30e-5p","hsa-mir-20b-5p",5618,7.50008742382167,7.86172691366712,"8.3685355432751","8.3842224192443","5.64521704850474","8.13732755258139","8.73622313146031","8.48267247937385","8.71572856804169","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
5655,"KLK10","hsa-mir-939-5p","hsa-mir-143-3p",0.0045,FALSE,NA,NA,NA,"mirtarbase","mirtarbase","hsa-mir-143-3p","hsa-mir-939-5p",5655,7.34057980654789,6.6574071217862,"7.92536213091877","7.28227289026015","-2","10.68934741648","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
6018,"RLF","hsa-mir-203a-3p","hsa-let-7b-5p",0.0075,TRUE,NA,NA,NA,"tarbase","tarbase","hsa-let-7b-5p","hsa-mir-203a-3p",6018,15.1061868706615,14.9066593064,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
