"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","mi2","mi1","mrna","_c3","_c4","_c5","_c6","_c7","_c8","_c9","_c10","_c11","_c12","_c13","_c14","_c15","_c16"
1462,"VCAN","hsa-mir-335-3p","hsa-mir-3187-3p",0.007,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/14519645'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30394708'>PubMedLink</a>","mirtarbase","tarbase","hsa-mir-3187-3p","hsa-mir-335-3p",1462,20.4264683653859,19.9797610844255,"20.4421961555356","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1604,"CD55","hsa-mir-410-3p","hsa-mir-382-5p",0.004,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/29631630'>PubMedLink</a>","mirtarbase","tarbase","hsa-mir-382-5p","hsa-mir-410-3p",1604,17.5601434783928,18.6623652655756,"18.3002391973907","17.8573423189076","19.2544694438021","17.4912951361359","18.378301948136","18.7882547717251","17.9814366839411","18.4363485283628","17.2587814227522","""""","""""",""""""
1657,"DMXL1","hsa-mir-421","hsa-mir-219a-1-3p",0.004,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-219a-1-3p","hsa-mir-421",1657,16.2343617726352,14.4930393007449,"15.7494682079464","15.9256821445742","16.0005836741384","15.3735916659622","""""","""""","""""","""""","""""","""""","""""",""""""
1666,"DECR1","hsa-mir-654-3p","hsa-mir-424-5p",0.007,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/29631687'>PubMedLink</a>","mirtarbase","mirtarbase","hsa-mir-424-5p","hsa-mir-654-3p",1666,18.8590155819349,19.4902590759145,"19.3731814787635","20.0432776391566","20.7723073028887","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1718,"DHCR24","hsa-mir-378a-5p","hsa-mir-96-5p",0.007,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/28112250'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29137496'>PubMedLink</a>","tarbase","tarbase","hsa-mir-96-5p","hsa-mir-378a-5p",1718,19.2371756063968,19.9778585840764,"19.5699701950542","19.54321026216","19.7033308989703","19.4206546054841","""""","""""","""""","""""","""""","""""","""""",""""""
1729,"DIAPH1","hsa-mir-17-5p","hsa-mir-424-5p",0.009,FALSE,NA,NA,NA,"tarbase","mirtarbase","hsa-mir-424-5p","hsa-mir-17-5p",1729,18.5370520264117,18.8667774591988,"18.4749253398372","18.4017433033674","18.5738522415272","18.3038058540509","18.5891933484046","""""","""""","""""","""""","""""","""""",""""""
1783,"DYNC1LI2","hsa-mir-20b-5p","hsa-mir-877-3p",0.0085,FALSE,NA,NA,NA,"mirtarbase","tarbase","hsa-mir-877-3p","hsa-mir-20b-5p",1783,17.6555281217267,18.4684175173212,"18.7142345722729","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1783,"DYNC1LI2","hsa-mir-363-3p","hsa-mir-877-3p",0.002,FALSE,NA,NA,NA,"mirtarbase","tarbase","hsa-mir-877-3p","hsa-mir-363-3p",1783,17.6555281217267,18.4684175173212,"18.7142345722729","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1827,"RCAN1","hsa-mir-17-5p","hsa-mir-491-3p",0.0055,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/20008143'>PubMedLink</a>","tarbase","tarbase","hsa-mir-491-3p","hsa-mir-17-5p",1827,16.5060204362114,17.3545038649584,"17.1818955304924","17.5025414397423","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1829,"DSG2","hsa-mir-494-3p","hsa-mir-381-3p",0.0065,FALSE,NA,NA,NA,"mirtarbase","mirtarbase","hsa-mir-381-3p","hsa-mir-494-3p",1829,17.5474594795971,18.8142352749035,"18.8143641154458","17.5094448863093","18.7704549297019","18.905161777738","17.646879413126","""""","""""","""""","""""","""""","""""",""""""
1832,"DSP","hsa-mir-17-5p","hsa-mir-708-5p",0.006,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-708-5p","hsa-mir-17-5p",1832,18.7336930423569,20.2484904237324,"19.4084700878375","19.0662058220191","19.2086235776482","20.4065654499244","16.2419937239174","18.3985847967748","""""","""""","""""","""""","""""",""""""
1846,"DUSP4","hsa-mir-149-3p","hsa-mir-30c-2-3p",0.0095,FALSE,NA,NA,NA,"mirtarbase","tarbase","hsa-mir-30c-2-3p","hsa-mir-149-3p",1846,14.8576133971894,15.8677157873852,"16.3989521649817","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1869,"E2F1","hsa-mir-1226-3p","hsa-mir-18a-3p",0.0055,TRUE,NA,NA,NA,"tarbase","tarbase","hsa-mir-18a-3p","hsa-mir-1226-3p",1869,16.8711453359316,18.1848255321674,"19.7908443007794","20.5587540013462","20.6823091655189","18.8477604175131","20.1477570956389","18.7910807409801","""""","""""","""""","""""","""""",""""""
2030,"SLC29A1","hsa-mir-195-5p","hsa-let-7b-5p",0.0015,FALSE,NA,NA,NA,"mirtarbase","tarbase","hsa-let-7b-5p","hsa-mir-195-5p",2030,19.93845325889,19.7014888579822,"19.7063855552826","19.5466153873782","19.6162717685613","20.2244658817458","19.9695652079626","""""","""""","""""","""""","""""","""""",""""""
2034,"EPAS1","hsa-mir-106a-5p","hsa-mir-326",0.0085,TRUE,NA,NA,NA,"tarbase","tarbase","hsa-mir-326","hsa-mir-106a-5p",2034,16.3316330404653,17.6713138840565,"18.5528728015122","17.6313955062155","19.2475407720852","17.7082717994469","""""","""""","""""","""""","""""","""""","""""",""""""
2145,"EZH1","hsa-mir-1276","hsa-mir-378a-3p",0.0075,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-378a-3p","hsa-mir-1276",2145,16.9686486111929,17.6174726909218,"16.7280113817847","18.0819223830495","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
2145,"EZH1","hsa-mir-149-5p","hsa-mir-1276",0.002,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-1276","hsa-mir-149-5p",2145,16.9686486111929,16.118234257015,"16.6455551349231","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
2195,"FAT1","hsa-let-7b-5p","hsa-mir-98-5p",0.0075,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-98-5p","hsa-let-7b-5p",2195,17.9793609666182,16.4473881312035,"19.0950130300648","18.7561443989611","15.8723289908092","18.3361900132845","18.6368633094413","16.6345373424225","18.6891531761891","17.9378254822416","""""","""""","""""",""""""
2195,"FAT1","hsa-mir-98-5p","hsa-let-7d-5p",0.0065,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-let-7d-5p","hsa-mir-98-5p",2195,16.4473881312035,18.0291702010543,"19.0950130300648","17.1077136267487","18.7561443989611","15.8723289908092","18.3361900132845","18.6368633094413","18.6891531761891","17.9378254822416","""""","""""","""""",""""""
