source,target,ModeOfRegulation,edgeType
mir-2113,mir-2113/mir-31-5p,"",direct
mir-302a-3p,mir-302a-3p/mir-302c-3p,"",direct
mir-302a-3p,mir-302a-3p/mir-519a-3p,"",direct
mir-200a-3p,mir-200a-3p/mir-524-5p,"",direct
mir-363-3p,mir-363-3p/mir-367-3p,"",direct
mir-450b-5p,mir-450b-5p/mir-527,"",direct
mir-200b-3p,mir-200b-3p/mir-518a-5p,"",direct
mir-200b-3p,mir-200b-3p/mir-527,"",direct
mir-450b-5p,mir-450b-5p/mir-518a-5p,"",direct
mir-122-5p,mir-122-5p/mir-527,"",direct
mir-200a-3p,mir-200a-3p/mir-518a-5p,"",direct
mir-200b-3p,mir-200b-3p/mir-524-5p,"",direct
mir-142-5p,mir-142-5p/mir-29a-3p,"",direct
mir-182-5p,mir-182-5p/mir-629-3p,"",direct
mir-373-3p,mir-373-3p/mir-378a-3p,"",direct
mir-7-1-3p,mir-7-1-3p/mir-96-5p,"",direct
mir-342-5p,mir-342-5p/mir-760,"",direct
mir-152-3p,mir-152-3p/mir-181a-2-3p,"",direct
mir-200b-3p,mir-200b-3p/mir-363-3p,"",direct
mir-124-3p,mir-124-3p/mir-873-5p,"",direct
mir-181c-3p,mir-181c-3p/mir-873-5p,"",direct
mir-141-3p,mir-141-3p/mir-200c-3p,"",direct
mir-367-3p,mir-367-3p/mir-518b,"",direct
mir-519a-3p,mir-519a-3p/mir-520f-3p,"",direct
mir-520c-3p,mir-520c-3p/mir-520f-3p,"",direct
mir-520d-3p,mir-520d-3p/mir-520f-3p,"",direct
mir-106a-5p,mir-106a-5p/mir-519a-3p,"",direct
mir-302d-3p,mir-302d-3p/mir-520f-3p,"",direct
mir-106a-5p,mir-106a-5p/mir-520c-3p,"",direct
mir-302a-3p,mir-302a-3p/mir-520f-3p,"",direct
mir-520a-3p,mir-520a-3p/mir-520f-3p,"",direct
mir-519c-3p,mir-519c-3p/mir-520f-3p,"",direct
mir-519b-3p,mir-519b-3p/mir-520f-3p,"",direct
mir-302c-3p,mir-302c-3p/mir-520f-3p,"",direct
mir-124-3p,mir-124-3p/mir-7-5p,"",direct
mir-122-5p,mir-122-5p/mir-1224-5p,"",direct
mir-29b-3p,mir-29b-3p/mir-29c-3p,"",direct
mir-29b-3p,mir-29b-3p/mir-29c-3p,"",direct
mir-192-5p,mir-192-5p/mir-940,"",direct
mir-106a-5p,mir-106a-5p/mir-518c-5p,"",direct
mir-106a-5p,mir-106a-5p/mir-520a-3p,"",direct
mir-130b-3p,mir-130b-3p/mir-592,"",direct
mir-20b-3p,mir-20b-3p/mir-20b-5p,"",direct
mir-106a-5p,mir-106a-5p/mir-20b-3p,"",direct
mir-106a-5p,mir-106a-5p/mir-302c-3p,"",direct
mir-106a-5p,mir-106a-5p/mir-135a-5p,"",direct
mir-106a-5p,mir-106a-5p/mir-200a-3p,"",direct
let-7e-5p,let-7e-5p/mir-135a-5p,"",direct
let-7e-5p,let-7e-5p/mir-338-3p,"",direct
mir-135a-5p,mir-135a-5p/mir-18b-5p,"",direct
mir-135a-5p,mir-135a-5p/mir-200a-3p,"",direct
mir-106a-5p,mir-106a-5p/mir-200b-3p,"",direct
mir-130b-3p,mir-130b-3p/mir-20b-3p,"",direct
mir-1305,mir-1305/mir-194-5p,"",direct
mir-1305,mir-1305/mir-338-3p,"",direct
mir-135a-5p,mir-135a-5p/mir-200b-3p,"",direct
mir-135a-5p,mir-135a-5p/mir-338-3p,"",direct
mir-18b-5p,mir-18b-5p/mir-200a-3p,"",direct
mir-18b-5p,mir-18b-5p/mir-200b-3p,"",direct
mir-1305,mir-1305/mir-429,"",direct
mir-106a-5p,mir-106a-5p/mir-887-3p,"",direct
mir-18b-5p,mir-18b-5p/mir-338-3p,"",direct
mir-135a-5p,mir-135a-5p/mir-429,"",direct
mir-18b-5p,mir-18b-5p/mir-219a-1-3p,"",direct
mir-18b-5p,mir-18b-5p/mir-301a-3p,"",direct
mir-135a-5p,mir-135a-5p/mir-582-5p,"",direct
mir-135a-5p,mir-135a-5p/mir-887-3p,"",direct
mir-141-3p,mir-141-3p/mir-301a-3p,"",direct
mir-135a-5p,mir-135a-5p/mir-503-5p,"",direct
mir-130b-3p,mir-130b-3p/mir-135a-5p,"",direct
mir-200b-3p,mir-200b-3p/mir-301a-3p,"",direct
mir-200b-3p,mir-200b-3p/mir-301b-3p,"",direct
mir-181d-5p,mir-181d-5p/mir-20b-3p,"",direct
mir-200c-3p,mir-200c-3p/mir-887-3p,"",direct
mir-20b-3p,mir-20b-3p/mir-338-3p,"",direct
mir-20b-5p,mir-20b-5p/mir-338-3p,"",direct
mir-200c-3p,mir-200c-3p/mir-582-5p,"",direct
mir-106a-5p,mir-106a-5p/mir-338-3p,"",direct
mir-106a-5p,mir-106a-5p/mir-429,"",direct
