source,target,ModeOfRegulation,edgeType
mir-127-5p,mir-127-5p/mir-331-3p,"",direct
mir-129-5p,mir-129-5p/mir-149-5p,"",direct
mir-107,mir-107/mir-129-5p,"",direct
mir-129-5p,mir-129-5p/mir-133a-3p,"",direct
mir-129-5p,mir-129-5p/mir-331-3p,"",direct
mir-218-5p,mir-218-5p/mir-369-3p,"",direct
mir-129-5p,mir-129-5p/mir-410-3p,"",direct
mir-127-5p,mir-127-5p/mir-29c-3p,"",direct
mir-101-3p,mir-101-3p/mir-129-5p,"",direct
mir-1-3p,mir-1-3p/mir-129-5p,"",direct
mir-1-3p,mir-1-3p/mir-127-5p,"",direct
mir-330-3p,mir-330-3p/mir-383-5p,"",direct
mir-1296-5p,mir-1296-5p/mir-330-3p,"",direct
mir-1296-5p,mir-1296-5p/mir-383-5p,"",direct
mir-145-5p,mir-145-5p/mir-383-5p,"",direct
mir-1296-5p,mir-1296-5p/mir-145-5p,"",direct
mir-101-3p,mir-101-3p/mir-330-3p,"",direct
mir-127-5p,mir-127-5p/mir-29c-3p,"",direct
mir-101-3p,mir-101-3p/mir-129-5p,"",direct
mir-127-5p,mir-127-5p/mir-149-5p,"",direct
mir-1-3p,mir-1-3p/mir-124-3p,"",direct
mir-124-3p,mir-124-3p/mir-410-3p,"",direct
mir-29b-3p,mir-29b-3p/mir-410-3p,"",direct
mir-107,mir-107/mir-124-3p,"",direct
mir-377-3p,mir-377-3p/mir-410-3p,"",direct
mir-127-5p,mir-127-5p/mir-29b-3p,"",direct
mir-127-5p,mir-127-5p/mir-410-3p,"",direct
mir-124-3p,mir-124-3p/mir-299-5p,"",direct
let-7e-5p,let-7e-5p/mir-410-3p,"",direct
mir-369-3p,mir-369-3p/mir-410-3p,"",direct
mir-107,mir-107/mir-31-5p,"",direct
mir-149-5p,mir-149-5p/mir-377-3p,"",direct
mir-31-5p,mir-31-5p/mir-410-3p,"",direct
mir-124-3p,mir-124-3p/mir-31-5p,"",direct
mir-133a-3p,mir-133a-3p/mir-410-3p,"",direct
mir-124-3p,mir-124-3p/mir-29b-3p,"",direct
mir-1-3p,mir-1-3p/mir-410-3p,"",direct
mir-107,mir-107/mir-127-5p,"",direct
mir-133a-3p,mir-133a-3p/mir-377-3p,"",direct
mir-299-5p,mir-299-5p/mir-410-3p,"",direct
mir-133a-3p,mir-133a-3p/mir-149-5p,"",direct
mir-107,mir-107/mir-410-3p,"",direct
mir-129-5p,mir-129-5p/mir-29b-3p,"",direct
mir-369-3p,mir-369-3p/mir-383-5p,"",direct
mir-148a-5p,mir-148a-5p/mir-766-3p,"",direct
mir-1-3p,mir-1-3p/mir-29c-3p,"",direct
mir-299-5p,mir-299-5p/mir-31-5p,"",direct
mir-1-3p,mir-1-3p/mir-107,"",direct
let-7e-5p,let-7e-5p/mir-1-3p,"",direct
mir-299-5p,mir-299-5p/mir-383-5p,"",direct
mir-1-3p,mir-1-3p/mir-31-5p,"",direct
mir-107,mir-107/mir-299-5p,"",direct
mir-1-3p,mir-1-3p/mir-377-3p,"",direct
mir-1-3p,mir-1-3p/mir-299-5p,"",direct
mir-1-3p,mir-1-3p/mir-101-3p,"",direct
mir-1-3p,mir-1-3p/mir-383-5p,"",direct
mir-185-3p,mir-185-3p/mir-378a-3p,"",direct
mir-149-5p,mir-149-5p/mir-331-3p,"",direct
mir-107,mir-107/mir-126-5p,"",direct
mir-149-5p,mir-149-5p/mir-31-5p,"",direct
mir-149-5p,mir-149-5p/mir-383-5p,"",direct
mir-107,mir-107/mir-508-3p,"",direct
mir-124-3p,mir-124-3p/mir-508-3p,"",direct
mir-107,mir-107/mir-124-3p,"",direct
mir-124-3p,mir-124-3p/mir-7-5p,"",direct
mir-299-5p,mir-299-5p/mir-7-5p,"",direct
mir-124-3p,mir-124-3p/mir-369-3p,"",direct
mir-124-3p,mir-124-3p/mir-145-5p,"",direct
mir-124-3p,mir-124-3p/mir-377-3p,"",direct
mir-127-5p,mir-127-5p/mir-369-3p,"",direct
mir-124-3p,mir-124-3p/mir-331-3p,"",direct
mir-105-5p,mir-105-5p/mir-107,"",direct
mir-124-3p,mir-124-3p/mir-299-5p,"",direct
mir-107,mir-107/mir-377-3p,"",direct
mir-127-5p,mir-127-5p/mir-7-5p,"",direct
mir-411-3p,mir-411-3p/mir-758-3p,"",direct
mir-107,mir-107/mir-299-5p,"",direct
mir-124-3p,mir-124-3p/mir-127-5p,"",direct
mir-369-3p,mir-369-3p/mir-411-3p,"",direct
mir-369-3p,mir-369-3p/mir-7-5p,"",direct
mir-377-3p,mir-377-3p/mir-7-5p,"",direct
mir-105-5p,mir-105-5p/mir-377-3p,"",direct
mir-107,mir-107/mir-124-3p,"",direct
mir-185-5p,mir-185-5p/mir-380-3p,"",direct
mir-107,mir-107/mir-7-5p,"",direct
mir-377-5p,mir-377-5p/mir-766-3p,"",direct
mir-105-5p,mir-105-5p/mir-24-3p,"",direct
mir-185-5p,mir-185-5p/mir-625-5p,"",direct
mir-323a-3p,mir-323a-3p/mir-377-5p,"",direct
mir-323a-3p,mir-323a-3p/mir-7-5p,"",direct
mir-7-5p,mir-7-5p/mir-766-3p,"",direct
mir-1224-5p,mir-1224-5p/mir-7-5p,"",direct
mir-1224-5p,mir-1224-5p/mir-33a-5p,"",direct
mir-145-5p,mir-145-5p/mir-7-5p,"",direct
mir-1224-5p,mir-1224-5p/mir-377-5p,"",direct
mir-1224-5p,mir-1224-5p/mir-145-5p,"",direct
mir-1224-5p,mir-1224-5p/mir-323a-3p,"",direct
mir-1224-5p,mir-1224-5p/mir-377-5p,"",direct
mir-1224-5p,mir-1224-5p/mir-377-5p,"",direct
mir-145-5p,mir-145-5p/mir-329-3p,"",direct
mir-1224-5p,mir-1224-5p/mir-323a-3p,"",direct
mir-1224-5p,mir-1224-5p/mir-33a-5p,"",direct
mir-107,mir-107/mir-149-5p,"",direct
mir-107,mir-107/mir-410-3p,"",direct
mir-1296-5p,mir-1296-5p/mir-410-3p,"",direct
mir-1224-5p,mir-1224-5p/mir-33b-5p,"",direct
mir-329-3p,mir-329-3p/mir-410-3p,"",direct
mir-107,mir-107/mir-377-3p,"",direct
mir-124-3p,mir-124-3p/mir-377-3p,"",direct
mir-107,mir-107/mir-329-3p,"",direct
mir-1224-5p,mir-1224-5p/mir-7-5p,"",direct
mir-127-5p,mir-127-5p/mir-31-5p,"",direct
mir-329-3p,mir-329-3p/mir-369-3p,"",direct
mir-1224-5p,mir-1224-5p/mir-185-5p,"",direct
mir-124-3p,mir-124-3p/mir-410-3p,"",direct
mir-377-5p,mir-377-5p/mir-766-3p,"",direct
mir-149-5p,mir-149-5p/mir-299-5p,"",direct
