"entrezgene_id","hgnc_symbol","mirna1","mirna2","Two_Var_XZ","Two_Var_YZ","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB"
2195,"FAT1","hsa-mir-98-5p","hsa-let-7d-5p",0.3625,0.425,0.0065,FALSE,"NA","NA","NA"," tarbase "," tarbase "
2260,"FGFR1","hsa-mir-1224-5p","hsa-mir-188-3p",0.7155,0.926,0.002,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/30031900'>PubMedLink</a>"," tarbase "," tarbase "
2260,"FGFR1","hsa-mir-141-3p","hsa-mir-1224-5p",0.3155,0.813,0.005,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/30031900'>PubMedLink</a>"," tarbase "," tarbase "
2260,"FGFR1","hsa-mir-149-3p","hsa-mir-188-3p",0.22,0.9195,0.0065,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/30031900'>PubMedLink</a>","mirtarbase  "," tarbase "
2260,"FGFR1","hsa-mir-424-5p","hsa-mir-149-5p",0.249,0.2605,0.006,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/30031900'>PubMedLink</a>","mirtarbase tarbase ","mirtarbase  "
2260,"FGFR1","hsa-mir-424-5p","hsa-mir-188-3p",0.255,0.908,0,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/30031900'>PubMedLink</a>","mirtarbase tarbase "," tarbase "
2274,"FHL2","hsa-mir-3662","hsa-mir-17-5p",0.5135,0.068,0.0055,FALSE,"NA","NA","NA","mirtarbase  "," tarbase "
2308,"FOXO1","hsa-mir-130b-5p","hsa-mir-34c-3p",0.251,0.608,0.0025,TRUE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/15987820'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17599040'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19041124'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19574223'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20028871'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25698082'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26626801'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27636742'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28356952'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30019459'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30206735'>PubMedLink</a>","mirtarbase  ","mirtarbase  "
2627,"GATA6","hsa-mir-378a-5p","hsa-mir-106a-5p",0.105,0.2775,0.004,TRUE,"NA","NA","NA","mirtarbase  ","mirtarbase  "
2649,"NR6A1","hsa-let-7c-5p","hsa-let-7b-5p",0.2535,0.734,0.0045,TRUE,"NA","NA","NA","mirtarbase tarbase ","mirtarbase tarbase "
2799,"GNS","hsa-mir-130b-3p","hsa-mir-17-5p",0.532,0.1655,0.0095,FALSE,"NA","NA","NA"," tarbase ","mirtarbase tarbase "
2799,"GNS","hsa-mir-130b-3p","hsa-mir-20a-5p",0.567,0.295,0.003,FALSE,"NA","NA","NA"," tarbase ","mirtarbase tarbase "
2799,"GNS","hsa-mir-301b-3p","hsa-mir-20a-5p",0.941,0.2665,0.0035,FALSE,"NA","NA","NA"," tarbase ","mirtarbase tarbase "
2921,"CXCL3","hsa-mir-532-3p","hsa-mir-204-5p",0.024,0.7515,0.008,FALSE,"NA","<a href='https://pubmed.ncbi.nlm.nih.gov/30910254'>PubMedLink</a>","NA"," tarbase ","mirtarbase tarbase "
2923,"PDIA3","hsa-mir-494-3p","hsa-mir-514a-3p",0.3305,0.3475,0.001,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/28938593'>PubMedLink</a>","mirtarbase  "," tarbase "
2936,"GSR","hsa-mir-188-3p","hsa-mir-377-5p",0.78,0.064,0.0095,FALSE,"NA","NA","NA"," tarbase ","mirtarbase  "
