"entrezgene_id","hgnc_symbol","mirna1","mirna2","Two_Var_XZ","Two_Var_YZ","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","median1","median2"
125950,"RAVER1","hsa-mir-342-5p","hsa-mir-138-5p",0.2075,0.723,0.006,FALSE,"NA","NA","NA"," tarbase "," tarbase ",18.3651984124572,15.776243897572
128178,"EDARADD","hsa-mir-32-3p","hsa-mir-181a-2-3p",0.0755,0.07,0,FALSE,"NA","NA","NA"," tarbase "," tarbase ",14.2168544015677,12.0745494053917
132864,"CPEB2","hsa-mir-30b-5p","hsa-mir-183-5p",0.6975,0.144,0.001,FALSE,"NA","NA","NA"," tarbase "," tarbase ",15.48742698376,12.9406269046069
133396,"IL31RA","hsa-mir-1271-5p","hsa-mir-182-5p",0.144,0.022,0.0015,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/31776466'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31776466'>PubMedLink</a>","mirtarbase  ","mirtarbase  ",13.7081436679641,8.62205326123528
133746,"JMY","hsa-mir-18a-5p","hsa-mir-17-5p",0.458,0.1235,0.0015,FALSE,"NA","NA","NA","mirtarbase tarbase "," tarbase ",15.4286082707854,14.2543747936149
133746,"JMY","hsa-mir-18b-5p","hsa-mir-17-5p",0.341,0.1095,0.0065,FALSE,"NA","NA","NA","mirtarbase  "," tarbase ",15.5115014872596,14.2543747936149
157680,"VPS13B","hsa-mir-339-5p","hsa-mir-335-5p",0.251,0.2595,0.008,FALSE,"NA","NA","NA"," tarbase ","mirtarbase tarbase ",15.8623713572656,14.3125718271302
158158,"RASEF","hsa-mir-17-3p","hsa-mir-17-5p",0.108,0.094,0.007,FALSE,"NA","NA","NA"," tarbase "," tarbase ",7.93333553321771,1.93357054304112
161742,"SPRED1","hsa-mir-148a-3p","hsa-mir-17-5p",0.762,0.018,5e-04,FALSE,"NA","NA","NA"," tarbase ","mirtarbase  ",16.7435007033924,15.6004656377073
162655,"ZNF519","hsa-mir-181d-5p","hsa-mir-129-5p",0.263,0.53,0.0095,TRUE,"NA","NA","NA"," tarbase ","mirtarbase  ",13.4560985718915,11.4279625158424
163702,"IFNLR1","hsa-mir-381-3p","hsa-mir-379-5p",0.413,0.145,0.001,FALSE,"NA","NA","NA","mirtarbase  ","mirtarbase  ",17.3576473880104,15.7307890132041
192669,"AGO3","hsa-mir-150-5p","hsa-mir-143-5p",0.4795,0.175,0.002,FALSE,"NA","NA","NA","mirtarbase  ","mirtarbase  ",14.813649662937,13.7127560792687
200424,"TET3","hsa-mir-26b-3p","hsa-mir-589-3p",0.0135,0.767,0.003,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/31120187'>PubMedLink</a>"," tarbase "," tarbase ",16.7317364077985,15.5467495323204
201725,"C4orf46","hsa-mir-30b-5p","hsa-mir-335-5p",0.3895,0.0455,0.004,FALSE,"NA","NA","NA"," tarbase "," tarbase ",16.9634543665517,15.4807126282893
253461,"ZBTB38","hsa-mir-127-5p","hsa-mir-381-3p",0.686,0.4495,0.006,TRUE,"NA","NA","NA"," tarbase "," tarbase ",17.2584619360494,15.4830642240369
253461,"ZBTB38","hsa-mir-382-5p","hsa-mir-381-3p",0.1365,0.4505,0.007,TRUE,"NA","NA","NA"," tarbase "," tarbase ",17.199032649974,15.7479936906984
283373,"ANKRD52","hsa-mir-339-5p","hsa-mir-31-5p",0.028,0.7525,0.008,FALSE,"NA","NA","NA","mirtarbase  ","mirtarbase tarbase ",18.073098557557,17.0244771889738
342371,"ATXN1L","hsa-mir-181c-3p","hsa-mir-181a-2-3p",0.092,0.1075,0.0055,FALSE,"NA","NA","NA"," tarbase "," tarbase ",16.9746027507407,15.2944797238857
