"entrezgene_id","hgnc_symbol","mirna1","mirna2","Two_Var_XZ","Two_Var_YZ","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB"
4154,"MBNL1","hsa-mir-9-5p","hsa-mir-130b-5p",0.015,0.1125,0.0095,FALSE,"NA","NA","NA"," tarbase "," tarbase "
4193,"MDM2","hsa-mir-222-3p","hsa-mir-152-3p",0.077,0.7665,0.001,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/11141476'>PubMedLink</a>","mirtarbase tarbase "," tarbase "
4193,"MDM2","hsa-mir-628-3p","hsa-mir-545-5p",0.615,0.608,0.008,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/11141476'>PubMedLink</a>"," tarbase "," tarbase "
4524,"MTHFR","hsa-mir-766-3p","hsa-mir-424-5p",0.3715,0.038,0.0065,FALSE,"NA","NA","NA"," tarbase ","mirtarbase tarbase "
4602,"MYB","hsa-mir-215-5p","hsa-mir-192-5p",0.017,0.29,0.001,TRUE,"NA","NA","NA","mirtarbase tarbase ","mirtarbase tarbase "
4609,"MYC","hsa-mir-323a-3p","hsa-mir-1224-5p",0.0695,0.1465,0.002,TRUE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/21685915'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22706201'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22706201'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/2405002'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/2405002'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26070438'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26070438'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26070438'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9071974'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9071974'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9177412'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9177412'>PubMedLink</a>","mirtarbase  "," tarbase "
4666,"NACA","hsa-mir-2355-3p","hsa-mir-107",0.3645,0.045,0.005,FALSE,"NA","NA","NA"," tarbase "," tarbase "
4775,"NFATC3","hsa-mir-338-3p","hsa-mir-337-3p",0.096,0.048,0.0085,TRUE,"<a href='https://pubmed.ncbi.nlm.nih.gov/24140344'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/26084291'>PubMedLink</a>","NA"," tarbase ","mirtarbase  "
4779,"NFE2L1","hsa-mir-503-5p","hsa-mir-181d-5p",0.8105,0.524,0.008,TRUE,"NA","NA","NA"," tarbase "," tarbase "
4782,"NFIC","hsa-mir-106a-5p","hsa-mir-150-5p",0.513,0.202,0.007,TRUE,"NA","NA","NA"," tarbase "," tarbase "
4782,"NFIC","hsa-mir-150-5p","hsa-mir-511-5p",0.1905,0.105,0.003,TRUE,"NA","NA","NA"," tarbase "," tarbase "
4782,"NFIC","hsa-mir-550a-5p","hsa-mir-222-3p",0.191,0.16,0.0035,TRUE,"NA","NA","NA"," tarbase "," tarbase "
4782,"NFIC","hsa-mir-940","hsa-mir-629-5p",0.0545,0.0115,0.0075,TRUE,"NA","NA","NA","mirtarbase  "," tarbase "
4853,"NOTCH2","hsa-mir-155-5p","hsa-mir-485-3p",0.038,0.0515,0.006,FALSE,"NA","NA","NA","mirtarbase tarbase "," tarbase "
4853,"NOTCH2","hsa-mir-939-5p","hsa-mir-940",0.692,0.477,0.004,FALSE,"NA","NA","NA"," tarbase "," tarbase "
4982,"TNFRSF11B","hsa-mir-196a-5p","hsa-mir-769-3p",0.1755,0.415,0.009,FALSE,"NA","NA","NA"," tarbase "," tarbase "
5037,"PEBP1","hsa-mir-1976","hsa-mir-155-5p",0.12,0.1045,0,FALSE,"NA","NA","NA","mirtarbase  ","mirtarbase tarbase "
5054,"SERPINE1","hsa-mir-34c-5p","hsa-mir-299-5p",0.6325,0.572,0.0015,FALSE,"NA","NA","NA"," tarbase "," tarbase "
5230,"PGK1","hsa-mir-96-5p","hsa-mir-488-3p",0.3105,0.1785,0.0065,FALSE,"NA","NA","NA","mirtarbase  "," tarbase "
5291,"PIK3CB","hsa-mir-130b-3p","hsa-mir-204-5p",0.1965,0.0515,0.0035,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/22692904'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22692904'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23889685'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27811202'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27811202'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29075302'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30217997'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30217997'>PubMedLink</a>"," tarbase "," tarbase "
5291,"PIK3CB","hsa-mir-130b-5p","hsa-mir-204-5p",0.012,0.0805,0.0065,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/22692904'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22692904'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23889685'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27811202'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27811202'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29075302'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30217997'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30217997'>PubMedLink</a>","mirtarbase tarbase "," tarbase "
5295,"PIK3R1","hsa-mir-195-5p","hsa-mir-107",0.03,0.041,0.0015,FALSE,"NA","NA","NA","mirtarbase  ","mirtarbase  "
5295,"PIK3R1","hsa-mir-542-3p","hsa-mir-107",0.809,0.057,0.007,FALSE,"NA","NA","NA","mirtarbase  ","mirtarbase  "
5324,"PLAG1","hsa-mir-424-5p","hsa-mir-183-5p",0.2885,0.2155,0.001,TRUE,"NA","<a href='https://pubmed.ncbi.nlm.nih.gov/29982598'>PubMedLink</a>","NA","mirtarbase tarbase "," tarbase "
5358,"PLS3","hsa-mir-182-5p","hsa-mir-149-5p",0.028,0.6435,0.0035,FALSE,"NA","NA","NA"," tarbase "," tarbase "
5452,"POU2F2","hsa-mir-493-5p","hsa-mir-204-5p",0.7185,0.128,0.0085,TRUE,"NA","NA","NA"," tarbase ","mirtarbase  "
5494,"PPM1A","hsa-mir-1226-3p","hsa-mir-1305",0.1685,0.543,0.004,FALSE,"NA","NA","NA"," tarbase "," tarbase "
5660,"PSAP","hsa-mir-766-3p","hsa-mir-130b-3p",0.5485,0.1975,0.009,FALSE,"NA","NA","NA"," tarbase ","mirtarbase tarbase "
5865,"RAB3B","hsa-mir-452-3p","hsa-mir-155-5p",0.0415,0.029,0.009,FALSE,"NA","NA","NA","mirtarbase  ","mirtarbase  "
5931,"RBBP7","hsa-mir-330-3p","hsa-mir-106a-5p",0.391,0.0415,0.0095,FALSE,"NA","NA","NA"," tarbase "," tarbase "
6158,"RPL28","hsa-mir-582-3p","hsa-mir-766-3p",0.848,0.819,0.005,FALSE,"NA","NA","NA"," tarbase ","mirtarbase tarbase "
6319,"SCD","hsa-mir-188-3p","hsa-mir-1226-3p",0.686,0.6825,0.0075,FALSE,"NA","NA","NA","mirtarbase tarbase "," tarbase "
6334,"SCN8A","hsa-mir-377-3p","hsa-mir-329-3p",0.1435,0.149,0.006,FALSE,"NA","NA","NA","mirtarbase  ","mirtarbase  "
6452,"SH3BP2","hsa-mir-129-5p","hsa-mir-338-3p",0.1405,0.0525,5e-04,FALSE,"NA","<a href='https://pubmed.ncbi.nlm.nih.gov/24140344'>PubMedLink</a>","NA","mirtarbase  "," tarbase "
6542,"SLC7A2","hsa-mir-545-5p","hsa-mir-411-3p",0.06,0.7925,0.0085,FALSE,"NA","NA","NA","mirtarbase tarbase "," tarbase "
6574,"SLC20A1","hsa-mir-125b-2-3p","hsa-let-7c-5p",0.0505,0.045,0,FALSE,"NA","NA","NA"," tarbase ","mirtarbase  "
6574,"SLC20A1","hsa-mir-125b-2-3p","hsa-mir-222-3p",0.0305,0.0775,0.0095,FALSE,"NA","NA","NA"," tarbase "," tarbase "
6574,"SLC20A1","hsa-mir-221-3p","hsa-mir-125b-2-3p",0.062,0.036,0.0015,FALSE,"NA","NA","NA"," tarbase "," tarbase "
6645,"SNTB2","hsa-mir-195-5p","hsa-mir-24-2-5p",0.054,0.245,0.0025,FALSE,"NA","NA","NA","mirtarbase tarbase "," tarbase "
6645,"SNTB2","hsa-mir-195-5p","hsa-mir-497-5p",0.0665,0.0905,0.0035,FALSE,"NA","NA","NA","mirtarbase tarbase ","mirtarbase tarbase "
6645,"SNTB2","hsa-mir-497-5p","hsa-mir-24-2-5p",0.0935,0.2295,0.001,FALSE,"NA","NA","NA","mirtarbase tarbase "," tarbase "
6667,"SP1","hsa-mir-33a-5p","hsa-mir-377-3p",0.46,0.037,0.008,TRUE,"NA","NA","NA","mirtarbase tarbase "," tarbase "
6773,"STAT2","hsa-mir-202-3p","hsa-mir-509-3-5p",0.0185,0.225,0.0065,TRUE,"NA","NA","NA","mirtarbase  "," tarbase "
6850,"SYK","hsa-mir-96-5p","hsa-mir-182-5p",0.0285,0.0165,0.004,FALSE,"NA","NA","NA"," tarbase "," tarbase "
6925,"TCF4","hsa-mir-106a-5p","hsa-mir-203a-3p",0.7605,0.0585,0.006,TRUE,"NA","NA","NA"," tarbase ","mirtarbase  "
6935,"ZEB1","hsa-mir-409-3p","hsa-mir-335-5p",0.1635,0.112,0.0085,TRUE,"NA","NA","NA","mirtarbase  ","mirtarbase tarbase "
7042,"TGFB2","hsa-mir-141-3p","hsa-mir-136-3p",0.885,0.9675,0.007,FALSE,"NA","NA","NA","mirtarbase  "," tarbase "
7049,"TGFBR3","hsa-mir-106a-5p","hsa-mir-141-5p",0.079,0.7535,0.006,FALSE,"NA","NA","NA"," tarbase "," tarbase "
7057,"THBS1","hsa-mir-202-3p","hsa-mir-509-3-5p",0.0585,0.4015,0.0045,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/11134136'>PubMedLink</a>","mirtarbase  ","mirtarbase  "
7057,"THBS1","hsa-mir-202-3p","hsa-mir-509-5p",0.042,0.5775,0.0075,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/11134136'>PubMedLink</a>","mirtarbase  ","mirtarbase  "
7128,"TNFAIP3","hsa-mir-513a-5p","hsa-mir-125b-5p",0.0345,0.0135,0,FALSE,"NA","NA","NA"," tarbase ","mirtarbase  "
7188,"TRAF5","hsa-mir-125b-2-3p","hsa-mir-223-5p",0.0575,0.4305,0.001,FALSE,"NA","NA","NA"," tarbase ","mirtarbase  "
7248,"TSC1","hsa-mir-21-3p","hsa-mir-451a",0.857,0.0505,0.009,FALSE,"NA","NA","NA"," tarbase ","mirtarbase  "
7381,"UQCRB","hsa-mir-616-5p","hsa-mir-130b-3p",0.534,0.0185,0.0025,FALSE,"NA","NA","NA","mirtarbase  ","mirtarbase  "
7414,"VCL","hsa-mir-29b-2-5p","hsa-mir-380-5p",0.492,0.1695,0.005,FALSE,"NA","NA","NA"," tarbase "," tarbase "
