"entrezgene_id","hgnc_symbol","mirna1","mirna2","Two_Var_XZ","Two_Var_YZ","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","median1","median2","miRNA1_pvalue","miRNA1_logFC","miRNA2_pvalue","miRNA2_logFC","mRNA_pvalue","mRNA_logFC"
3488,"IGFBP5","hsa-mir-616-3p","hsa-mir-203a-3p",0.087,0.424,0.004,FALSE,"NA","NA","NA","mirtarbase  ","mirtarbase tarbase ",20.7829282474834,19.6068652715114,5.11039254192379e-06,1.41716883143373,0.272559648343949,0.092878576693725,0.000193792687223376,-0.200695268816629
3763,"KCNJ6","hsa-mir-129-5p","hsa-mir-378a-3p",0.488,0.039,0.003,FALSE,"NA","NA","NA","mirtarbase  ","mirtarbase  ",8.90757367950293,7.53675960996668,7.84872048913144e-05,-0.61027321008451,0.0112122571621529,-0.247714856361063,1.51071881591384e-05,0.60714077192927
3782,"KCNN3","hsa-mir-103a-2-5p","hsa-mir-181c-3p",0.391,0.4835,0.0045,FALSE,"NA","NA","NA"," tarbase ","mirtarbase  ",14.3748495982204,12.4316016682774,6.2094068998036e-05,1.10732246470606,0.262834512500579,0.127875218928011,0.00108462503753911,-0.213545136084872
3815,"KIT","hsa-mir-34a-5p","hsa-mir-218-5p",0.0685,0.0605,0.002,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/11151069'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14529656'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17240308'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21270602'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24186140'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25981814'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29357824'>PubMedLink</a>","mirtarbase tarbase ","mirtarbase tarbase ",14.0095146423394,12.6137673838332,0.209591926562605,-0.130780897994726,0.0586547895252108,-0.207694555452247,0.0140310142279076,-0.158270867402579
3824,"KLRD1","hsa-mir-130a-3p","hsa-mir-651-5p",0.056,0.7995,0.008,FALSE,"NA","NA","NA","mirtarbase  ","mirtarbase  ",11.2170745979749,10.0556729774439,0.00415630821784133,-0.287463703421932,0.00664265481639575,0.571459859477344,0.0291980985318088,-0.160017263275333
3824,"KLRD1","hsa-mir-301a-3p","hsa-mir-651-5p",0.4505,0.8065,0.006,FALSE,"NA","NA","NA","mirtarbase  ","mirtarbase  ",11.0112281949666,9.97775425906466,0.00416841283713864,0.455851265587144,0.00664265481639575,0.571459859477344,0.0291980985318088,-0.160017263275333
3824,"KLRD1","hsa-mir-301b-3p","hsa-mir-301a-3p",0.0315,0.482,5e-04,FALSE,"NA","NA","NA","mirtarbase  ","mirtarbase  ",10.9702978328198,9.87202896023325,1.60043760117356e-10,1.99493279097935,0.00416841283713864,0.455851265587144,0.0291980985318088,-0.160017263275333
3824,"KLRD1","hsa-mir-301b-3p","hsa-mir-501-5p",0.043,0.496,0.0095,FALSE,"NA","NA","NA","mirtarbase  ","mirtarbase  ",11.0965257967329,10.0221638165652,1.60043760117356e-10,1.99493279097935,0.0116549571240903,0.472711659774221,0.0291980985318088,-0.160017263275333
3824,"KLRD1","hsa-mir-301b-3p","hsa-mir-651-5p",0.017,0.77,0,FALSE,"NA","NA","NA","mirtarbase  ","mirtarbase  ",10.9966168957249,9.64205703740116,1.60043760117356e-10,1.99493279097935,0.00664265481639575,0.571459859477344,0.0291980985318088,-0.160017263275333
3977,"LIFR","hsa-mir-421","hsa-mir-629-3p",0.1495,0.049,0.001,FALSE,"NA","NA","NA"," tarbase "," tarbase ",15.6692845179716,14.5687646540004,0.000122941040896848,0.936387328094677,3.25875786522842e-07,1.13166790789345,3.42587865791932e-06,-0.282353069082205
