"entrezgene_id","hgnc_symbol","mirna1","mirna2","Two_Var_XZ","Two_Var_YZ","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB"
27075,"TSPAN13","hsa-mir-34a-3p","hsa-mir-221-3p",0.908,0.107,0.0075,FALSE,"NA","NA","NA"," tarbase ","mirtarbase tarbase "
27152,"INTU","hsa-mir-365a-5p","hsa-mir-421",0.168,0.0275,0.001,FALSE,"NA","NA","NA","mirtarbase  ","mirtarbase  "
27250,"PDCD4","hsa-mir-129-2-3p","hsa-mir-10b-5p",0.3225,0.503,0.0065,FALSE,"NA","NA","NA","mirtarbase  ","mirtarbase  "
27250,"PDCD4","hsa-mir-182-5p","hsa-mir-15a-5p",0.7265,0.058,0.0045,FALSE,"NA","NA","NA","mirtarbase  ","mirtarbase tarbase "
27327,"TNRC6A","hsa-mir-328-3p","hsa-mir-30c-2-3p",0.093,0.3985,0.009,FALSE,"NA","NA","NA"," tarbase ","mirtarbase  "
28962,"OSTM1","hsa-mir-149-5p","hsa-mir-146b-3p",0.0585,0.4525,0.005,FALSE,"NA","NA","NA","mirtarbase  "," tarbase "
28996,"HIPK2","hsa-mir-182-5p","hsa-mir-383-5p",0.216,0.677,0.0075,FALSE,"NA","NA","NA"," tarbase "," tarbase "
29979,"UBQLN1","hsa-mir-582-5p","hsa-mir-92b-3p",0.0325,0.0385,0.0095,FALSE,"NA","NA","NA"," tarbase "," tarbase "
30836,"DNTTIP2","hsa-mir-143-3p","hsa-mir-203a-3p",0.819,0.5055,0.009,FALSE,"NA","NA","NA","mirtarbase  ","mirtarbase  "
51430,"SUCO","hsa-mir-197-3p","hsa-mir-181a-5p",0.027,0.29,0.0035,FALSE,"NA","NA","NA"," tarbase "," tarbase "
51804,"SIX4","hsa-mir-374a-3p","hsa-mir-30a-5p",0.547,0.0125,0.005,TRUE,"NA","NA","NA"," tarbase ","mirtarbase  "
54407,"SLC38A2","hsa-mir-194-3p","hsa-mir-495-3p",0.017,0.318,0.002,FALSE,"NA","NA","NA","mirtarbase tarbase "," tarbase "
54407,"SLC38A2","hsa-mir-30a-3p","hsa-mir-328-3p",0.141,0.496,0.007,FALSE,"NA","NA","NA"," tarbase "," tarbase "
54407,"SLC38A2","hsa-mir-320b","hsa-mir-181b-5p",0.0145,0.0485,0.0045,FALSE,"NA","NA","NA","mirtarbase  ","mirtarbase  "
54407,"SLC38A2","hsa-mir-335-3p","hsa-mir-181b-5p",0.1635,0.0435,0.0055,FALSE,"NA","NA","NA"," tarbase ","mirtarbase  "
54443,"ANLN","hsa-mir-335-3p","hsa-mir-142-5p",0.5585,0.1645,0.0075,FALSE,"NA","NA","NA"," tarbase "," tarbase "
54502,"RBM47","hsa-mir-149-5p","hsa-mir-3680-3p",0.023,0.539,0.0015,FALSE,"NA","NA","NA"," tarbase ","mirtarbase  "
54891,"INO80D","hsa-mir-34c-5p","hsa-mir-181b-5p",0.8655,0.0175,0.006,FALSE,"NA","NA","NA"," tarbase ","mirtarbase tarbase "
54906,"TASOR2","hsa-mir-486-5p","hsa-mir-149-5p",0.5945,0.551,0.009,FALSE,"NA","NA","NA"," tarbase ","mirtarbase  "
54928,"BPNT2","hsa-mir-378a-5p","hsa-mir-181c-5p",0.154,0.052,0.0045,FALSE,"NA","NA","NA"," tarbase "," tarbase "
55084,"SOBP","hsa-mir-144-5p","hsa-mir-20a-5p",0.0905,0.025,0.004,FALSE,"NA","NA","NA","mirtarbase  "," tarbase "
55084,"SOBP","hsa-mir-144-5p","hsa-mir-30e-5p",0.106,0.0495,0,FALSE,"NA","NA","NA","mirtarbase  ","mirtarbase  "
55187,"VPS13D","hsa-mir-20a-5p","hsa-mir-550a-3p",0.0265,0.109,0.0025,FALSE,"NA","NA","NA"," tarbase "," tarbase "
